Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;113402;113582;115462;116529
Zonas Estadísticas;01;Municipio de Madrid ;41056;40984;41987;43033
Zonas Estadísticas;02;Norte Metropolitano ;5909;5929;6061;6086
Zonas Estadísticas;03;Este Metropolitano  ;16646;16680;16871;16737
Zonas Estadísticas;04;Sur Metropolitano   ;27764;27735;27893;27784
Zonas Estadísticas;05;Oeste Metropolitano ;6468;6551;6753;6924
Zonas Estadísticas;06;Sierra Norte        ;1010;1050;1051;1072
Zonas Estadísticas;07;Nordeste Comunidad  ;2093;2088;2111;2175
Zonas Estadísticas;08;Sudeste Comunidad   ;3634;3625;3593;3562
Zonas Estadísticas;09;Sudoeste Comunidad  ;4590;4635;4719;4726
Zonas Estadísticas;10;Sierra Sur          ;979;987;1026;1014
Zonas Estadísticas;11;Sierra Central      ;3253;3318;3397;3416
Municipios;0014;Acebeda (La);7;6;3;1
Municipios;0029;Ajalvir;553;558;547;535
Municipios;0035;Alameda del Valle;1;1;1;1
Municipios;0040;Alamo (El);244;255;259;271
Municipios;0053;Alcalá de Henares;3535;3621;3590;3564
Municipios;0066;Alcobendas;1743;1776;1784;1786
Municipios;0072;Alcorcón;2816;2853;2906;2889
Municipios;0088;Aldea del Fresno;49;57;65;62
Municipios;0091;Algete;617;603;620;628
Municipios;0105;Alpedrete;285;282;302;309
Municipios;0112;Ambite;11;11;14;17
Municipios;0127;Anchuelo;23;27;27;26
Municipios;0133;Aranjuez;715;715;776;795
Municipios;0148;Arganda del Rey;3179;3095;3167;3086
Municipios;0151;Arroyomolinos;760;776;823;817
Municipios;0164;Atazar (El);3;3;3;3
Municipios;0170;Batres;28;33;32;40
Municipios;0186;Becerril de la Sierra;129;142;137;133
Municipios;0199;Belmonte de Tajo;108;104;89;87
Municipios;0210;Berrueco (El);20;25;25;23
Municipios;0203;Berzosa del Lozoya;4;4;4;10
Municipios;0225;Boadilla del Monte;706;713;744;777
Municipios;0231;Boalo (El);186;196;205;202
Municipios;0246;Braojos;6;5;3;3
Municipios;0259;Brea de Tajo;12;13;13;14
Municipios;0262;Brunete;221;217;228;223
Municipios;0278;Buitrago del Lozoya;37;36;38;42
Municipios;0284;Bustarviejo;57;64;66;64
