Serie;Codigo_municipio;Nombre;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;1412874;1399419;1426985;1433316
Zonas Estadísticas;01;Municipio de Madrid ;815868;805275;818258;823488
Zonas Estadísticas;02;Norte Metropolitano ;74527;73776;75594;76139
Zonas Estadísticas;03;Este Metropolitano  ;105579;104570;106675;106007
Zonas Estadísticas;04;Sur Metropolitano   ;186456;185103;188376;187651
Zonas Estadísticas;05;Oeste Metropolitano ;132577;131932;136339;137980
Zonas Estadísticas;06;Sierra Norte        ;7945;8058;8215;8169
Zonas Estadísticas;07;Nordeste Comunidad  ;10962;10925;11218;11266
Zonas Estadísticas;08;Sudeste Comunidad   ;16980;17168;17536;17335
Zonas Estadísticas;09;Sudoeste Comunidad  ;23999;24295;25071;25254
Zonas Estadísticas;10;Sierra Sur          ;5675;5763;5980;5988
Zonas Estadísticas;11;Sierra Central      ;32306;32554;33723;34039
Municipios;0014;Acebeda (La);52;50;44;43
Municipios;0029;Ajalvir;1629;1634;1640;1604
Municipios;0035;Alameda del Valle;60;60;66;70
Municipios;0040;Alamo (El);1347;1391;1447;1461
Municipios;0053;Alcalá de Henares;29128;28649;29017;28865
Municipios;0066;Alcobendas;28921;28603;29241;29533
Municipios;0072;Alcorcón;25995;25690;26304;26395
Municipios;0088;Aldea del Fresno;412;408;425;407
Municipios;0091;Algete;4585;4508;4633;4645
Municipios;0105;Alpedrete;2830;2858;2988;2957
Municipios;0112;Ambite;80;78;103;102
Municipios;0127;Anchuelo;180;186;190;193
Municipios;0133;Aranjuez;8368;8228;8429;8370
Municipios;0148;Arganda del Rey;10311;10307;10591;10433
Municipios;0151;Arroyomolinos;5370;5491;5822;5910
Municipios;0164;Atazar (El);17;19;13;11
Municipios;0170;Batres;224;254;289;293
Municipios;0186;Becerril de la Sierra;1156;1195;1205;1214
Municipios;0199;Belmonte de Tajo;223;224;219;220
Municipios;0210;Berrueco (El);125;129;128;130
Municipios;0203;Berzosa del Lozoya;55;52;48;52
Municipios;0225;Boadilla del Monte;14974;15142;16167;16825
Municipios;0231;Boalo (El);1338;1375;1438;1458
Municipios;0246;Braojos;68;68;55;55
Municipios;0259;Brea de Tajo;82;82;83;85
Municipios;0262;Brunete;2095;2075;2127;2099
Municipios;0278;Buitrago del Lozoya;439;420;420;437
Municipios;0284;Bustarviejo;465;475;501;504
Municipios;0297;Cabanillas de la Sierra;136;136;142;149
Municipios;0301;Cabrera (La);523;508;540;544
Municipios;0318;Cadalso de los Vidrios;400;449;462;463
Municipios;0323;Camarma de Esteruelas;1268;1285;1318;1298
Municipios;0339;Campo Real;1165;1170;1227;1207
Municipios;0344;Canencia;84;79;76;79
Municipios;0357;Carabaña;284;287;308;314
Municipios;0360;Casarrubuelos;602;634;632;628
Municipios;0376;Cenicientos;249;256;253;242
Municipios;0382;Cercedilla;1342;1387;1400;1444
Municipios;0395;Cervera de Buitrago;37;35;31;27
Municipios;0513;Chapinería;358;368;378;394
Municipios;0528;Chinchón;1143;1108;1105;1108
Municipios;0409;Ciempozuelos;3080;3145;3192;3139
Municipios;0416;Cobeña;1325;1300;1369;1426
Municipios;0468;Collado Mediano;1317;1314;1346;1416
Municipios;0474;Collado Villalba;10724;10781;11027;11004
Municipios;0455;Colmenar Viejo;8291;8311;8659;8697
Municipios;0437;Colmenar de Oreja;1167;1197;1184;1159
Municipios;0421;Colmenar del Arroyo;291;291;310;309
Municipios;0442;Colmenarejo;1332;1327;1421;1405
Municipios;0480;Corpa;74;74;67;67
Municipios;0493;Coslada;13793;13329;13190;12907
Municipios;0506;Cubas de la Sagra;873;881;902;917
Municipios;0534;Daganzo de Arriba;1885;1866;1864;1871
Municipios;0549;Escorial (El);2856;2880;3016;3021
Municipios;0552;Estremera;247;246;249;254
Municipios;0565;Fresnedillas de la Oliva;257;241;238;246
Municipios;0571;Fresno de Torote;270;255;241;262
Municipios;0587;Fuenlabrada;30111;29604;29919;29588
Municipios;0590;Fuente el Saz de Jarama;1539;1561;1603;1566
Municipios;0604;Fuentidueña de Tajo;295;307;319;308
Municipios;0611;Galapagar;6146;6062;6301;6401
Municipios;0626;Garganta de los Montes;81;73;76;76
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;64;68;68;73
Municipios;0647;Gascones;54;63;65;59
Municipios;0650;Getafe;25537;25661;26454;26370
Municipios;0663;Griñón;2511;2529;2511;2529
Municipios;0679;Guadalix de la Sierra;965;984;1021;1044
Municipios;0685;Guadarrama;2766;2760;2825;2852
Municipios;0698;Hiruela (La);29;35;33;35
Municipios;0702;Horcajo de la Sierra-Aoslos;49;55;54;53
Municipios;0719;Horcajuelo de la Sierra;23;33;33;23
Municipios;0724;Hoyo de Manzanares;1709;1753;1823;1818
Municipios;0730;Humanes de Madrid;5800;5828;5885;5819
Municipios;0745;Leganés;26537;26302;26485;26428
Municipios;0758;Loeches;1711;1697;1740;1750
Municipios;0761;Lozoya;129;123;136;133
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;284;294;297;300
Municipios;0783;Madarcos;19;24;21;19
Municipios;0796;Madrid;815868;805275;818258;823488
Municipios;0800;Majadahonda;19851;19594;20093;20263
Municipios;0822;Manzanares el Real;1382;1384;1459;1438
Municipios;0838;Meco;2195;2158;2307;2354
Municipios;0843;Mejorada del Campo;3884;3885;3916;3914
Municipios;0856;Miraflores de la Sierra;1045;1088;1078;1057
Municipios;0869;Molar (El);1237;1228;1245;1253
Municipios;0875;Molinos (Los);717;771;842;837
Municipios;0881;Montejo de la Sierra;80;76;73;63
Municipios;0894;Moraleja de Enmedio;1312;1303;1337;1315
Municipios;0908;Moralzarzal;2336;2349;2436;2449
Municipios;0915;Morata de Tajuña;1015;993;1010;1034
Municipios;0920;Móstoles;25078;24764;25017;24800
Municipios;0936;Navacerrada;708;746;719;721
Municipios;0941;Navalafuente;184;190;200;180
Municipios;0954;Navalagamella;331;326;332;330
Municipios;0967;Navalcarnero;4170;4263;4379;4411
Municipios;0973;Navarredonda y San Mamés;31;35;35;31
Municipios;0992;Navas del Rey;476;486;489;514
Municipios;1006;Nuevo Baztán;1016;1065;1116;1057
Municipios;1013;Olmeda de las Fuentes;107;110;102;95
Municipios;1028;Orusco de Tajuña;126;135;149;146
Municipios;1049;Paracuellos de Jarama;4751;4748;4998;4961
Municipios;1065;Parla;12726;12784;13041;13050
Municipios;1071;Patones;111;115;120;118
Municipios;1087;Pedrezuela;832;836;841;820
Municipios;1090;Pelayos de la Presa;460;471;514;509
Municipios;1104;Perales de Tajuña;398;418;421;424
Municipios;1111;Pezuela de las Torres;136;147;147;146
Municipios;1126;Pinilla del Valle;25;29;27;23
Municipios;1132;Pinto;8467;8280;8582;8557
Municipios;1147;Piñuécar-Gandullas;32;35;40;32
Municipios;1150;Pozuelo de Alarcón;30259;29946;30786;31017
Municipios;1163;Pozuelo del Rey;149;146;158;143
Municipios;1179;Prádena del Rincón;25;30;32;32
Municipios;1185;Puebla de la Sierra;15;20;18;20
Municipios;9020;Puentes Viejas;115;122;118;122
Municipios;1198;Quijorna;546;537;566;557
Municipios;1202;Rascafría;457;436;454;437
Municipios;1219;Redueña;99;96;97;92
Municipios;1224;Ribatejada;108;109;117;113
Municipios;1230;Rivas-Vaciamadrid;15833;15957;16594;16724
Municipios;1245;Robledillo de la Jara;17;21;14;16
Municipios;1258;Robledo de Chavela;685;717;756;754
Municipios;1261;Robregordo;7;10;9;11
Municipios;1277;Rozas de Madrid (Las);27736;27458;28108;28465
Municipios;1283;Rozas de Puerto Real;139;132;149;139
Municipios;1296;San Agustín del Guadalix;2660;2667;2710;2714
Municipios;1300;San Fernando de Henares;7082;7088;7165;7061
Municipios;1317;San Lorenzo de El Escorial;3542;3559;3669;3727
Municipios;1338;San Martín de Valdeiglesias;1374;1395;1428;1395
Municipios;1322;San Martín de la Vega;3087;3093;3091;3152
Municipios;1343;San Sebastián de los Reyes;18589;18354;18624;18720
Municipios;1356;Santa María de la Alameda;252;243;262;266
Municipios;1369;Santorcaz;91;106;112;119
