Serie;Codigo_municipio;Nombre;afiliados_30a49_2020;afiliados_30a49_2021;afiliados_30a49_2022;afiliados_30a49_2023;afiliados_mayores_50_2020;afiliados_mayores_50_2021;afiliados_mayores_50_2022;afiliados_mayores_50_2023;afiliados_menores_18_2020;afiliados_menores_18_2021;afiliados_menores_18_2022;afiliados_menores_18_2023;afiliados_menores_30_2020;afiliados_menores_30_2021;afiliados_menores_30_2022;afiliados_menores_30_2023;afiliados_total_2020;afiliados_total_2021;afiliados_total_2022;afiliados_total_2023;porcentaje_30a49_2020;porcentaje_30a49_2021;porcentaje_30a49_2022;porcentaje_30a49_2023;porcentaje_mayores_50_2020;porcentaje_mayores_50_2021;porcentaje_mayores_50_2022;porcentaje_mayores_50_2023;porcentaje_menores_30_2020;porcentaje_menores_30_2021;porcentaje_menores_30_2022;porcentaje_menores_30_2023
Comunidad de Madrid;;Comunidad de Madrid;1803014;1758341;1798795;1830562;964934;988925;1048982;1109294;378;259;296;353;543812;493062;557856;597798;3311760;3240328;3405633;3537654;54.44;54.26;52.82;51.75;29.14;30.52;30.80;31.36;16.42;15.22;16.38;16.90
Zonas Estadísticas;01;Municipio de Madrid ;768283;740116;751546;758224;467885;474664;498488;521269;141;84;85;103;200744;178978;201200;214508;1436912;1393758;1451234;1494001;53.47;53.10;51.79;50.75;32.56;34.06;34.35;34.89;13.97;12.84;13.86;14.36
Zonas Estadísticas;02;Norte Metropolitano ;82840;80505;81659;82555;48151;49343;52042;55087;14;8;13;13;22670;20373;22676;23936;153661;150221;156377;161578;53.91;53.59;52.22;51.09;31.34;32.85;33.28;34.09;14.75;13.56;14.50;14.81
Zonas Estadísticas;03;Este Metropolitano  ;160145;155448;157571;157943;84756;86467;90949;95669;34;22;41;35;40361;36340;40530;42126;285262;278255;289050;295738;56.14;55.87;54.51;53.41;29.71;31.07;31.46;32.35;14.15;13.06;14.02;14.24
Zonas Estadísticas;04;Sur Metropolitano   ;320646;310274;312450;311559;156794;161423;172142;182923;81;58;68;61;78470;70266;78437;82355;555910;541963;563029;576837;57.68;57.25;55.49;54.01;28.20;29.78;30.57;31.71;14.12;12.97;13.93;14.28
Zonas Estadísticas;05;Oeste Metropolitano ;105986;102759;103819;103948;72405;75312;80061;84791;14;15;12;24;29476;27199;30904;32925;207867;205270;214784;221664;50.99;50.06;48.34;46.89;34.83;36.69;37.28;38.25;14.18;13.25;14.39;14.85
Zonas Estadísticas;06;Sierra Norte        ;8127;7886;8063;8049;5335;5573;6001;6338;4;6;7;7;2099;1942;2210;2357;15561;15401;16274;16744;52.23;51.20;49.55;48.07;34.28;36.19;36.87;37.85;13.49;12.61;13.58;14.08
Zonas Estadísticas;07;Nordeste Comunidad  ;13760;13370;13622;13591;7524;7892;8631;9376;7;6;8;4;3486;3214;3785;4021;24770;24476;26038;26988;55.55;54.62;52.32;50.36;30.38;32.24;33.15;34.74;14.07;13.13;14.54;14.90
Zonas Estadísticas;08;Sudeste Comunidad   ;22315;22035;22761;22774;12103;12512;13416;14330;22;18;14;14;6036;5597;6095;6379;40454;40144;42272;43483;55.16;54.89;53.84;52.37;29.92;31.17;31.74;32.96;14.92;13.94;14.42;14.67
Zonas Estadísticas;09;Sudoeste Comunidad  ;30478;29921;30584;31228;15002;15917;17376;18881;14;6;10;12;7612;7186;8162;8704;53092;53024;56122;58813;57.41;56.43;54.50;53.10;28.26;30.02;30.96;32.10;14.34;13.55;14.54;14.80
