Serie;Codigo_municipio;Nombre;contratos_indefinidos_2020;contratos_indefinidos_2021;contratos_indefinidos_2022;contratos_indefinidos_2023;contratos_temp_2020;contratos_temp_2021;contratos_temp_2022;contratos_temp_2023;porcentaje_indefinidos_2020;porcentaje_indefinidos_2021;porcentaje_indefinidos_2022;porcentaje_indefinidos_2023;porcentaje_temp_2020;porcentaje_temp_2021;porcentaje_temp_2022;porcentaje_temp_2023;total_registrados_2020;total_registrados_2021;total_registrados_2022;total_registrados_2023
Comunidad de Madrid;;Comunidad de Madrid;323492;448730;1075628;;1502518;1946889;1374431;;17.72;18.73;43.90;;82.28;81.27;56.10;;1826010;2395619;2450059;
Zonas Estadísticas;01;Municipio de Madrid ;206214;292869;699901;;862118;1128857;847350;;19.30;20.60;45.24;;80.70;79.40;54.76;;1068332;1421726;1547251;
Zonas Estadísticas;02;Norte Metropolitano ;20633;29022;60734;;88225;117465;81563;;18.95;19.81;42.68;;81.05;80.19;57.32;;108858;146487;142297;
Zonas Estadísticas;03;Este Metropolitano  ;22529;28641;73322;;145047;179260;114341;;13.44;13.78;39.07;;86.56;86.22;60.93;;167576;207901;187663;
Zonas Estadísticas;04;Sur Metropolitano   ;35364;45644;122740;;235640;317540;199311;;13.05;12.57;38.11;;86.95;87.43;61.89;;271004;363184;322051;
Zonas Estadísticas;05;Oeste Metropolitano ;24812;32992;68204;;88854;103229;64135;;21.83;24.22;51.54;;78.17;75.78;48.46;;113666;136221;132339;
Zonas Estadísticas;06;Sierra Norte        ;1949;2136;5287;;8212;9941;8946;;19.18;17.69;37.15;;80.82;82.31;62.85;;10161;12077;14233;
Zonas Estadísticas;07;Nordeste Comunidad  ;1721;2309;6119;;14244;21852;15693;;10.78;9.56;28.05;;89.22;90.44;71.95;;15965;24161;21812;
Zonas Estadísticas;08;Sudeste Comunidad   ;2250;3313;8556;;17471;20497;11507;;11.41;13.91;42.65;;88.59;86.09;57.35;;19721;23810;20063;
Zonas Estadísticas;09;Sudoeste Comunidad  ;4008;6470;16283;;23870;24893;14763;;14.38;20.63;52.45;;85.62;79.37;47.55;;27878;31363;31046;
Zonas Estadísticas;10;Sierra Sur          ;668;883;2831;;4323;4548;3471;;13.38;16.26;44.92;;86.62;83.74;55.08;;4991;5431;6302;
Zonas Estadísticas;11;Sierra Central      ;3344;4451;11651;;14514;18807;13351;;18.73;19.14;46.60;;81.27;80.86;53.40;;17858;23258;25002;
Municipios;0014;Acebeda (La);241;252;986;;1181;1668;2984;;16.95;13.13;24.84;;83.05;86.88;75.16;;1422;1920;3970;
Municipios;0029;Ajalvir;380;520;1237;;1422;1826;1275;;21.09;22.17;49.24;;78.91;77.83;50.76;;1802;2346;2512;
Municipios;0035;Alameda del Valle;29;49;162;;137;206;177;;17.47;19.22;47.79;;82.53;80.78;52.21;;166;255;339;
Municipios;0040;Alamo (El);230;312;688;;1198;1807;1043;;16.11;14.72;39.75;;83.89;85.28;60.25;;1428;2119;1731;
Municipios;0053;Alcalá de Henares;5549;7458;19829;;49817;62231;37243;;10.02;10.70;34.74;;89.98;89.30;65.26;;55366;69689;57072;
Municipios;0066;Alcobendas;10131;14522;27780;;30997;39037;27239;;24.63;27.11;50.49;;75.37;72.89;49.51;;41128;53559;55019;
Municipios;0072;Alcorcón;4820;6904;17228;;35909;35806;23331;;11.83;16.16;42.48;;88.17;83.84;57.52;;40729;42710;40559;
Municipios;0088;Aldea del Fresno;71;103;456;;390;451;337;;15.40;18.59;57.50;;84.60;81.41;42.50;;461;554;793;
Municipios;0091;Algete;771;1065;2359;;3574;5093;2645;;17.74;17.29;47.14;;82.26;82.71;52.86;;4345;6158;5004;
Municipios;0105;Alpedrete;292;428;1088;;1178;1666;1136;;19.86;20.44;48.92;;80.14;79.56;51.08;;1470;2094;2224;
Municipios;0112;Ambite;16;32;61;;63;102;190;;20.25;23.88;24.30;;79.75;76.12;75.70;;79;134;251;
Municipios;0127;Anchuelo;47;149;196;;263;376;163;;15.16;28.38;54.60;;84.84;71.62;45.40;;310;525;359;
Municipios;0133;Aranjuez;1131;1622;5222;;15893;35777;21018;;6.64;4.34;19.90;;93.36;95.66;80.10;;17024;37399;26240;
Municipios;0148;Arganda del Rey;1999;2592;7059;;10952;12382;7796;;15.44;17.31;47.52;;84.56;82.69;52.48;;12951;14974;14855;
Municipios;0151;Arroyomolinos;961;1610;4950;;5048;6044;3853;;15.99;21.03;56.23;;84.01;78.97;43.77;;6009;7654;8803;
Municipios;0164;Atazar (El);101;40;90;;83;48;39;;54.89;45.45;69.77;;45.11;54.55;30.23;;184;88;129;
Municipios;0170;Batres;34;97;284;;1546;1945;815;;2.15;4.75;25.84;;97.85;95.25;74.16;;1580;2042;1099;
Municipios;0186;Becerril de la Sierra;106;115;407;;317;551;492;;25.06;17.27;45.27;;74.94;82.73;54.73;;423;666;899;
Municipios;0199;Belmonte de Tajo;67;94;226;;1587;645;454;;4.05;12.72;33.24;;95.95;87.28;66.76;;1654;739;680;
Municipios;0210;Berrueco (El);56;75;204;;366;250;240;;13.27;23.08;45.95;;86.73;76.92;54.05;;422;325;444;
