Serie;Codigo_municipio;Nombre;crecimiento_relativo_poblacion_2020;crecimiento_relativo_poblacion_2021;crecimiento_relativo_poblacion_2022;crecimiento_relativo_poblacion_2023;densidad_poblacion_2020;densidad_poblacion_2021;densidad_poblacion_2022;densidad_poblacion_2023;edad_media_total_2020;edad_media_total_2021;edad_media_total_2022;edad_media_total_2023;grado_envejecimiento_mayores_45_2020;grado_envejecimiento_mayores_45_2021;grado_envejecimiento_mayores_45_2022;grado_envejecimiento_mayores_45_2023;grado_envejecimiento_mayores_55_2020;grado_envejecimiento_mayores_55_2021;grado_envejecimiento_mayores_55_2022;grado_envejecimiento_mayores_55_2023;grado_envejecimiento_mayores_65_2020;grado_envejecimiento_mayores_65_2021;grado_envejecimiento_mayores_65_2022;grado_envejecimiento_mayores_65_2023;grado_envejecimiento_mayores_75_2020;grado_envejecimiento_mayores_75_2021;grado_envejecimiento_mayores_75_2022;grado_envejecimiento_mayores_75_2023;grado_envejecimiento_mayores_85_2020;grado_envejecimiento_mayores_85_2021;grado_envejecimiento_mayores_85_2022;grado_envejecimiento_mayores_85_2023;grado_juventud_menores_15_2020;grado_juventud_menores_15_2021;grado_juventud_menores_15_2022;grado_juventud_menores_15_2023;grado_juventud_menores_25_2020;grado_juventud_menores_25_2021;grado_juventud_menores_25_2022;grado_juventud_menores_25_2023;grado_juventud_menores_35_2020;grado_juventud_menores_35_2021;grado_juventud_menores_35_2022;grado_juventud_menores_35_2023;grado_juventud_menores_45_2020;grado_juventud_menores_45_2021;grado_juventud_menores_45_2022;grado_juventud_menores_45_2023
Comunidad de Madrid;;Comunidad de Madrid;1.75;-0.42;-0.01;;844.23;840.66;840.55;;41.98;42.2;42.52;;46.29;47.04;47.94;;30.24;30.71;31.36;;17.83;17.97;18.31;;8.79;8.86;9.07;;2.99;2.95;3.06;;14.96;14.69;14.4;;25.07;24.95;24.82;;37.41;37.13;36.83;;53.71;52.96;52.06;
Zonas Estadísticas;01;Municipio de Madrid ;2.1;-0.88;-0.75;;5512.13;5463.66;5422.96;;43.56;43.7;43.95;;48.22;48.7;49.41;;32.79;33.16;33.76;;20.06;20.06;20.3;;11.0;10.96;11.07;;4.02;3.99;4.11;;13.08;12.89;12.66;;22.64;22.49;22.37;;36.21;36.06;35.83;;51.78;51.3;50.59;
Zonas Estadísticas;02;Norte Metropolitano ;0.23;-0.34;0.89;;832.48;829.62;836.98;;39.74;40.07;40.42;;43.23;44.24;45.22;;26.66;27.36;28.09;;14.45;14.76;15.23;;6.03;6.22;6.56;;1.87;1.82;1.92;;17.06;16.78;16.57;;28.34;28.16;28.02;;40.03;39.51;39.12;;56.77;55.76;54.78;
Zonas Estadísticas;03;Este Metropolitano  ;2.03;0.02;1.11;;1604.47;1604.86;1622.68;;40.33;40.65;41.03;;43.88;44.89;45.96;;27.44;28.03;28.68;;14.8;15.2;15.72;;5.95;6.1;6.35;;1.76;1.72;1.81;;16.38;16.07;15.69;;26.57;26.45;26.28;;38.41;37.93;37.49;;56.12;55.11;54.04;
Zonas Estadísticas;04;Sur Metropolitano   ;1.05;-0.86;-0.25;;1779.38;1764.16;1759.7;;41.2;41.56;42.0;;45.02;46.21;47.48;;29.08;29.66;30.39;;17.45;17.84;18.38;;7.16;7.55;8.02;;1.88;1.9;2.05;;16.14;15.87;15.45;;26.02;25.94;25.8;;37.32;36.85;36.41;;54.98;53.79;52.52;
Zonas Estadísticas;05;Oeste Metropolitano ;1.26;0.25;1.39;;1015.02;1017.56;1031.7;;39.8;40.11;40.46;;44.97;45.79;46.61;;27.4;28.13;28.93;;14.8;15.03;15.47;;6.45;6.63;6.98;;2.05;2.01;2.13;;17.55;17.06;16.67;;30.33;30.11;29.95;;40.67;40.4;40.16;;55.03;54.21;53.39;
Zonas Estadísticas;06;Sierra Norte        ;3.11;3.01;1.31;;32.28;33.26;33.69;;42.35;42.55;42.88;;48.36;49.32;50.26;;30.13;30.55;31.4;;17.14;17.08;17.52;;8.96;8.68;8.81;;3.55;3.28;3.39;;15.61;15.21;14.93;;25.39;25.12;24.92;;35.09;34.66;34.49;;51.64;50.68;49.74;
Zonas Estadísticas;07;Nordeste Comunidad  ;2.39;1.76;1.61;;167.98;170.93;173.68;;38.21;38.55;38.97;;41.07;42.29;43.42;;22.24;22.91;23.78;;11.12;11.34;11.58;;4.92;4.92;5.02;;1.69;1.61;1.7;;18.79;18.19;17.6;;29.97;29.81;29.48;;40.92;40.47;39.95;;58.93;57.71;56.58;
Zonas Estadísticas;08;Sudeste Comunidad   ;2.26;2.05;1.79;;74.87;76.41;77.78;;40.42;40.59;40.9;;43.8;44.52;45.47;;27.25;27.62;28.2;;14.86;14.87;15.23;;7.34;7.12;7.19;;2.78;2.6;2.67;;16.87;16.6;16.3;;27.16;27.05;26.86;;38.55;38.16;37.8;;56.2;55.48;54.53;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2.86;2.03;2.3;;242.87;247.79;253.49;;37.71;37.95;38.35;;38.91;39.95;41.26;;21.97;22.33;23.04;;11.74;11.79;12.22;;5.52;5.38;5.59;;2.18;2.0;2.13;;20.59;20.1;19.61;;31.05;30.98;30.8;;41.48;41.13;40.69;;61.09;60.05;58.74;
