Serie;Codigo_municipio;Nombre;edad_media_censada_total_2020;edad_media_censada_total_2021;edad_media_censada_total_2022;edad_media_censada_total_2023
Comunidad de Madrid;;Comunidad de Madrid;;42.73;43.02;43.10
Municipios;0014;Acebeda (La);;60.59;59.68;62.68
Municipios;0029;Ajalvir;;39.91;40.26;40.63
Municipios;0035;Alameda del Valle;;47.99;49.27;48.61
Municipios;0040;Alamo (El);;41.96;42.65;42.59
Municipios;0053;Alcalá de Henares;;43.13;43.51;43.65
Municipios;0066;Alcobendas;;41.40;41.78;41.86
Municipios;0072;Alcorcón;;44.49;44.90;45.12
Municipios;0088;Aldea del Fresno;;42.82;43.28;43.20
Municipios;0091;Algete;;40.36;40.63;40.79
Municipios;0105;Alpedrete;;41.07;41.43;41.70
Municipios;0112;Ambite;;46.04;46.68;46.53
Municipios;0127;Anchuelo;;39.80;39.67;39.70
Municipios;0133;Aranjuez;;41.61;41.98;42.20
Municipios;0148;Arganda del Rey;;39.42;39.86;40.14
Municipios;0151;Arroyomolinos;;34.32;34.80;35.26
Municipios;0164;Atazar (El);;48.18;48.93;50.19
Municipios;0170;Batres;;42.36;42.53;43.03
Municipios;0186;Becerril de la Sierra;;42.48;42.66;43.12
Municipios;0199;Belmonte de Tajo;;42.67;42.78;42.77
Municipios;0210;Berrueco (El);;45.58;45.54;45.95
Municipios;0203;Berzosa del Lozoya;;49.90;49.17;49.78
Municipios;0225;Boadilla del Monte;;37.95;38.10;38.50
Municipios;0231;Boalo (El);;39.86;40.17;40.63
Municipios;0246;Braojos;;45.11;45.94;46.69
Municipios;0259;Brea de Tajo;;48.63;48.28;48.80
Municipios;0262;Brunete;;39.85;40.53;40.74
Municipios;0278;Buitrago del Lozoya;;43.00;42.84;43.53
Municipios;0284;Bustarviejo;;42.95;43.38;43.56
Municipios;0297;Cabanillas de la Sierra;;42.67;42.75;42.94
Municipios;0301;Cabrera (La);;43.17;43.12;43.11
Municipios;0318;Cadalso de los Vidrios;;44.69;44.77;45.05
Municipios;0323;Camarma de Esteruelas;;38.85;39.31;39.76
Municipios;0339;Campo Real;;39.70;40.09;40.41
Municipios;0344;Canencia;;51.50;52.16;51.71
Municipios;0357;Carabaña;;42.45;42.61;42.91
Municipios;0360;Casarrubuelos;;38.43;38.87;39.16
Municipios;0376;Cenicientos;;47.01;47.62;48.06
Municipios;0382;Cercedilla;;43.66;43.74;43.94
Municipios;0395;Cervera de Buitrago;;53.03;53.06;52.73
Municipios;0513;Chapinería;;41.78;41.84;41.94
Municipios;0528;Chinchón;;44.09;44.43;44.59
Municipios;0409;Ciempozuelos;;40.77;41.49;41.94
Municipios;0416;Cobeña;;37.62;37.93;38.48
Municipios;0468;Collado Mediano;;41.71;42.10;42.33
Municipios;0474;Collado Villalba;;41.40;41.78;42.04
Municipios;0455;Colmenar Viejo;;40.03;40.35;40.53
Municipios;0437;Colmenar de Oreja;;43.50;43.67;43.98
Municipios;0421;Colmenar del Arroyo;;43.87;44.17;44.33
Municipios;0442;Colmenarejo;;39.79;40.33;40.79
Municipios;0480;Corpa;;40.10;41.00;41.86
Municipios;0493;Coslada;;44.50;45.00;45.33
Municipios;0506;Cubas de la Sagra;;37.56;37.81;38.41
Municipios;0534;Daganzo de Arriba;;37.34;37.85;38.36
Municipios;0549;Escorial (El);;43.71;44.08;44.39
Municipios;0552;Estremera;;45.93;46.42;46.56
Municipios;0565;Fresnedillas de la Oliva;;39.26;39.82;40.15
Municipios;0571;Fresno de Torote;;40.32;40.45;40.60
Municipios;0587;Fuenlabrada;;41.41;41.99;42.46
Municipios;0590;Fuente el Saz de Jarama;;40.94;41.18;41.32
Municipios;0604;Fuentidueña de Tajo;;43.56;44.02;44.34
Municipios;0611;Galapagar;;40.73;41.22;41.50
Municipios;0626;Garganta de los Montes;;46.74;47.48;46.88
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;;47.66;47.68;48.04
Municipios;0647;Gascones;;43.41;43.19;43.08
Municipios;0650;Getafe;;42.70;42.94;43.09
Municipios;0663;Griñón;;41.10;41.49;41.93
Municipios;0679;Guadalix de la Sierra;;40.94;41.43;41.77
Municipios;0685;Guadarrama;;42.46;42.84;43.29
Municipios;0698;Hiruela (La);;51.90;50.70;53.90
Municipios;0702;Horcajo de la Sierra-Aoslos;;45.08;45.61;44.38
Municipios;0719;Horcajuelo de la Sierra;;47.15;47.29;48.10
Municipios;0724;Hoyo de Manzanares;;41.60;42.07;42.52
Municipios;0730;Humanes de Madrid;;36.91;37.51;38.03
Municipios;0745;Leganés;;44.38;44.77;44.88
Municipios;0758;Loeches;;37.52;38.01;38.41
Municipios;0761;Lozoya;;50.19;50.63;50.20
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;;44.77;44.70;44.43
Municipios;0783;Madarcos;;48.59;49.05;49.27
Municipios;0796;Madrid;;44.26;44.48;44.35
Municipios;0800;Majadahonda;;41.26;41.65;42.06
Municipios;0822;Manzanares el Real;;40.58;41.14;41.69
Municipios;0838;Meco;;37.82;38.22;38.67
Municipios;0843;Mejorada del Campo;;40.21;40.69;40.94
Municipios;0856;Miraflores de la Sierra;;42.02;42.36;42.42
Municipios;0869;Molar (El);;39.42;39.72;40.01
Municipios;0875;Molinos (Los);;44.67;44.83;45.32
Municipios;0881;Montejo de la Sierra;;50.18;51.00;50.74
Municipios;0894;Moraleja de Enmedio;;40.10;40.38;40.67
Municipios;0908;Moralzarzal;;40.65;41.10;41.62
Municipios;0915;Morata de Tajuña;;42.28;42.88;43.19
Municipios;0920;Móstoles;;43.66;44.07;44.33
Municipios;0936;Navacerrada;;44.39;44.76;44.43
Municipios;0941;Navalafuente;;40.18;40.29;40.39
Municipios;0954;Navalagamella;;40.39;40.38;40.48
Municipios;0967;Navalcarnero;;38.18;38.65;39.08
Municipios;0973;Navarredonda y San Mamés;;54.11;53.01;53.26
Municipios;0992;Navas del Rey;;42.80;43.01;43.02
Municipios;1006;Nuevo Baztán;;41.56;41.89;42.20
Municipios;1013;Olmeda de las Fuentes;;41.98;42.01;43.61
Municipios;1028;Orusco de Tajuña;;45.08;44.97;45.24
Municipios;1049;Paracuellos de Jarama;;35.70;36.21;36.75
Municipios;1065;Parla;;38.25;38.70;39.03
Municipios;1071;Patones;;48.58;49.27;50.70
Municipios;1087;Pedrezuela;;38.73;39.00;39.50
Municipios;1090;Pelayos de la Presa;;43.74;43.85;43.99
Municipios;1104;Perales de Tajuña;;42.18;42.19;42.53
Municipios;1111;Pezuela de las Torres;;43.67;43.57;43.31
Municipios;1126;Pinilla del Valle;;50.49;50.44;49.91
Municipios;1132;Pinto;;39.53;39.98;40.22
Municipios;1147;Piñuécar-Gandullas;;47.53;46.68;47.26
Municipios;1150;Pozuelo de Alarcón;;41.84;42.15;42.42
Municipios;1163;Pozuelo del Rey;;38.14;38.28;38.56
Municipios;1179;Prádena del Rincón;;46.20;47.37;47.67
Municipios;1185;Puebla de la Sierra;;50.01;49.44;50.69
Municipios;9020;Puentes Viejas;;45.68;46.20;45.06
Municipios;1198;Quijorna;;38.92;39.45;39.98
Municipios;1202;Rascafría;;48.57;49.53;49.84
Municipios;1219;Redueña;;43.50;43.50;43.38
Municipios;1224;Ribatejada;;43.18;43.74;43.87
Municipios;1230;Rivas-Vaciamadrid;;37.46;37.76;38.11
Municipios;1245;Robledillo de la Jara;;54.44;50.32;46.69
Municipios;1258;Robledo de Chavela;;44.75;44.91;45.19
Municipios;1261;Robregordo;;50.66;51.88;49.23
Municipios;1277;Rozas de Madrid (Las);;40.00;40.44;40.71
Municipios;1283;Rozas de Puerto Real;;50.23;51.02;50.81
Municipios;1296;San Agustín del Guadalix;;38.39;39.00;39.52
Municipios;1300;San Fernando de Henares;;42.28;42.80;43.27
Municipios;1317;San Lorenzo de El Escorial;;43.16;43.69;44.21
Municipios;1338;San Martín de Valdeiglesias;;43.52;43.85;43.90
Municipios;1322;San Martín de la Vega;;38.24;38.65;39.02
Municipios;1343;San Sebastián de los Reyes;;40.43;40.82;41.13
Municipios;1356;Santa María de la Alameda;;45.21;45.10;45.39
Municipios;1369;Santorcaz;;44.30;44.13;44.52
Municipios;1375;Santos de la Humosa (Los);;37.85;38.58;38.86
Municipios;1381;Serna del Monte (La);;42.94;42.25;41.78
Municipios;1408;Serranillos del Valle;;39.40;39.64;40.10
Municipios;1415;Sevilla la Nueva;;39.20;39.90;40.30
Municipios;1436;Somosierra;;51.93;50.73;50.64
Municipios;1441;Soto del Real;;42.78;43.18;43.27
Municipios;1454;Talamanca de Jarama;;39.27;39.99;40.25
Municipios;1467;Tielmes;;42.07;42.58;42.83
Municipios;1473;Titulcia;;41.95;42.92;43.10
Municipios;1489;Torrejón de Ardoz;;40.73;41.07;41.33
Municipios;1505;Torrejón de Velasco;;39.95;40.15;40.52
Municipios;1492;Torrejón de la Calzada;;37.78;37.80;38.22
Municipios;1512;Torrelaguna;;41.86;42.55;43.04
Municipios;1527;Torrelodones;;40.21;40.53;40.71
Municipios;1533;Torremocha de Jarama;;47.81;48.61;48.65
Municipios;1548;Torres de la Alameda;;40.94;41.26;41.53
Municipios;9036;Tres Cantos;;40.44;40.70;40.98
Municipios;1551;Valdaracete;;46.43;46.55;47.09
Municipios;1564;Valdeavero;;39.71;40.59;40.43
Municipios;1570;Valdelaguna;;43.03;43.15;43.20
Municipios;1586;Valdemanco;;44.33;44.55;44.92
Municipios;1599;Valdemaqueda;;45.41;46.31;46.60
Municipios;1603;Valdemorillo;;41.13;41.48;41.77
Municipios;1610;Valdemoro;;38.04;38.53;38.96
Municipios;1625;Valdeolmos-Alalpardo;;38.02;38.52;38.72
Municipios;1631;Valdepiélagos;;42.44;43.27;43.80
Municipios;1646;Valdetorres de Jarama;;42.06;42.13;42.42
Municipios;1659;Valdilecha;;40.67;40.95;40.72
Municipios;1662;Valverde de Alcalá;;43.80;43.77;43.87
Municipios;1678;Velilla de San Antonio;;38.63;39.02;39.23
Municipios;1684;Vellón (El);;41.79;41.86;42.11
Municipios;1697;Venturada;;41.57;41.79;41.84
Municipios;1718;Villa del Prado;;41.82;42.26;42.29
Municipios;1701;Villaconejos;;42.80;43.10;43.36
Municipios;1723;Villalbilla;;37.30;37.39;37.65
Municipios;1739;Villamanrique de Tajo;;45.30;45.88;46.19
Municipios;1744;Villamanta;;43.74;43.74;43.92
Municipios;1757;Villamantilla;;39.34;39.30;39.85
Municipios;1782;Villanueva de Perales;;40.59;40.97;41.09
Municipios;1760;Villanueva de la Cañada;;38.42;38.78;38.92
Municipios;1776;Villanueva del Pardillo;;36.92;37.59;38.21
Municipios;1795;Villar del Olmo;;41.81;42.04;42.18
Municipios;1809;Villarejo de Salvanés;;41.70;41.99;42.21
Municipios;1816;Villaviciosa de Odón;;43.18;43.48;43.51
Municipios;1821;Villavieja del Lozoya;;47.24;45.63;44.75
Municipios;1837;Zarzalejo;;42.65;43.22;43.43
