Serie;Codigo_municipio;Nombre;num_explotaciones_agricolas_total;num_explotaciones_agricolas_huertos_consumo_propio;num_explotaciones_agricolas_tierra_pastos;sup_explotaciones_agricolas_total;sup_explotaciones_agricolas_huertos_consumo_propio;sup_explotaciones_agricolas_tierra_pastos
Comunidad de Madrid;;Comunidad de Madrid;7716;491;1918;303329.62;15.11;118008.83
Zonas Estadísticas;01;Municipio de Madrid ;109;3;12;2030.10;0.13;71.69
Zonas Estadísticas;02;Norte Metropolitano ;0;0;0;0;0;0
Zonas Estadísticas;03;Este Metropolitano  ;0;0;0;0;0;0
Zonas Estadísticas;04;Sur Metropolitano   ;49;37;68;32953.70;1.14;3171.95
Zonas Estadísticas;05;Oeste Metropolitano ;0;0;0;0;0;0
Zonas Estadísticas;06;Sierra Norte        ;0;0;0;0;0;0
Zonas Estadísticas;07;Nordeste Comunidad  ;30;16;53;27812.93;0.50;2920.21
Zonas Estadísticas;08;Sudeste Comunidad   ;97;144;166;79912.79;4.37;6352.67
Zonas Estadísticas;09;Sudoeste Comunidad  ;0;0;0;0;0;0
Zonas Estadísticas;10;Sierra Sur          ;0;0;0;0;0;0
Zonas Estadísticas;11;Sierra Central      ;23;21;373;31673.17;0.50;30054.39
Municipios;0014;Acebeda (La);0;0;0;0;0;0
Municipios;0029;Ajalvir;19;0;1;1176.67;0.00;10.54
Municipios;0035;Alameda del Valle;15;1;14;871.83;0.04;871.60
Municipios;0040;Alamo (El);72;5;4;1751.80;0.18;100.53
Municipios;0053;Alcalá de Henares;21;1;1;2259.37;0.05;1000.00
Municipios;0066;Alcobendas;0;0;0;0;0;0
Municipios;0072;Alcorcón;9;0;1;273.63;0.00;38.30
Municipios;0088;Aldea del Fresno;30;3;8;738.69;0.09;134.86
Municipios;0091;Algete;16;2;4;2623.16;0.07;135.87
Municipios;0105;Alpedrete;9;1;9;571.28;0.02;571.26
Municipios;0112;Ambite;24;1;3;1822.30;0.04;866.98
Municipios;0127;Anchuelo;30;1;0;1455.15;0.01;0.00
Municipios;0133;Aranjuez;189;11;23;10742.00;0.36;1002.53
Municipios;0148;Arganda del Rey;170;10;14;2536.56;0.30;411.91
Municipios;0151;Arroyomolinos;0;0;0;0;0;0
Municipios;0164;Atazar (El);0;0;0;0;0;0
Municipios;0170;Batres;5;1;4;190.99;0.02;103.15
Municipios;0186;Becerril de la Sierra;22;2;21;1358.10;0.05;1356.43
Municipios;0199;Belmonte de Tajo;142;5;5;1400.13;0.18;2.04
Municipios;0210;Berrueco (El);8;0;8;195.56;0.00;195.16
Municipios;0203;Berzosa del Lozoya;4;0;3;271.94;0.00;257.94
Municipios;0225;Boadilla del Monte;4;0;2;730.35;0.00;729.11
Municipios;0231;Boalo (El);27;2;27;1795.42;0.05;1795.23
Municipios;0246;Braojos;13;1;13;599.09;0.03;599.06
Municipios;0259;Brea de Tajo;85;7;3;2532.27;0.14;92.80
Municipios;0262;Brunete;15;1;3;3375.06;0.05;100.68
Municipios;0278;Buitrago del Lozoya;18;0;18;1331.05;0.00;1331.05
Municipios;0284;Bustarviejo;16;2;16;924.62;0.10;919.31
Municipios;0297;Cabanillas de la Sierra;7;0;7;633.34;0.00;597.54
Municipios;0301;Cabrera (La);6;0;6;798.97;0.00;798.97
Municipios;0318;Cadalso de los Vidrios;162;28;27;1015.73;1.02;560.34
Municipios;0323;Camarma de Esteruelas;30;0;0;2505.40;0.00;0.00
Municipios;0339;Campo Real;160;9;13;4292.72;0.36;191.38
Municipios;0344;Canencia;24;2;24;1458.89;0.02;1458.82
Municipios;0357;Carabaña;102;6;7;1868.15;0.12;53.33
Municipios;0360;Casarrubuelos;0;0;0;0;0;0
Municipios;0376;Cenicientos;248;27;56;1937.01;0.76;1390.80
Municipios;0382;Cercedilla;30;1;29;798.29;0.01;797.23
Municipios;0395;Cervera de Buitrago;0;0;0;0;0;0
Municipios;0513;Chapinería;5;0;3;306.70;0.00;297.71
Municipios;0528;Chinchón;383;12;9;4608.05;0.38;237.44
Municipios;0409;Ciempozuelos;108;9;9;2361.62;0.20;246.19
Municipios;0416;Cobeña;18;0;3;1343.35;0.00;39.47
Municipios;0468;Collado Mediano;18;2;17;573.58;0.02;572.56
Municipios;0474;Collado Villalba;7;1;5;605.48;0.05;602.41
Municipios;0455;Colmenar Viejo;165;12;161;13976.40;0.39;13613.71
Municipios;0437;Colmenar de Oreja;501;17;22;7955.99;0.48;1165.52
Municipios;0421;Colmenar del Arroyo;16;1;13;2519.57;0.02;2405.17
Municipios;0442;Colmenarejo;7;0;7;1727.93;0.00;1727.93
Municipios;0480;Corpa;34;2;0;1327.01;0.03;0.00
Municipios;0493;Coslada;0;0;0;0;0;0
Municipios;0506;Cubas de la Sagra;9;0;2;248.23;0.00;8.45
Municipios;0534;Daganzo de Arriba;30;3;3;4232.89;0.05;323.84
Municipios;0549;Escorial (El);37;1;36;3485.26;0.01;3482.38
Municipios;0552;Estremera;126;9;9;5375.96;0.20;96.57
Municipios;0565;Fresnedillas de la Oliva;18;1;18;908.95;0.05;907.90
Municipios;0571;Fresno de Torote;9;1;2;2073.00;0.05;110.43
Municipios;0587;Fuenlabrada;24;6;3;1332.18;0.30;388.67
Municipios;0590;Fuente el Saz de Jarama;21;0;4;2054.80;0.00;7.31
Municipios;0604;Fuentidueña de Tajo;57;6;1;3681.86;0.16;0.39
Municipios;0611;Galapagar;18;1;18;718.95;0.02;718.93
Municipios;0626;Garganta de los Montes;23;3;23;1815.26;0.11;1812.45
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;12;0;12;827.74;0.00;827.74
Municipios;0647;Gascones;10;0;10;529.46;0.00;526.31
Municipios;0650;Getafe;29;0;6;2713.24;0.00;342.07
Municipios;0663;Griñón;13;2;1;1458.62;0.04;743.95
Municipios;0679;Guadalix de la Sierra;68;7;68;3686.51;0.19;3646.66
Municipios;0685;Guadarrama;43;1;43;1929.58;0.01;1929.54
Municipios;0698;Hiruela (La);0;0;0;0;0;0
Municipios;0702;Horcajo de la Sierra0Aoslos;8;1;8;493.96;0.01;491.45
Municipios;0719;Horcajuelo de la Sierra;4;0;4;404.84;0.00;395.80
Municipios;0724;Hoyo de Manzanares;13;0;13;412.25;0.00;332.15
Municipios;0730;Humanes de Madrid;21;1;3;1110.61;0.04;3.03
Municipios;0745;Leganés;9;0;2;813.65;0.00;9.49
Municipios;0758;Loeches;7;0;1;2110.50;0.00;3.50
Municipios;0761;Lozoya;22;0;21;1509.12;0.00;1506.52
Municipios;9015;Lozoyuela0Navas0Sieteiglesias;24;4;23;1513.26;0.12;1511.21
Municipios;0783;Madarcos;5;0;5;945.25;0.00;908.09
Municipios;0796;Madrid;109;3;12;2030.10;0.13;71.69
Municipios;0800;Majadahonda;8;0;4;1546.76;0.00;680.92
Municipios;0822;Manzanares el Real;19;1;19;5824.04;0.03;5495.23
Municipios;0838;Meco;33;0;2;3819.25;0.00;1656.81
Municipios;0843;Mejorada del Campo;17;1;3;540.05;0.04;65.64
Municipios;0856;Miraflores de la Sierra;25;2;25;2539.95;0.08;2527.95
Municipios;0869;Molar (El);99;7;21;1674.35;0.26;247.00
Municipios;0875;Molinos (Los);28;1;28;771.21;0.02;771.19
Municipios;0881;Montejo de la Sierra;12;2;11;626.80;0.04;623.53
Municipios;0894;Moraleja de Enmedio;25;3;8;2228.00;0.08;58.91
