Serie;Codigo_municipio;Nombre;evolucion_paro_registrado_2020;evolucion_paro_registrado_2021;evolucion_paro_registrado_2022;evolucion_paro_registrado_2023;paro_y_44_2020;paro_y_44_2021;paro_y_44_2022;paro_y_44_2023;paro_mayores_25_2020;paro_mayores_25_2021;paro_mayores_25_2022;paro_mayores_25_2023;paro_mayores_45_2020;paro_mayores_45_2021;paro_mayores_45_2022;paro_mayores_45_2023;paro_menores_25_2020;paro_menores_25_2021;paro_menores_25_2022;paro_menores_25_2023;paro_100_habitantes_2020;paro_100_habitantes_2021;paro_100_habitantes_2022;paro_100_habitantes_2023;paro_registrado_total_2020;paro_registrado_total_2021;paro_registrado_total_2022;paro_registrado_total_2023;porcentaje_mayores_25_2020;porcentaje_mayores_25_2021;porcentaje_mayores_25_2022;porcentaje_mayores_25_2023;porcentaje_menores_25_2020;porcentaje_menores_25_2021;porcentaje_menores_25_2022;porcentaje_menores_25_2023;variacion_paro_registrado_2020;variacion_paro_registrado_2021;variacion_paro_registrado_2022;variacion_paro_registrado_2023
Comunidad de Madrid;;Comunidad de Madrid;0.06;1.18;-1.52;;148404;181726;126654;113560;335594;402410;316216;291820;187190;220684;189562;178260;28166;39220;23007;23162;5.37;6.54;5.03;;363760;441630;339223;314982;92.26;91.12;93.22;92.65;7.74;8.88;6.78;7.35;2.83;21.41;-23.19;-7.15
Zonas Estadísticas;01;Municipio de Madrid ;0.04;1.31;-1.63;;70059;88917;58938;54392;160007;196161;149239;138992;89948;107244;90301;84600;12663;18285;10172;10271;5.18;6.49;4.86;;172670;214446;159411;149263;92.67;91.47;93.62;93.12;7.33;8.53;6.38;6.88;2.98;24.19;-25.66;-6.37
Zonas Estadísticas;02;Norte Metropolitano ;0.10;0.94;-1.22;;5936;7285;5156;4440;13867;16705;13224;11985;7931;9420;8068;7545;1030;1449;767;772;4.24;5.18;3.96;;14897;18154;13991;12757;93.09;92.02;94.52;93.95;6.91;7.98;5.48;6.05;3.98;21.86;-22.93;-8.82
Zonas Estadísticas;03;Este Metropolitano  ;0.02;1.19;-1.53;;16452;19579;14486;12675;36882;43547;35481;32385;20430;23968;20995;19710;3389;4646;2917;2911;6.05;7.24;5.70;;40271;48193;38398;35296;91.58;90.36;92.40;91.75;8.42;9.64;7.60;8.25;1.72;19.67;-20.32;-8.08
Zonas Estadísticas;04;Sur Metropolitano   ;0.04;1.22;-1.62;;35957;42237;30546;26582;76965;90207;71998;65587;41008;47970;41452;39005;7351;9638;6067;6114;6.28;7.50;5.88;;84316;99845;78065;71701;91.28;90.35;92.23;91.47;8.72;9.65;7.77;8.53;1.71;18.42;-21.81;-8.15
Zonas Estadísticas;05;Oeste Metropolitano ;0.16;0.69;-0.97;;6836;8374;5736;5111;17454;20527;16564;15364;10618;12153;10828;10253;1079;1540;820;815;3.67;4.36;3.39;;18533;22067;17384;16179;94.18;93.02;95.28;94.96;5.82;6.98;4.72;5.04;5.77;19.07;-21.22;-6.93
Zonas Estadísticas;06;Sierra Norte        ;-0.04;0.98;-1.30;;886;1077;841;770;2171;2594;2157;2125;1285;1517;1316;1355;162;249;132;121;5.37;6.35;5.05;;2333;2843;2289;2246;93.06;91.24;94.23;94.61;6.94;8.76;5.77;5.39;2.41;21.86;-19.49;-1.88
Zonas Estadísticas;07;Nordeste Comunidad  ;0.31;0.77;-1.27;;1601;1698;1268;1120;3533;4005;3377;3090;1932;2307;2109;1970;292;411;234;271;5.74;6.51;5.24;;3825;4416;3611;3361;92.37;90.69;93.52;91.94;7.63;9.31;6.48;8.06;8.14;15.45;-18.23;-6.92
Zonas Estadísticas;08;Sudeste Comunidad   ;-0.04;0.92;-1.35;;2949;3453;2743;2405;6678;7717;6620;6083;3729;4264;3877;3678;658;792;520;535;6.74;7.66;6.32;;7336;8509;7140;6618;91.03;90.69;92.72;91.92;8.97;9.31;7.28;8.08;1.69;15.99;-16.09;-7.31
Zonas Estadísticas;09;Sudoeste Comunidad  ;-0.01;0.97;-1.25;;3313;3973;3051;2645;7125;8404;7057;6378;3812;4431;4006;3733;675;1001;657;640;5.32;6.29;5.04;;7800;9405;7714;7018;91.35;89.36;91.48;90.88;8.65;10.64;8.52;9.12;2.74;20.58;-17.98;-9.02
Zonas Estadísticas;10;Sierra Sur          ;0.06;1.08;-1.44;;1086;1281;1036;918;2537;2936;2576;2366;1451;1655;1540;1448;273;374;229;215;7.67;8.75;7.31;;2810;3310;2805;2581;90.28;88.70;91.84;91.67;9.72;11.30;8.16;8.33;3.20;17.79;-15.26;-7.99
Zonas Estadísticas;11;Sierra Central      ;0.24;0.73;-1.16;;3329;3852;2853;2502;8375;9607;7923;7465;5046;5755;5070;4963;594;835;492;497;5.02;5.75;4.58;;8969;10442;8415;7962;93.38;92.00;94.15;93.76;6.62;8.00;5.85;6.24;6.99;16.42;-19.41;-5.38
Municipios;0014;Acebeda (La);3.15;-3.02;-0.82;;2;0;1;2;7;3;4;6;5;3;3;4;0;1;0;0;10.29;7.27;6.45;;7;4;4;6;100.00;75.00;100.00;100.00;0.00;25.00;0.00;0.00;16.67;-42.86;0.00;50.00
