Serie;Codigo_municipio;Nombre;unidades_productivas_primario_2020;unidades_productivas_primario_2021;unidades_productivas_primario_2022;unidades_productivas_primario_2023;unidades_productivas_secundario_2020;unidades_productivas_secundario_2021;unidades_productivas_secundario_2022;unidades_productivas_secundario_2023;unidades_productivas_terciario_2020;unidades_productivas_terciario_2021;unidades_productivas_terciario_2022;unidades_productivas_terciario_2023
Comunidad de Madrid;;Comunidad de Madrid;4821;4705;4770;4745;113402;113582;115462;116529;1412874;1399419;1426985;1433316
Zonas Estadísticas;01;Municipio de Madrid ;1499;1446;1520;1539;41056;40984;41987;43033;815868;805275;818258;823488
Zonas Estadísticas;02;Norte Metropolitano ;284;300;300;287;5909;5929;6061;6086;74527;73776;75594;76139
Zonas Estadísticas;03;Este Metropolitano  ;236;233;230;224;16646;16680;16871;16737;105579;104570;106675;106007
Zonas Estadísticas;04;Sur Metropolitano   ;582;587;556;556;27764;27735;27893;27784;186456;185103;188376;187651
Zonas Estadísticas;05;Oeste Metropolitano ;309;306;320;328;6468;6551;6753;6924;132577;131932;136339;137980
Zonas Estadísticas;06;Sierra Norte        ;261;243;251;243;1010;1050;1051;1072;7945;8058;8215;8169
Zonas Estadísticas;07;Nordeste Comunidad  ;151;150;153;147;2093;2088;2111;2175;10962;10925;11218;11266
Zonas Estadísticas;08;Sudeste Comunidad   ;664;621;630;635;3634;3625;3593;3562;16980;17168;17536;17335
Zonas Estadísticas;09;Sudoeste Comunidad  ;416;415;394;382;4590;4635;4719;4726;23999;24295;25071;25254
Zonas Estadísticas;10;Sierra Sur          ;187;179;177;170;979;987;1026;1014;5675;5763;5980;5988
Zonas Estadísticas;11;Sierra Central      ;232;225;239;234;3253;3318;3397;3416;32306;32554;33723;34039
Municipios;0014;Acebeda (La);0;0;0;0;7;6;3;1;52;50;44;43
Municipios;0029;Ajalvir;10;12;11;11;553;558;547;535;1629;1634;1640;1604
Municipios;0035;Alameda del Valle;5;5;5;3;1;1;1;1;60;60;66;70
Municipios;0040;Alamo (El);14;13;18;17;244;255;259;271;1347;1391;1447;1461
Municipios;0053;Alcalá de Henares;64;59;62;56;3535;3621;3590;3564;29128;28649;29017;28865
Municipios;0066;Alcobendas;51;58;63;66;1743;1776;1784;1786;28921;28603;29241;29533
Municipios;0072;Alcorcón;36;28;28;24;2816;2853;2906;2889;25995;25690;26304;26395
Municipios;0088;Aldea del Fresno;23;22;22;25;49;57;65;62;412;408;425;407
