Mercado de trabajo.Relación con la actividad económica.Trabajadores afiliados.Por municipio de residencia.Por estrato de edad. Afiliados a la Seguridad Social de 50 años y más residentes. Unidad: Número. Fuente: Dinámica de la Ocupación. Dirección General de Economía. Afiliados y Cuentas de Cotización de la Tesorería General de la Seguridad Social.;
Serie;;;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Comunidad de Madrid;;Comunidad de Madrid;680288;714757;757798;803626;858689;917270;964934;988925;1048982;1109294;
Zonas Estadísticas;01;Municipio de Madrid ;347010;362084;381132;400267;424082;448662;467885;474664;498488;521269;
Zonas Estadísticas;02;Norte Metropolitano ;34149;36098;38382;40685;43111;45849;48151;49343;52042;55087;
Zonas Estadísticas;03;Este Metropolitano  ;59672;62423;66195;70496;75497;80406;84756;86467;90949;95669;
Zonas Estadísticas;04;Sur Metropolitano   ;112764;117130;123003;129888;138270;148244;156794;161423;172142;182923;
Zonas Estadísticas;05;Oeste Metropolitano ;48543;51891;55620;59189;63510;68039;72405;75312;80061;84791;
Zonas Estadísticas;06;Sierra Norte        ;3507;3667;3902;4188;4604;4993;5335;5573;6001;6338;
Zonas Estadísticas;07;Nordeste Comunidad  ;4178;4553;4989;5536;6199;6879;7524;7892;8631;9376;
Zonas Estadísticas;08;Sudeste Comunidad   ;7533;8078;8756;9608;10374;11302;12103;12512;13416;14330;
Zonas Estadísticas;09;Sudoeste Comunidad  ;8658;9486;10416;11552;12679;13868;15002;15917;17376;18881;
Zonas Estadísticas;10;Sierra Sur          ;2338;2522;2704;2935;3218;3593;3855;4038;4286;4566;
Zonas Estadísticas;11;Sierra Central      ;14700;16046;17567;19131;20966;22882;24730;25963;27890;29859;
Zonas Estadísticas;99;Sin Zona asignada   ;37236;40779;45132;50151;56179;62553;66394;69821;77700;86205;
Municipios;0014;Acebeda (La);37;35;34;33;30;30;25;22;20;22;
Municipios;0029;Ajalvir;340;366;420;433;488;514;560;577;628;701;
Municipios;0035;Alameda del Valle;18;20;25;30;30;34;32;36;36;34;
Municipios;0040;Alamo (El);604;648;669;727;813;875;988;1035;1140;1225;
Municipios;0053;Alcalá de Henares;16663;17421;18467;19763;21356;22757;24036;24654;25955;27309;
Municipios;0066;Alcobendas;11720;12287;12985;13565;14349;15204;16029;16468;17449;18536;
Municipios;0072;Alcorcón;14389;15052;15823;16833;18186;19853;21422;22436;24260;26198;
Municipios;0088;Aldea del Fresno;173;182;206;217;232;239;260;281;288;303;
Municipios;0091;Algete;2214;2365;2567;2759;2918;3134;3247;3254;3385;3509;
Municipios;0105;Alpedrete;1127;1269;1414;1559;1741;1906;2111;2230;2434;2617;
Municipios;0112;Ambite;88;89;89;93;94;97;91;91;93;95;
Municipios;0127;Anchuelo;89;95;100;110;118;125;142;140;155;170;
Municipios;0133;Aranjuez;4180;4412;4624;4957;5365;5830;6125;6355;6772;7130;
Municipios;0148;Arganda del Rey;4082;4339;4666;5050;5469;5964;6375;6604;7055;7530;
