Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;973834;
Zonas Estadísticas;01;Municipio de Madrid ;550475;
Zonas Estadísticas;02;Norte Metropolitano ;76165;
Zonas Estadísticas;03;Este Metropolitano  ;98295;
Zonas Estadísticas;04;Sur Metropolitano   ;135285;
Zonas Estadísticas;05;Oeste Metropolitano ;58140;
Zonas Estadísticas;06;Sierra Norte        ;2950;
Zonas Estadísticas;07;Nordeste Comunidad  ;8210;
Zonas Estadísticas;08;Sudeste Comunidad   ;8430;
Zonas Estadísticas;09;Sudoeste Comunidad  ;16785;
Zonas Estadísticas;10;Sierra Sur          ;1945;
Zonas Estadísticas;11;Sierra Central      ;11400;
Zonas Estadísticas;99;Sin Zona asignada   ;5775;
Municipios;0014;Acebeda (La);5;
Municipios;0029;Ajalvir;935;
Municipios;0035;Alameda del Valle;20;
Municipios;0040;Alamo (El);560;
Municipios;0053;Alcalá de Henares;21720;
Municipios;0066;Alcobendas;41675;
Municipios;0072;Alcorcón;18205;
Municipios;0088;Aldea del Fresno;125;
Municipios;0091;Algete;2945;
Municipios;0105;Alpedrete;865;
Municipios;0112;Ambite;40;
Municipios;0127;Anchuelo;70;
Municipios;0133;Aranjuez;3910;
Municipios;0148;Arganda del Rey;7525;
Municipios;0151;Arroyomolinos;4140;
Municipios;0164;Atazar (El);5;
Municipios;0170;Batres;70;
Municipios;0186;Becerril de la Sierra;400;
Municipios;0199;Belmonte de Tajo;55;
Municipios;0210;Berrueco (El);50;
Municipios;0203;Berzosa del Lozoya;5;
Municipios;0225;Boadilla del Monte;5035;
Municipios;0231;Boalo (El);495;
Municipios;0246;Braojos;15;
Municipios;0259;Brea de Tajo;15;
Municipios;0262;Brunete;530;
Municipios;0278;Buitrago del Lozoya;185;
Municipios;0284;Bustarviejo;150;
Municipios;0297;Cabanillas de la Sierra;45;
Municipios;0301;Cabrera (La);265;
Municipios;0318;Cadalso de los Vidrios;140;
Municipios;0323;Camarma de Esteruelas;680;
Municipios;0339;Campo Real;545;
Municipios;0344;Canencia;30;
Municipios;0357;Carabaña;95;
Municipios;0360;Casarrubuelos;185;
Municipios;0376;Cenicientos;75;
Municipios;0382;Cercedilla;455;
Municipios;0395;Cervera de Buitrago;20;
Municipios;0513;Chapinería;115;
Municipios;0528;Chinchón;610;
Municipios;0409;Ciempozuelos;2885;
Municipios;0416;Cobeña;445;
Municipios;0468;Collado Mediano;380;
Municipios;0474;Collado Villalba;5845;
Municipios;0455;Colmenar Viejo;5205;
Municipios;0437;Colmenar de Oreja;425;
Municipios;0421;Colmenar del Arroyo;165;
Municipios;0442;Colmenarejo;485;
Municipios;0480;Corpa;20;
Municipios;0493;Coslada;14745;
Municipios;0506;Cubas de la Sagra;480;
Municipios;0534;Daganzo de Arriba;1330;
Municipios;0549;Escorial (El);840;
Municipios;0552;Estremera;175;
Municipios;0565;Fresnedillas de la Oliva;55;
Municipios;0571;Fresno de Torote;85;
Municipios;0587;Fuenlabrada;16735;
Municipios;0590;Fuente el Saz de Jarama;470;
Municipios;0604;Fuentidueña de Tajo;130;
Municipios;0611;Galapagar;1530;
Municipios;0626;Garganta de los Montes;20;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;55;
Municipios;0647;Gascones;40;
Municipios;0650;Getafe;22685;
Municipios;0663;Griñón;2755;
Municipios;0679;Guadalix de la Sierra;300;
