Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;3521280.0
Zonas Estadísticas;01;Municipio de Madrid ;1444840.0
Zonas Estadísticas;02;Norte Metropolitano ;328960.0
Zonas Estadísticas;03;Este Metropolitano  ;494040.0
Zonas Estadísticas;04;Sur Metropolitano   ;771360.0
Zonas Estadísticas;05;Oeste Metropolitano ;160960.0
Zonas Estadísticas;06;Sierra Norte        ;12160.0
Zonas Estadísticas;07;Nordeste Comunidad  ;50400.0
Zonas Estadísticas;08;Sudeste Comunidad   ;77000.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;97800.0
Zonas Estadísticas;10;Sierra Sur          ;15440.0
Zonas Estadísticas;11;Sierra Central      ;49520.0
Zonas Estadísticas;99;Sin Zona asignada   ;19200.0
Municipios;0014;Acebeda (La);0.0
Municipios;0029;Ajalvir;16560.0
Municipios;0035;Alameda del Valle;40.0
Municipios;0040;Alamo (El);3400.0
Municipios;0053;Alcalá de Henares;138720.0
Municipios;0066;Alcobendas;146120.0
Municipios;0072;Alcorcón;77040.0
Municipios;0088;Aldea del Fresno;1160.0
Municipios;0091;Algete;25960.0
Municipios;0105;Alpedrete;4000.0
Municipios;0112;Ambite;120.0
Municipios;0127;Anchuelo;400.0
Municipios;0133;Aranjuez;21280.0
Municipios;0148;Arganda del Rey;84440.0
Municipios;0151;Arroyomolinos;16640.0
Municipios;0164;Atazar (El);40.0
Municipios;0170;Batres;680.0
Municipios;0186;Becerril de la Sierra;1640.0
Municipios;0199;Belmonte de Tajo;520.0
Municipios;0210;Berrueco (El);240.0
Municipios;0203;Berzosa del Lozoya;80.0
Municipios;0225;Boadilla del Monte;20160.0
Municipios;0231;Boalo (El);3320.0
Municipios;0246;Braojos;40.0
Municipios;0259;Brea de Tajo;80.0
Municipios;0262;Brunete;2520.0
Municipios;0278;Buitrago del Lozoya;680.0
Municipios;0284;Bustarviejo;520.0
Municipios;0297;Cabanillas de la Sierra;200.0
Municipios;0301;Cabrera (La);640.0
Municipios;0318;Cadalso de los Vidrios;1760.0
Municipios;0323;Camarma de Esteruelas;8480.0
Municipios;0339;Campo Real;6200.0
Municipios;0344;Canencia;200.0
Municipios;0357;Carabaña;960.0
Municipios;0360;Casarrubuelos;4320.0
Municipios;0376;Cenicientos;400.0
Municipios;0382;Cercedilla;2120.0
Municipios;0395;Cervera de Buitrago;40.0
Municipios;0513;Chapinería;800.0
Municipios;0528;Chinchón;2280.0
Municipios;0409;Ciempozuelos;10920.0
Municipios;0416;Cobeña;2480.0
Municipios;0468;Collado Mediano;3240.0
Municipios;0474;Collado Villalba;15960.0
Municipios;0455;Colmenar Viejo;23280.0
Municipios;0437;Colmenar de Oreja;4400.0
Municipios;0421;Colmenar del Arroyo;1600.0
Municipios;0442;Colmenarejo;2320.0
Municipios;0480;Corpa;160.0
Municipios;0493;Coslada;55280.0
Municipios;0506;Cubas de la Sagra;5200.0
Municipios;0534;Daganzo de Arriba;10880.0
Municipios;0549;Escorial (El);2800.0
Municipios;0552;Estremera;480.0
Municipios;0565;Fresnedillas de la Oliva;360.0
Municipios;0571;Fresno de Torote;960.0
Municipios;0587;Fuenlabrada;112200.0
Municipios;0590;Fuente el Saz de Jarama;5040.0
Municipios;0604;Fuentidueña de Tajo;920.0
Municipios;0611;Galapagar;10040.0
Municipios;0626;Garganta de los Montes;240.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;80.0
Municipios;0647;Gascones;200.0
Municipios;0650;Getafe;199400.0
Municipios;0663;Griñón;17640.0
Municipios;0679;Guadalix de la Sierra;2040.0
Municipios;0685;Guadarrama;5240.0
Municipios;0698;Hiruela (La);0.0
Municipios;0702;Horcajo de la Sierra-Aoslos;160.0
Municipios;0719;Horcajuelo de la Sierra;40.0
Municipios;0724;Hoyo de Manzanares;1360.0
Municipios;0730;Humanes de Madrid;45560.0
Municipios;0745;Leganés;92880.0
Municipios;0758;Loeches;19680.0
Municipios;0761;Lozoya;200.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;600.0
Municipios;0783;Madarcos;40.0
Municipios;0796;Madrid;1444840.0
Municipios;0800;Majadahonda;17160.0
Municipios;0822;Manzanares el Real;1800.0
Municipios;0838;Meco;15880.0
Municipios;0843;Mejorada del Campo;20680.0
Municipios;0856;Miraflores de la Sierra;1600.0
Municipios;0869;Molar (El);1880.0
Municipios;0875;Molinos (Los);1360.0
Municipios;0881;Montejo de la Sierra;80.0
Municipios;0894;Moraleja de Enmedio;9440.0
Municipios;0908;Moralzarzal;3880.0
Municipios;0915;Morata de Tajuña;3120.0
Municipios;0920;Móstoles;76760.0
Municipios;0936;Navacerrada;760.0
Municipios;0941;Navalafuente;200.0
Municipios;0954;Navalagamella;440.0
Municipios;0967;Navalcarnero;14600.0
Municipios;0973;Navarredonda y San Mamés;40.0
Municipios;0992;Navas del Rey;1200.0
Municipios;1006;Nuevo Baztán;3200.0
Municipios;1013;Olmeda de las Fuentes;200.0
Municipios;1028;Orusco de Tajuña;280.0
Municipios;1049;Paracuellos de Jarama;11840.0
Municipios;1065;Parla;36360.0
Municipios;1071;Patones;80.0
Municipios;1087;Pedrezuela;1440.0
Municipios;1090;Pelayos de la Presa;1280.0
Municipios;1104;Perales de Tajuña;1200.0
Municipios;1111;Pezuela de las Torres;120.0
Municipios;1126;Pinilla del Valle;40.0
Municipios;1132;Pinto;47600.0
Municipios;1147;Piñuécar-Gandullas;40.0
Municipios;1150;Pozuelo de Alarcón;31080.0
Municipios;1163;Pozuelo del Rey;360.0
Municipios;1179;Prádena del Rincón;120.0
Municipios;1185;Puebla de la Sierra;0.0
