Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;259880784.0
Zonas Estadísticas;01;Municipio de Madrid ;169089550.0
Zonas Estadísticas;02;Norte Metropolitano ;17244020.0
Zonas Estadísticas;03;Este Metropolitano  ;16193890.0
Zonas Estadísticas;04;Sur Metropolitano   ;25908210.0
Zonas Estadísticas;05;Oeste Metropolitano ;19826120.0
Zonas Estadísticas;06;Sierra Norte        ;627380.0
Zonas Estadísticas;07;Nordeste Comunidad  ;1322970.0
Zonas Estadísticas;08;Sudeste Comunidad   ;1702400.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;3218220.0
Zonas Estadísticas;10;Sierra Sur          ;463410.0
Zonas Estadísticas;11;Sierra Central      ;2810100.0
Municipios;0014;Acebeda (La);1520.0
Municipios;0029;Ajalvir;335730.0
Municipios;0035;Alameda del Valle;3610.0
Municipios;0040;Alamo (El);129770.0
Municipios;0053;Alcalá de Henares;4310720.0
Municipios;0066;Alcobendas;9001250.0
Municipios;0072;Alcorcón;3503600.0
Municipios;0088;Aldea del Fresno;37240.0
Municipios;0091;Algete;554040.0
Municipios;0105;Alpedrete;215650.0
Municipios;0112;Ambite;8360.0
Municipios;0127;Anchuelo;11590.0
Municipios;0133;Aranjuez;865260.0
Municipios;0148;Arganda del Rey;1542040.0
Municipios;0151;Arroyomolinos;713070.0
Municipios;0164;Atazar (El);1330.0
Municipios;0170;Batres;20520.0
Municipios;0186;Becerril de la Sierra;76190.0
Municipios;0199;Belmonte de Tajo;14060.0
Municipios;0210;Berrueco (El);10450.0
Municipios;0203;Berzosa del Lozoya;5700.0
Municipios;0225;Boadilla del Monte;2818460.0
Municipios;0231;Boalo (El);120460.0
Municipios;0246;Braojos;2660.0
Municipios;0259;Brea de Tajo;33630.0
Municipios;0262;Brunete;192470.0
Municipios;0278;Buitrago del Lozoya;70300.0
Municipios;0284;Bustarviejo;34010.0
Municipios;0297;Cabanillas de la Sierra;12350.0
Municipios;0301;Cabrera (La);43890.0
Municipios;0318;Cadalso de los Vidrios;37620.0
Municipios;0323;Camarma de Esteruelas;137180.0
Municipios;0339;Campo Real;103170.0
Municipios;0344;Canencia;7030.0
Municipios;0357;Carabaña;21470.0
Municipios;0360;Casarrubuelos;57380.0
Municipios;0376;Cenicientos;14060.0
Municipios;0382;Cercedilla;139270.0
Municipios;0395;Cervera de Buitrago;3230.0
Municipios;0513;Chapinería;32300.0
Municipios;0528;Chinchón;94240.0
Municipios;0409;Ciempozuelos;525350.0
Municipios;0416;Cobeña;109250.0
Municipios;0468;Collado Mediano;102030.0
Municipios;0474;Collado Villalba;1030750.0
Municipios;0455;Colmenar Viejo;874950.0
Municipios;0437;Colmenar de Oreja;79610.0
Municipios;0421;Colmenar del Arroyo;28310.0
Municipios;0442;Colmenarejo;115710.0
Municipios;0480;Corpa;5890.0
Municipios;0493;Coslada;2025400.0
Municipios;0506;Cubas de la Sagra;102980.0
Municipios;0534;Daganzo de Arriba;243390.0
Municipios;0549;Escorial (El);227810.0
Municipios;0552;Estremera;84740.0
Municipios;0565;Fresnedillas de la Oliva;15010.0
Municipios;0571;Fresno de Torote;20710.0
Municipios;0587;Fuenlabrada;3085600.0
Municipios;0590;Fuente el Saz de Jarama;133570.0
Municipios;0604;Fuentidueña de Tajo;23180.0
Municipios;0611;Galapagar;432630.0
Municipios;0626;Garganta de los Montes;5130.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;6650.0
Municipios;0647;Gascones;5890.0
Municipios;0650;Getafe;4832840.0
Municipios;0663;Griñón;420470.0
Municipios;0679;Guadalix de la Sierra;62890.0
Municipios;0685;Guadarrama;271890.0
Municipios;0698;Hiruela (La);1520.0
Municipios;0702;Horcajo de la Sierra-Aoslos;3610.0
Municipios;0719;Horcajuelo de la Sierra;1900.0
Municipios;0724;Hoyo de Manzanares;203680.0
Municipios;0730;Humanes de Madrid;628140.0
Municipios;0745;Leganés;4198240.0
Municipios;0758;Loeches;244910.0
Municipios;0761;Lozoya;11400.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;33630.0
Municipios;0783;Madarcos;1520.0
Municipios;0796;Madrid;169089550.0
Municipios;0800;Majadahonda;2487860.0
Municipios;0822;Manzanares el Real;99940.0
Municipios;0838;Meco;496470.0
Municipios;0843;Mejorada del Campo;416290.0
Municipios;0856;Miraflores de la Sierra;76570.0
Municipios;0869;Molar (El);90820.0
Municipios;0875;Molinos (Los);62130.0
Municipios;0881;Montejo de la Sierra;7030.0
Municipios;0894;Moraleja de Enmedio;129390.0
Municipios;0908;Moralzarzal;202160.0
Municipios;0915;Morata de Tajuña;86260.0
Municipios;0920;Móstoles;3037340.0
Municipios;0936;Navacerrada;50350.0
Municipios;0941;Navalafuente;12540.0
Municipios;0954;Navalagamella;20330.0
Municipios;0967;Navalcarnero;687420.0
Municipios;0973;Navarredonda y San Mamés;1710.0
Municipios;0992;Navas del Rey;37240.0
Municipios;1006;Nuevo Baztán;87020.0
Municipios;1013;Olmeda de las Fuentes;5130.0
Municipios;1028;Orusco de Tajuña;15770.0
Municipios;1049;Paracuellos de Jarama;432060.0
Municipios;1065;Parla;1236140.0
Municipios;1071;Patones;9120.0
Municipios;1087;Pedrezuela;68780.0
Municipios;1090;Pelayos de la Presa;39900.0
Municipios;1104;Perales de Tajuña;35720.0
Municipios;1111;Pezuela de las Torres;11400.0
Municipios;1126;Pinilla del Valle;1710.0
Municipios;1132;Pinto;1356410.0
Municipios;1147;Piñuécar-Gandullas;2280.0
Municipios;1150;Pozuelo de Alarcón;6511490.0
Municipios;1163;Pozuelo del Rey;10450.0
Municipios;1179;Prádena del Rincón;2660.0
Municipios;1185;Puebla de la Sierra;1710.0
Municipios;9020;Puentes Viejas;6270.0
Municipios;1198;Quijorna;34390.0
Municipios;1202;Rascafría;30020.0
Municipios;1219;Redueña;3990.0
Municipios;1224;Ribatejada;7980.0
Municipios;1230;Rivas-Vaciamadrid;1849650.0
Municipios;1245;Robledillo de la Jara;2470.0
Municipios;1258;Robledo de Chavela;64600.0
Municipios;1261;Robregordo;760.0
Municipios;1277;Rozas de Madrid (Las);4108940.0
Municipios;1283;Rozas de Puerto Real;11400.0
Municipios;1296;San Agustín del Guadalix;333070.0
Municipios;1300;San Fernando de Henares;1665540.0
Municipios;1317;San Lorenzo de El Escorial;351310.0
Municipios;1338;San Martín de Valdeiglesias;115140.0
Municipios;1322;San Martín de la Vega;342570.0
Municipios;1343;San Sebastián de los Reyes;3539320.0
Municipios;1356;Santa María de la Alameda;15200.0
Municipios;1369;Santorcaz;6650.0
Municipios;1375;Santos de la Humosa (Los);23370.0
Municipios;1381;Serna del Monte (La);3800.0
Municipios;1408;Serranillos del Valle;81510.0
Municipios;1415;Sevilla la Nueva;165490.0
Municipios;1436;Somosierra;3610.0
Municipios;1441;Soto del Real;188860.0
Municipios;1454;Talamanca de Jarama;40660.0
Municipios;1467;Tielmes;40850.0
Municipios;1473;Titulcia;13490.0
Municipios;1489;Torrejón de Ardoz;2559110.0
Municipios;1505;Torrejón de Velasco;67830.0
Municipios;1492;Torrejón de la Calzada;377340.0
Municipios;1512;Torrelaguna;52250.0
Municipios;1527;Torrelodones;507680.0
Municipios;1533;Torremocha de Jarama;19000.0
Municipios;1548;Torres de la Alameda;185820.0
Municipios;9036;Tres Cantos;2832140.0
Municipios;1551;Valdaracete;4180.0
Municipios;1564;Valdeavero;18620.0
Municipios;1570;Valdelaguna;6270.0
