Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;881813;
Zonas Estadísticas;01;Municipio de Madrid ;590483;
Zonas Estadísticas;02;Norte Metropolitano ;48331;
Zonas Estadísticas;03;Este Metropolitano  ;57464;
Zonas Estadísticas;04;Sur Metropolitano   ;93846;
Zonas Estadísticas;05;Oeste Metropolitano ;55517;
Zonas Estadísticas;06;Sierra Norte        ;4633;
Zonas Estadísticas;07;Nordeste Comunidad  ;3970;
Zonas Estadísticas;08;Sudeste Comunidad   ;5551;
Zonas Estadísticas;09;Sudoeste Comunidad  ;11509;
Zonas Estadísticas;10;Sierra Sur          ;1829;
Zonas Estadísticas;11;Sierra Central      ;8680;
Municipios;0014;Acebeda (La);990;
Municipios;0029;Ajalvir;723;
Municipios;0035;Alameda del Valle;159;
Municipios;0040;Alamo (El);566;
Municipios;0053;Alcalá de Henares;15351;
Municipios;0066;Alcobendas;22910;
Municipios;0072;Alcorcón;13782;
Municipios;0088;Aldea del Fresno;255;
Municipios;0091;Algete;1728;
Municipios;0105;Alpedrete;884;
Municipios;0112;Ambite;56;
Municipios;0127;Anchuelo;119;
Municipios;0133;Aranjuez;6424;
Municipios;0148;Arganda del Rey;4614;
Municipios;0151;Arroyomolinos;3817;
Municipios;0164;Atazar (El);93;
Municipios;0170;Batres;108;
Municipios;0186;Becerril de la Sierra;276;
Municipios;0199;Belmonte de Tajo;139;
Municipios;0210;Berrueco (El);113;
Municipios;0203;Berzosa del Lozoya;187;
Municipios;0225;Boadilla del Monte;6327;
Municipios;0231;Boalo (El);377;
Municipios;0246;Braojos;102;
Municipios;0259;Brea de Tajo;73;
Municipios;0262;Brunete;589;
Municipios;0278;Buitrago del Lozoya;138;
Municipios;0284;Bustarviejo;226;
Municipios;0297;Cabanillas de la Sierra;131;
Municipios;0301;Cabrera (La);167;
Municipios;0318;Cadalso de los Vidrios;132;
Municipios;0323;Camarma de Esteruelas;413;
Municipios;0339;Campo Real;1139;
Municipios;0344;Canencia;252;
Municipios;0357;Carabaña;72;
Municipios;0360;Casarrubuelos;544;
Municipios;0376;Cenicientos;90;
Municipios;0382;Cercedilla;621;
Municipios;0395;Cervera de Buitrago;62;
Municipios;0513;Chapinería;219;
Municipios;0528;Chinchón;449;
Municipios;0409;Ciempozuelos;1515;
Municipios;0416;Cobeña;453;
Municipios;0468;Collado Mediano;345;
Municipios;0474;Collado Villalba;3651;
Municipios;0455;Colmenar Viejo;2869;
Municipios;0437;Colmenar de Oreja;270;
Municipios;0421;Colmenar del Arroyo;284;
Municipios;0442;Colmenarejo;341;
Municipios;0480;Corpa;50;
Municipios;0493;Coslada;10355;
Municipios;0506;Cubas de la Sagra;1026;
Municipios;0534;Daganzo de Arriba;682;
Municipios;0549;Escorial (El);862;
Municipios;0552;Estremera;123;
Municipios;0565;Fresnedillas de la Oliva;38;
Municipios;0571;Fresno de Torote;19;
Municipios;0587;Fuenlabrada;12461;
Municipios;0590;Fuente el Saz de Jarama;380;
Municipios;0604;Fuentidueña de Tajo;63;
Municipios;0611;Galapagar;1118;
Municipios;0626;Garganta de los Montes;12;
