Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;16.90;
Zonas Estadísticas;01;Municipio de Madrid ;14.36;
Zonas Estadísticas;02;Norte Metropolitano ;14.81;
Zonas Estadísticas;03;Este Metropolitano  ;14.24;
Zonas Estadísticas;04;Sur Metropolitano   ;14.28;
Zonas Estadísticas;05;Oeste Metropolitano ;14.85;
Zonas Estadísticas;06;Sierra Norte        ;14.08;
Zonas Estadísticas;07;Nordeste Comunidad  ;14.90;
Zonas Estadísticas;08;Sudeste Comunidad   ;14.67;
Zonas Estadísticas;09;Sudoeste Comunidad  ;14.80;
Zonas Estadísticas;10;Sierra Sur          ;14.79;
Zonas Estadísticas;11;Sierra Central      ;14.14;
Zonas Estadísticas;99;Sin Zona asignada   ;30.32;
Municipios;0014;Acebeda (La);3.03;
Municipios;0029;Ajalvir;12.97;
Municipios;0035;Alameda del Valle;15.19;
Municipios;0040;Alamo (El);16.42;
Municipios;0053;Alcalá de Henares;14.48;
Municipios;0066;Alcobendas;14.71;
Municipios;0072;Alcorcón;13.48;
Municipios;0088;Aldea del Fresno;14.39;
Municipios;0091;Algete;16.92;
Municipios;0105;Alpedrete;14.34;
Municipios;0112;Ambite;9.62;
Municipios;0127;Anchuelo;11.75;
Municipios;0133;Aranjuez;15.26;
Municipios;0148;Arganda del Rey;14.49;
Municipios;0151;Arroyomolinos;13.35;
Municipios;0164;Atazar (El);2.94;
Municipios;0170;Batres;16.22;
Municipios;0186;Becerril de la Sierra;14.05;
Municipios;0199;Belmonte de Tajo;13.20;
Municipios;0210;Berrueco (El);14.10;
Municipios;0203;Berzosa del Lozoya;11.86;
Municipios;0225;Boadilla del Monte;13.49;
Municipios;0231;Boalo (El);10.72;
Municipios;0246;Braojos;13.33;
Municipios;0259;Brea de Tajo;17.71;
Municipios;0262;Brunete;15.91;
Municipios;0278;Buitrago del Lozoya;15.70;
Municipios;0284;Bustarviejo;9.68;
Municipios;0297;Cabanillas de la Sierra;12.17;
Municipios;0301;Cabrera (La);14.22;
Municipios;0318;Cadalso de los Vidrios;16.47;
Municipios;0323;Camarma de Esteruelas;13.45;
Municipios;0339;Campo Real;13.63;
Municipios;0344;Canencia;16.54;
Municipios;0357;Carabaña;14.64;
Municipios;0360;Casarrubuelos;15.09;
Municipios;0376;Cenicientos;16.64;
Municipios;0382;Cercedilla;14.43;
Municipios;0395;Cervera de Buitrago;18.18;
Municipios;0513;Chapinería;13.59;
Municipios;0528;Chinchón;15.46;
Municipios;0409;Ciempozuelos;15.00;
Municipios;0416;Cobeña;14.85;
Municipios;0468;Collado Mediano;13.89;
Municipios;0474;Collado Villalba;15.53;
Municipios;0455;Colmenar Viejo;15.00;
Municipios;0437;Colmenar de Oreja;16.68;
Municipios;0421;Colmenar del Arroyo;13.40;
Municipios;0442;Colmenarejo;16.38;
Municipios;0480;Corpa;9.59;
Municipios;0493;Coslada;12.83;
Municipios;0506;Cubas de la Sagra;13.07;
Municipios;0534;Daganzo de Arriba;15.45;
Municipios;0549;Escorial (El);13.77;
Municipios;0552;Estremera;18.92;
Municipios;0565;Fresnedillas de la Oliva;14.31;
Municipios;0571;Fresno de Torote;11.94;
Municipios;0587;Fuenlabrada;15.18;
Municipios;0590;Fuente el Saz de Jarama;15.88;
Municipios;0604;Fuentidueña de Tajo;16.12;
Municipios;0611;Galapagar;15.51;
Municipios;0626;Garganta de los Montes;15.00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;8.18;
Municipios;0647;Gascones;14.85;
Municipios;0650;Getafe;14.00;
Municipios;0663;Griñón;15.72;
Municipios;0679;Guadalix de la Sierra;15.30;
Municipios;0685;Guadarrama;14.60;
Municipios;0698;Hiruela (La);0.00;
Municipios;0702;Horcajo de la Sierra-Aoslos;13.33;
Municipios;0719;Horcajuelo de la Sierra;17.14;
Municipios;0724;Hoyo de Manzanares;15.54;
Municipios;0730;Humanes de Madrid;13.12;
Municipios;0745;Leganés;13.98;
Municipios;0758;Loeches;14.34;
Municipios;0761;Lozoya;7.46;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;15.37;
Municipios;0783;Madarcos;10.34;
Municipios;0796;Madrid;14.36;
Municipios;0800;Majadahonda;14.15;
Municipios;0822;Manzanares el Real;11.86;
Municipios;0838;Meco;16.56;
Municipios;0843;Mejorada del Campo;14.70;
Municipios;0856;Miraflores de la Sierra;12.67;
Municipios;0869;Molar (El);13.48;
Municipios;0875;Molinos (Los);15.53;
Municipios;0881;Montejo de la Sierra;22.73;
Municipios;0894;Moraleja de Enmedio;17.22;
Municipios;0908;Moralzarzal;15.20;
Municipios;0915;Morata de Tajuña;14.60;
Municipios;0920;Móstoles;13.65;
Municipios;0936;Navacerrada;12.13;
Municipios;0941;Navalafuente;15.68;
Municipios;0954;Navalagamella;14.22;
Municipios;0967;Navalcarnero;14.86;
Municipios;0973;Navarredonda y San Mamés;13.16;
Municipios;0992;Navas del Rey;15.83;
Municipios;1006;Nuevo Baztán;15.70;
Municipios;1013;Olmeda de las Fuentes;8.96;
Municipios;1028;Orusco de Tajuña;13.91;
Municipios;1049;Paracuellos de Jarama;11.28;
Municipios;1065;Parla;14.89;
Municipios;1071;Patones;7.64;
Municipios;1087;Pedrezuela;12.59;
Municipios;1090;Pelayos de la Presa;15.79;
Municipios;1104;Perales de Tajuña;15.57;
Municipios;1111;Pezuela de las Torres;12.41;
Municipios;1126;Pinilla del Valle;21.67;
Municipios;1132;Pinto;14.17;
Municipios;1147;Piñuécar-Gandullas;13.92;
Municipios;1150;Pozuelo de Alarcón;15.67;
Municipios;1163;Pozuelo del Rey;9.48;
Municipios;1179;Prádena del Rincón;2.00;
Municipios;1185;Puebla de la Sierra;0.00;
Municipios;9020;Puentes Viejas;13.50;
Municipios;1198;Quijorna;14.82;
Municipios;1202;Rascafría;15.67;
Municipios;1219;Redueña;15.18;
Municipios;1224;Ribatejada;14.18;
Municipios;1230;Rivas-Vaciamadrid;14.70;
Municipios;1245;Robledillo de la Jara;29.03;
Municipios;1258;Robledo de Chavela;14.44;
Municipios;1261;Robregordo;0.00;
Municipios;1277;Rozas de Madrid (Las);13.98;
Municipios;1283;Rozas de Puerto Real;15.33;
Municipios;1296;San Agustín del Guadalix;15.09;
Municipios;1300;San Fernando de Henares;15.18;
Municipios;1317;San Lorenzo de El Escorial;15.04;
Municipios;1338;San Martín de Valdeiglesias;15.02;
Municipios;1322;San Martín de la Vega;16.24;
Municipios;1343;San Sebastián de los Reyes;14.16;
Municipios;1356;Santa María de la Alameda;14.81;
Municipios;1369;Santorcaz;11.84;
Municipios;1375;Santos de la Humosa (Los);11.31;
Municipios;1381;Serna del Monte (La);13.51;
Municipios;1408;Serranillos del Valle;16.26;
Municipios;1415;Sevilla la Nueva;14.25;
