Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;341750.0
Zonas Estadísticas;01;Municipio de Madrid ;154050.0
Zonas Estadísticas;02;Norte Metropolitano ;14250.0
Zonas Estadísticas;03;Este Metropolitano  ;11150.0
Zonas Estadísticas;04;Sur Metropolitano   ;45550.0
Zonas Estadísticas;05;Oeste Metropolitano ;16700.0
Zonas Estadísticas;06;Sierra Norte        ;2600.0
Zonas Estadísticas;07;Nordeste Comunidad  ;3750.0
Zonas Estadísticas;08;Sudeste Comunidad   ;59900.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;19350.0
Zonas Estadísticas;10;Sierra Sur          ;9550.0
Zonas Estadísticas;11;Sierra Central      ;4900.0
Municipios;0014;Acebeda (La);200.0
Municipios;0029;Ajalvir;50.0
Municipios;0035;Alameda del Valle;0.0
Municipios;0040;Alamo (El);500.0
Municipios;0053;Alcalá de Henares;3650.0
Municipios;0066;Alcobendas;4050.0
Municipios;0072;Alcorcón;5400.0
Municipios;0088;Aldea del Fresno;1950.0
Municipios;0091;Algete;500.0
Municipios;0105;Alpedrete;50.0
Municipios;0112;Ambite;50.0
Municipios;0127;Anchuelo;0.0
Municipios;0133;Aranjuez;6550.0
Municipios;0148;Arganda del Rey;1350.0
Municipios;0151;Arroyomolinos;0.0
Municipios;0164;Atazar (El);0.0
Municipios;0170;Batres;0.0
Municipios;0186;Becerril de la Sierra;200.0
Municipios;0199;Belmonte de Tajo;450.0
Municipios;0210;Berrueco (El);0.0
Municipios;0203;Berzosa del Lozoya;0.0
Municipios;0225;Boadilla del Monte;2800.0
Municipios;0231;Boalo (El);0.0
Municipios;0246;Braojos;150.0
Municipios;0259;Brea de Tajo;550.0
Municipios;0262;Brunete;50.0
Municipios;0278;Buitrago del Lozoya;0.0
Municipios;0284;Bustarviejo;50.0
Municipios;0297;Cabanillas de la Sierra;50.0
Municipios;0301;Cabrera (La);100.0
Municipios;0318;Cadalso de los Vidrios;1750.0
Municipios;0323;Camarma de Esteruelas;0.0
Municipios;0339;Campo Real;1400.0
Municipios;0344;Canencia;0.0
Municipios;0357;Carabaña;750.0
Municipios;0360;Casarrubuelos;0.0
Municipios;0376;Cenicientos;700.0
Municipios;0382;Cercedilla;150.0
Municipios;0395;Cervera de Buitrago;50.0
Municipios;0513;Chapinería;550.0
Municipios;0528;Chinchón;4450.0
Municipios;0409;Ciempozuelos;1000.0
Municipios;0416;Cobeña;200.0
Municipios;0468;Collado Mediano;100.0
Municipios;0474;Collado Villalba;2600.0
Municipios;0455;Colmenar Viejo;1600.0
Municipios;0437;Colmenar de Oreja;2200.0
Municipios;0421;Colmenar del Arroyo;50.0
Municipios;0442;Colmenarejo;50.0
Municipios;0480;Corpa;50.0
Municipios;0493;Coslada;850.0
Municipios;0506;Cubas de la Sagra;250.0
