Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;936044.0
Zonas Estadísticas;01;Municipio de Madrid ;425364.0
Zonas Estadísticas;02;Norte Metropolitano ;64660.0
Zonas Estadísticas;03;Este Metropolitano  ;151120.0
Zonas Estadísticas;04;Sur Metropolitano   ;181120.0
Zonas Estadísticas;05;Oeste Metropolitano ;30736.0
Zonas Estadísticas;06;Sierra Norte        ;11684.0
Zonas Estadísticas;07;Nordeste Comunidad  ;22088.0
Zonas Estadísticas;08;Sudeste Comunidad   ;16756.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;20056.0
Zonas Estadísticas;10;Sierra Sur          ;3808.0
Zonas Estadísticas;11;Sierra Central      ;8652.0
Municipios;0014;Acebeda (La);7800.0
Municipios;0029;Ajalvir;3152.0
Municipios;0035;Alameda del Valle;60.0
Municipios;0040;Alamo (El);656.0
Municipios;0053;Alcalá de Henares;58872.0
Municipios;0066;Alcobendas;25096.0
Municipios;0072;Alcorcón;17340.0
Municipios;0088;Aldea del Fresno;728.0
Municipios;0091;Algete;4256.0
Municipios;0105;Alpedrete;800.0
Municipios;0112;Ambite;56.0
Municipios;0127;Anchuelo;48.0
Municipios;0133;Aranjuez;10464.0
Municipios;0148;Arganda del Rey;21232.0
Municipios;0151;Arroyomolinos;3048.0
Municipios;0164;Atazar (El);12.0
Municipios;0170;Batres;104.0
Municipios;0186;Becerril de la Sierra;392.0
Municipios;0199;Belmonte de Tajo;124.0
Municipios;0210;Berrueco (El);144.0
Municipios;0203;Berzosa del Lozoya;48.0
Municipios;0225;Boadilla del Monte;4752.0
Municipios;0231;Boalo (El);428.0
Municipios;0246;Braojos;24.0
Municipios;0259;Brea de Tajo;40.0
Municipios;0262;Brunete;476.0
Municipios;0278;Buitrago del Lozoya;248.0
Municipios;0284;Bustarviejo;408.0
Municipios;0297;Cabanillas de la Sierra;88.0
Municipios;0301;Cabrera (La);104.0
Municipios;0318;Cadalso de los Vidrios;808.0
Municipios;0323;Camarma de Esteruelas;3284.0
Municipios;0339;Campo Real;1152.0
Municipios;0344;Canencia;76.0
Municipios;0357;Carabaña;120.0
Municipios;0360;Casarrubuelos;884.0
Municipios;0376;Cenicientos;104.0
Municipios;0382;Cercedilla;496.0
Municipios;0395;Cervera de Buitrago;28.0
Municipios;0513;Chapinería;80.0
Municipios;0528;Chinchón;484.0
Municipios;0409;Ciempozuelos;3344.0
Municipios;0416;Cobeña;552.0
Municipios;0468;Collado Mediano;784.0
Municipios;0474;Collado Villalba;3152.0
Municipios;0455;Colmenar Viejo;5480.0
Municipios;0437;Colmenar de Oreja;932.0
Municipios;0421;Colmenar del Arroyo;436.0
Municipios;0442;Colmenarejo;408.0
Municipios;0480;Corpa;12.0
Municipios;0493;Coslada;12740.0
Municipios;0506;Cubas de la Sagra;1088.0
Municipios;0534;Daganzo de Arriba;7876.0
Municipios;0549;Escorial (El);388.0
Municipios;0552;Estremera;152.0
Municipios;0565;Fresnedillas de la Oliva;96.0
Municipios;0571;Fresno de Torote;96.0
Municipios;0587;Fuenlabrada;27316.0
Municipios;0590;Fuente el Saz de Jarama;1016.0
Municipios;0604;Fuentidueña de Tajo;184.0
Municipios;0611;Galapagar;1812.0
Municipios;0626;Garganta de los Montes;24.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4.0
Municipios;0647;Gascones;32.0
Municipios;0650;Getafe;41600.0
Municipios;0663;Griñón;4892.0
Municipios;0679;Guadalix de la Sierra;540.0
Municipios;0685;Guadarrama;768.0
Municipios;0698;Hiruela (La);12.0
Municipios;0702;Horcajo de la Sierra-Aoslos;32.0
Municipios;0719;Horcajuelo de la Sierra;0.0
Municipios;0724;Hoyo de Manzanares;188.0
Municipios;0730;Humanes de Madrid;9604.0
Municipios;0745;Leganés;21576.0
Municipios;0758;Loeches;4164.0
Municipios;0761;Lozoya;92.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;116.0
Municipios;0783;Madarcos;260.0
Municipios;0796;Madrid;425364.0
Municipios;0800;Majadahonda;3256.0
Municipios;0822;Manzanares el Real;220.0
Municipios;0838;Meco;7092.0
Municipios;0843;Mejorada del Campo;3692.0
Municipios;0856;Miraflores de la Sierra;108.0
Municipios;0869;Molar (El);364.0
Municipios;0875;Molinos (Los);132.0
Municipios;0881;Montejo de la Sierra;8.0
Municipios;0894;Moraleja de Enmedio;1840.0
Municipios;0908;Moralzarzal;608.0
Municipios;0915;Morata de Tajuña;732.0
Municipios;0920;Móstoles;14680.0
Municipios;0936;Navacerrada;224.0
Municipios;0941;Navalafuente;32.0
Municipios;0954;Navalagamella;88.0
Municipios;0967;Navalcarnero;2828.0
Municipios;0973;Navarredonda y San Mamés;8.0
Municipios;0992;Navas del Rey;124.0
Municipios;1006;Nuevo Baztán;604.0
Municipios;1013;Olmeda de las Fuentes;32.0
Municipios;1028;Orusco de Tajuña;64.0
Municipios;1049;Paracuellos de Jarama;2928.0
Municipios;1065;Parla;8448.0
