Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;201275100.0
Zonas Estadísticas;01;Municipio de Madrid ;130290900.0
Zonas Estadísticas;02;Norte Metropolitano ;11010700.0
Zonas Estadísticas;03;Este Metropolitano  ;14498450.0
Zonas Estadísticas;04;Sur Metropolitano   ;24811050.0
Zonas Estadísticas;05;Oeste Metropolitano ;11264700.0
Zonas Estadísticas;06;Sierra Norte        ;1167850.0
Zonas Estadísticas;07;Nordeste Comunidad  ;1749150.0
Zonas Estadísticas;08;Sudeste Comunidad   ;1533450.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;2494650.0
Zonas Estadísticas;10;Sierra Sur          ;461050.0
Zonas Estadísticas;11;Sierra Central      ;2018150.0
Municipios;0014;Acebeda (La);272100.0
Municipios;0029;Ajalvir;185550.0
Municipios;0035;Alameda del Valle;26650.0
Municipios;0040;Alamo (El);119600.0
Municipios;0053;Alcalá de Henares;4672050.0
Municipios;0066;Alcobendas;4492950.0
Municipios;0072;Alcorcón;3264250.0
Municipios;0088;Aldea del Fresno;64850.0
Municipios;0091;Algete;355600.0
Municipios;0105;Alpedrete;200750.0
Municipios;0112;Ambite;15350.0
Municipios;0127;Anchuelo;48600.0
Municipios;0133;Aranjuez;1783250.0
Municipios;0148;Arganda del Rey;1193950.0
Municipios;0151;Arroyomolinos;653800.0
Municipios;0164;Atazar (El);19550.0
Municipios;0170;Batres;30800.0
Municipios;0186;Becerril de la Sierra;71500.0
Municipios;0199;Belmonte de Tajo;53100.0
Municipios;0210;Berrueco (El);37600.0
Municipios;0203;Berzosa del Lozoya;68400.0
Municipios;0225;Boadilla del Monte;1386000.0
Municipios;0231;Boalo (El);91650.0
Municipios;0246;Braojos;17950.0
Municipios;0259;Brea de Tajo;28850.0
Municipios;0262;Brunete;121900.0
Municipios;0278;Buitrago del Lozoya;71700.0
Municipios;0284;Bustarviejo;43150.0
Municipios;0297;Cabanillas de la Sierra;25050.0
Municipios;0301;Cabrera (La);39600.0
Municipios;0318;Cadalso de los Vidrios;41650.0
Municipios;0323;Camarma de Esteruelas;117050.0
Municipios;0339;Campo Real;171200.0
Municipios;0344;Canencia;40650.0
Municipios;0357;Carabaña;31150.0
Municipios;0360;Casarrubuelos;170850.0
Municipios;0376;Cenicientos;30300.0
Municipios;0382;Cercedilla;141850.0
Municipios;0395;Cervera de Buitrago;16700.0
Municipios;0513;Chapinería;40050.0
Municipios;0528;Chinchón;126400.0
Municipios;0409;Ciempozuelos;631100.0
Municipios;0416;Cobeña;91800.0
Municipios;0468;Collado Mediano;78900.0
Municipios;0474;Collado Villalba;746700.0
Municipios;0455;Colmenar Viejo;699000.0
Municipios;0437;Colmenar de Oreja;85250.0
Municipios;0421;Colmenar del Arroyo;64000.0
Municipios;0442;Colmenarejo;78750.0
Municipios;0480;Corpa;12600.0
Municipios;0493;Coslada;2192500.0
Municipios;0506;Cubas de la Sagra;289650.0
Municipios;0534;Daganzo de Arriba;256350.0
Municipios;0549;Escorial (El);178000.0
Municipios;0552;Estremera;44600.0
Municipios;0565;Fresnedillas de la Oliva;14050.0
Municipios;0571;Fresno de Torote;9050.0
Municipios;0587;Fuenlabrada;2738200.0
Municipios;0590;Fuente el Saz de Jarama;78300.0
Municipios;0604;Fuentidueña de Tajo;17700.0
Municipios;0611;Galapagar;378150.0
Municipios;0626;Garganta de los Montes;6200.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;9050.0
Municipios;0647;Gascones;6900.0
Municipios;0650;Getafe;6238750.0
Municipios;0663;Griñón;244850.0
Municipios;0679;Guadalix de la Sierra;71950.0
Municipios;0685;Guadarrama;280900.0
Municipios;0698;Hiruela (La);5850.0
Municipios;0702;Horcajo de la Sierra-Aoslos;9050.0
Municipios;0719;Horcajuelo de la Sierra;7500.0
Municipios;0724;Hoyo de Manzanares;54350.0
Municipios;0730;Humanes de Madrid;422250.0
Municipios;0745;Leganés;3251900.0
Municipios;0758;Loeches;165350.0
Municipios;0761;Lozoya;45250.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;38400.0
Municipios;0783;Madarcos;50450.0
Municipios;0796;Madrid;130290900.0
Municipios;0800;Majadahonda;1589950.0
Municipios;0822;Manzanares el Real;64350.0
Municipios;0838;Meco;1030250.0
Municipios;0843;Mejorada del Campo;270450.0
Municipios;0856;Miraflores de la Sierra;71400.0
Municipios;0869;Molar (El);91050.0
Municipios;0875;Molinos (Los);34850.0
Municipios;0881;Montejo de la Sierra;14100.0
Municipios;0894;Moraleja de Enmedio;70750.0
Municipios;0908;Moralzarzal;122950.0
Municipios;0915;Morata de Tajuña;60250.0
Municipios;0920;Móstoles;1770750.0
Municipios;0936;Navacerrada;38600.0
Municipios;0941;Navalafuente;14050.0
Municipios;0954;Navalagamella;21300.0
Municipios;0967;Navalcarnero;387350.0
Municipios;0973;Navarredonda y San Mamés;20800.0
Municipios;0992;Navas del Rey;31200.0
Municipios;1006;Nuevo Baztán;54750.0
Municipios;1013;Olmeda de las Fuentes;5700.0
Municipios;1028;Orusco de Tajuña;10550.0
Municipios;1049;Paracuellos de Jarama;274250.0
Municipios;1065;Parla;1021000.0
Municipios;1071;Patones;13450.0
Municipios;1087;Pedrezuela;47800.0
Municipios;1090;Pelayos de la Presa;32650.0
Municipios;1104;Perales de Tajuña;31150.0
Municipios;1111;Pezuela de las Torres;15500.0
Municipios;1126;Pinilla del Valle;5900.0
Municipios;1132;Pinto;1359650.0
Municipios;1147;Piñuécar-Gandullas;3750.0
Municipios;1150;Pozuelo de Alarcón;3264750.0
Municipios;1163;Pozuelo del Rey;9500.0
Municipios;1179;Prádena del Rincón;4950.0
Municipios;1185;Puebla de la Sierra;4200.0
Municipios;9020;Puentes Viejas;5050.0
Municipios;1198;Quijorna;22600.0
Municipios;1202;Rascafría;32300.0
Municipios;1219;Redueña;6600.0
Municipios;1224;Ribatejada;15100.0
Municipios;1230;Rivas-Vaciamadrid;1517200.0
Municipios;1245;Robledillo de la Jara;4800.0
Municipios;1258;Robledo de Chavela;53250.0
Municipios;1261;Robregordo;3500.0
Municipios;1277;Rozas de Madrid (Las);2484300.0
Municipios;1283;Rozas de Puerto Real;11700.249999999989
Municipios;1296;San Agustín del Guadalix;203450.0
Municipios;1300;San Fernando de Henares;1356850.0
Municipios;1317;San Lorenzo de El Escorial;275650.0
Municipios;1338;San Martín de Valdeiglesias;119700.0
Municipios;1322;San Martín de la Vega;281800.0
Municipios;1343;San Sebastián de los Reyes;3103950.0
Municipios;1356;Santa María de la Alameda;9950.0
Municipios;1369;Santorcaz;10250.0
Municipios;1375;Santos de la Humosa (Los);13950.0
Municipios;1381;Serna del Monte (La);4200.0
Municipios;1408;Serranillos del Valle;42600.0
Municipios;1415;Sevilla la Nueva;126450.0
Municipios;1436;Somosierra;5500.0
Municipios;1441;Soto del Real;67450.0
Municipios;1454;Talamanca de Jarama;59050.0
Municipios;1467;Tielmes;52850.0
Municipios;1473;Titulcia;42600.0
Municipios;1489;Torrejón de Ardoz;2494250.0
Municipios;1505;Torrejón de Velasco;37600.0
Municipios;1492;Torrejón de la Calzada;125600.0
Municipios;1512;Torrelaguna;53850.0
Municipios;1527;Torrelodones;412350.0
Municipios;1533;Torremocha de Jarama;12550.0
Municipios;1548;Torres de la Alameda;97300.0
Municipios;9036;Tres Cantos;2078950.0
Municipios;1551;Valdaracete;8400.0
Municipios;1564;Valdeavero;13150.0
Municipios;1570;Valdelaguna;7050.0
Municipios;1586;Valdemanco;7400.0
Municipios;1599;Valdemaqueda;8750.0
Municipios;1603;Valdemorillo;97450.0
Municipios;1610;Valdemoro;2075650.0
Municipios;1625;Valdeolmos-Alalpardo;56650.0
Municipios;1631;Valdepiélagos;9150.0
Municipios;1646;Valdetorres de Jarama;41500.0
Municipios;1659;Valdilecha;38600.0
Municipios;1662;Valverde de Alcalá;43650.0
Municipios;1678;Velilla de San Antonio;363900.0
Municipios;1684;Vellón (El);10200.0
Municipios;1697;Venturada;65300.0
Municipios;1718;Villa del Prado;84800.0
Municipios;1701;Villaconejos;37700.0
Municipios;1723;Villalbilla;146750.0
Municipios;1739;Villamanrique de Tajo;26450.0
