Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;45800.0
Zonas Estadísticas;01;Municipio de Madrid ;15885.0
Zonas Estadísticas;02;Norte Metropolitano ;3115.0
Zonas Estadísticas;03;Este Metropolitano  ;1950.0
Zonas Estadísticas;04;Sur Metropolitano   ;8725.0
Zonas Estadísticas;05;Oeste Metropolitano ;3290.0
Zonas Estadísticas;06;Sierra Norte        ;1430.0
Zonas Estadísticas;07;Nordeste Comunidad  ;1120.0
Zonas Estadísticas;08;Sudeste Comunidad   ;4665.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;2675.0
Zonas Estadísticas;10;Sierra Sur          ;1325.0
Zonas Estadísticas;11;Sierra Central      ;1620.0
Municipios;0014;Acebeda (La);0.0
Municipios;0029;Ajalvir;85.0
Municipios;0035;Alameda del Valle;15.0
Municipios;0040;Alamo (El);85.0
Municipios;0053;Alcalá de Henares;365.0
Municipios;0066;Alcobendas;600.0
Municipios;0072;Alcorcón;5165.0
Municipios;0088;Aldea del Fresno;200.0
Municipios;0091;Algete;250.0
Municipios;0105;Alpedrete;65.0
Municipios;0112;Ambite;45.0
Municipios;0127;Anchuelo;30.0
Municipios;0133;Aranjuez;800.0
Municipios;0148;Arganda del Rey;465.0
Municipios;0151;Arroyomolinos;45.0
Municipios;0164;Atazar (El);0.0
Municipios;0170;Batres;15.0
Municipios;0186;Becerril de la Sierra;45.0
Municipios;0199;Belmonte de Tajo;50.0
Municipios;0210;Berrueco (El);0.0
Municipios;0203;Berzosa del Lozoya;0.0
Municipios;0225;Boadilla del Monte;315.0
Municipios;0231;Boalo (El);135.0
Municipios;0246;Braojos;20.0
Municipios;0259;Brea de Tajo;130.0
Municipios;0262;Brunete;145.0
Municipios;0278;Buitrago del Lozoya;35.0
Municipios;0284;Bustarviejo;55.0
Municipios;0297;Cabanillas de la Sierra;30.0
Municipios;0301;Cabrera (La);20.0
Municipios;0318;Cadalso de los Vidrios;180.0
Municipios;0323;Camarma de Esteruelas;30.0
Municipios;0339;Campo Real;120.0
Municipios;0344;Canencia;35.0
Municipios;0357;Carabaña;80.0
Municipios;0360;Casarrubuelos;10.0
Municipios;0376;Cenicientos;140.0
Municipios;0382;Cercedilla;55.0
Municipios;0395;Cervera de Buitrago;0.0
Municipios;0513;Chapinería;20.0
Municipios;0528;Chinchón;835.0
Municipios;0409;Ciempozuelos;215.0
Municipios;0416;Cobeña;110.0
Municipios;0468;Collado Mediano;20.0
Municipios;0474;Collado Villalba;330.0
Municipios;0455;Colmenar Viejo;790.0
Municipios;0437;Colmenar de Oreja;435.0
Municipios;0421;Colmenar del Arroyo;90.0
Municipios;0442;Colmenarejo;40.0
Municipios;0480;Corpa;15.0
Municipios;0493;Coslada;125.0
Municipios;0506;Cubas de la Sagra;45.0
Municipios;0534;Daganzo de Arriba;105.0
Municipios;0549;Escorial (El);165.0
Municipios;0552;Estremera;230.0
Municipios;0565;Fresnedillas de la Oliva;25.0
Municipios;0571;Fresno de Torote;30.0
Municipios;0587;Fuenlabrada;640.0
Municipios;0590;Fuente el Saz de Jarama;130.0
Municipios;0604;Fuentidueña de Tajo;300.0
Municipios;0611;Galapagar;225.0
Municipios;0626;Garganta de los Montes;40.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;20.0
Municipios;0647;Gascones;40.0
Municipios;0650;Getafe;335.0
Municipios;0663;Griñón;200.0
Municipios;0679;Guadalix de la Sierra;280.0
Municipios;0685;Guadarrama;135.0
Municipios;0698;Hiruela (La);0.0
Municipios;0702;Horcajo de la Sierra-Aoslos;30.0
Municipios;0719;Horcajuelo de la Sierra;15.0
Municipios;0724;Hoyo de Manzanares;45.0
Municipios;0730;Humanes de Madrid;120.0
Municipios;0745;Leganés;245.0
Municipios;0758;Loeches;45.0
Municipios;0761;Lozoya;20.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;35.0
Municipios;0783;Madarcos;5.0
Municipios;0796;Madrid;15885.0
Municipios;0800;Majadahonda;340.0
Municipios;0822;Manzanares el Real;95.0
Municipios;0838;Meco;205.0
Municipios;0843;Mejorada del Campo;25.0
Municipios;0856;Miraflores de la Sierra;105.0
Municipios;0869;Molar (El);135.0
Municipios;0875;Molinos (Los);50.0
Municipios;0881;Montejo de la Sierra;25.0
Municipios;0894;Moraleja de Enmedio;55.0
Municipios;0908;Moralzarzal;165.0
Municipios;0915;Morata de Tajuña;350.0
Municipios;0920;Móstoles;255.0
Municipios;0936;Navacerrada;0.0
Municipios;0941;Navalafuente;45.0
Municipios;0954;Navalagamella;70.0
Municipios;0967;Navalcarnero;350.0
Municipios;0973;Navarredonda y San Mamés;15.0
Municipios;0992;Navas del Rey;40.0
Municipios;1006;Nuevo Baztán;35.0
Municipios;1013;Olmeda de las Fuentes;35.0
Municipios;1028;Orusco de Tajuña;20.0
Municipios;1049;Paracuellos de Jarama;120.0
Municipios;1065;Parla;225.0
Municipios;1071;Patones;20.0
Municipios;1087;Pedrezuela;65.0
Municipios;1090;Pelayos de la Presa;5.0
Municipios;1104;Perales de Tajuña;65.0
Municipios;1111;Pezuela de las Torres;105.0
Municipios;1126;Pinilla del Valle;5.0
Municipios;1132;Pinto;150.0
Municipios;1147;Piñuécar-Gandullas;30.0
Municipios;1150;Pozuelo de Alarcón;655.0
Municipios;1163;Pozuelo del Rey;55.0
Municipios;1179;Prádena del Rincón;25.0
Municipios;1185;Puebla de la Sierra;5.0
Municipios;9020;Puentes Viejas;25.0
Municipios;1198;Quijorna;70.0
Municipios;1202;Rascafría;170.0
Municipios;1219;Redueña;10.0
Municipios;1224;Ribatejada;30.0
Municipios;1230;Rivas-Vaciamadrid;170.0
Municipios;1245;Robledillo de la Jara;0.0
Municipios;1258;Robledo de Chavela;355.0
Municipios;1261;Robregordo;0.0
Municipios;1277;Rozas de Madrid (Las);765.0
Municipios;1283;Rozas de Puerto Real;50.0
Municipios;1296;San Agustín del Guadalix;60.0
