Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;1204994.0
Zonas Estadísticas;01;Municipio de Madrid ;435716.0
Zonas Estadísticas;02;Norte Metropolitano ;114074.0
Zonas Estadísticas;03;Este Metropolitano  ;204262.0
Zonas Estadísticas;04;Sur Metropolitano   ;296930.0
Zonas Estadísticas;05;Oeste Metropolitano ;47214.0
Zonas Estadísticas;06;Sierra Norte        ;4370.0
Zonas Estadísticas;07;Nordeste Comunidad  ;20730.0
Zonas Estadísticas;08;Sudeste Comunidad   ;30862.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;31778.0
Zonas Estadísticas;10;Sierra Sur          ;5052.0
Zonas Estadísticas;11;Sierra Central      ;14006.0
Municipios;0014;Acebeda (La);2.0
Municipios;0029;Ajalvir;8510.0
Municipios;0035;Alameda del Valle;2.0
Municipios;0040;Alamo (El);920.0
Municipios;0053;Alcalá de Henares;52084.0
Municipios;0066;Alcobendas;36258.0
Municipios;0072;Alcorcón;25322.0
Municipios;0088;Aldea del Fresno;258.0
Municipios;0091;Algete;9854.0
Municipios;0105;Alpedrete;1226.0
Municipios;0112;Ambite;58.0
Municipios;0127;Anchuelo;116.0
Municipios;0133;Aranjuez;13024.0
Municipios;0148;Arganda del Rey;36318.0
Municipios;0151;Arroyomolinos;4652.0
Municipios;0164;Atazar (El);28.0
Municipios;0170;Batres;180.0
Municipios;0186;Becerril de la Sierra;410.0
Municipios;0199;Belmonte de Tajo;232.0
Municipios;0210;Berrueco (El);102.0
Municipios;0203;Berzosa del Lozoya;48.0
Municipios;0225;Boadilla del Monte;4992.0
Municipios;0231;Boalo (El);904.0
Municipios;0246;Braojos;12.0
Municipios;0259;Brea de Tajo;56.0
Municipios;0262;Brunete;790.0
Municipios;0278;Buitrago del Lozoya;168.0
Municipios;0284;Bustarviejo;172.0
Municipios;0297;Cabanillas de la Sierra;108.0
Municipios;0301;Cabrera (La);190.0
Municipios;0318;Cadalso de los Vidrios;434.0
Municipios;0323;Camarma de Esteruelas;3704.0
Municipios;0339;Campo Real;2866.0
Municipios;0344;Canencia;60.0
Municipios;0357;Carabaña;300.0
Municipios;0360;Casarrubuelos;1362.0
Municipios;0376;Cenicientos;118.0
Municipios;0382;Cercedilla;930.0
Municipios;0395;Cervera de Buitrago;28.0
Municipios;0513;Chapinería;380.0
Municipios;0528;Chinchón;1084.0
Municipios;0409;Ciempozuelos;5132.0
Municipios;0416;Cobeña;938.0
Municipios;0468;Collado Mediano;784.0
Municipios;0474;Collado Villalba;5664.0
Municipios;0455;Colmenar Viejo;11192.0
Municipios;0437;Colmenar de Oreja;1282.0
Municipios;0421;Colmenar del Arroyo;588.0
Municipios;0442;Colmenarejo;872.0
Municipios;0480;Corpa;16.0
Municipios;0493;Coslada;16790.0
Municipios;0506;Cubas de la Sagra;1522.0
Municipios;0534;Daganzo de Arriba;5808.0
Municipios;0549;Escorial (El);796.0
Municipios;0552;Estremera;148.0
Municipios;0565;Fresnedillas de la Oliva;140.0
Municipios;0571;Fresno de Torote;222.0
