Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;33897286.0
Zonas Estadísticas;01;Municipio de Madrid ;21078453.0
Zonas Estadísticas;02;Norte Metropolitano ;2163617.0
Zonas Estadísticas;03;Este Metropolitano  ;2499421.0
Zonas Estadísticas;04;Sur Metropolitano   ;4174324.0
Zonas Estadísticas;05;Oeste Metropolitano ;2446548.0
Zonas Estadísticas;06;Sierra Norte        ;133032.0
Zonas Estadísticas;07;Nordeste Comunidad  ;198637.0
Zonas Estadísticas;08;Sudeste Comunidad   ;256109.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;432460.0
Zonas Estadísticas;10;Sierra Sur          ;90712.0
Zonas Estadísticas;11;Sierra Central      ;423973.0
Municipios;0014;Acebeda (La);715.0
Municipios;0029;Ajalvir;46373.0
Municipios;0035;Alameda del Valle;1286.0
Municipios;0040;Alamo (El);20850.0
Municipios;0053;Alcalá de Henares;754757.0
Municipios;0066;Alcobendas;1034364.0
Municipios;0072;Alcorcón;612330.0
Municipios;0088;Aldea del Fresno;6102.0
Municipios;0091;Algete;80191.0
Municipios;0105;Alpedrete;30922.0
Municipios;0112;Ambite;1455.0
Municipios;0127;Anchuelo;2896.0
Municipios;0133;Aranjuez;185394.0
Municipios;0148;Arganda del Rey;251163.0
Municipios;0151;Arroyomolinos;109251.0
Municipios;0164;Atazar (El);783.0
Municipios;0170;Batres;3178.0
Municipios;0186;Becerril de la Sierra;11220.0
Municipios;0199;Belmonte de Tajo;3155.0
Municipios;0210;Berrueco (El);2060.0
Municipios;0203;Berzosa del Lozoya;1273.0
Municipios;0225;Boadilla del Monte;242638.0
Municipios;0231;Boalo (El);16644.0
Municipios;0246;Braojos;2894.0
Municipios;0259;Brea de Tajo;2094.0
Municipios;0262;Brunete;26010.0
Municipios;0278;Buitrago del Lozoya;11843.0
Municipios;0284;Bustarviejo;5424.0
Municipios;0297;Cabanillas de la Sierra;2085.0
Municipios;0301;Cabrera (La);7778.0
Municipios;0318;Cadalso de los Vidrios;6701.0
Municipios;0323;Camarma de Esteruelas;20242.0
Municipios;0339;Campo Real;16662.0
Municipios;0344;Canencia;1316.0
