Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;855.68;
Zonas Estadísticas;01;Municipio de Madrid ;5521.13;
Zonas Estadísticas;02;Norte Metropolitano ;853.70;
Zonas Estadísticas;03;Este Metropolitano  ;1648.09;
Zonas Estadísticas;04;Sur Metropolitano   ;1786.39;
Zonas Estadísticas;05;Oeste Metropolitano ;1053.05;
Zonas Estadísticas;06;Sierra Norte        ;34.59;
Zonas Estadísticas;07;Nordeste Comunidad  ;177.92;
Zonas Estadísticas;08;Sudeste Comunidad   ;79.83;
Zonas Estadísticas;09;Sudoeste Comunidad  ;259.91;
Zonas Estadísticas;10;Sierra Sur          ;53.02;
Zonas Estadísticas;11;Sierra Central      ;234.62;
Municipios;0014;Acebeda (La);3.06;
Municipios;0029;Ajalvir;246.21;
Municipios;0035;Alameda del Valle;10.68;
Municipios;0040;Alamo (El);467.88;
Municipios;0053;Alcalá de Henares;2254.21;
Municipios;0066;Alcobendas;2639.08;
Municipios;0072;Alcorcón;5144.20;
Municipios;0088;Aldea del Fresno;65.93;
Municipios;0091;Algete;551.67;
Municipios;0105;Alpedrete;1219.57;
Municipios;0112;Ambite;26.72;
Municipios;0127;Anchuelo;63.81;
Municipios;0133;Aranjuez;322.45;
Municipios;0148;Arganda del Rey;729.87;
Municipios;0151;Arroyomolinos;1734.84;
Municipios;0164;Atazar (El);3.66;
Municipios;0170;Batres;87.98;
Municipios;0186;Becerril de la Sierra;211.29;
Municipios;0199;Belmonte de Tajo;76.46;
Municipios;0210;Berrueco (El);28.88;
Municipios;0203;Berzosa del Lozoya;14.97;
Municipios;0225;Boadilla del Monte;1361.02;
Municipios;0231;Boalo (El);210.04;
Municipios;0246;Braojos;8.50;
Municipios;0259;Brea de Tajo;12.27;
Municipios;0262;Brunete;223.37;
Municipios;0278;Buitrago del Lozoya;75.24;
Municipios;0284;Bustarviejo;48.97;
Municipios;0297;Cabanillas de la Sierra;67.80;
Municipios;0301;Cabrera (La);130.78;
Municipios;0318;Cadalso de los Vidrios;67.22;
Municipios;0323;Camarma de Esteruelas;221.02;
Municipios;0339;Campo Real;108.57;
Municipios;0344;Canencia;8.56;
Municipios;0357;Carabaña;47.95;
Municipios;0360;Casarrubuelos;767.60;
Municipios;0376;Cenicientos;30.58;
Municipios;0382;Cercedilla;213.98;
Municipios;0395;Cervera de Buitrago;14.20;
Municipios;0513;Chapinería;101.64;
Municipios;0528;Chinchón;48.93;
Municipios;0409;Ciempozuelos;519.78;
Municipios;0416;Cobeña;370.11;
Municipios;0468;Collado Mediano;336.02;
Municipios;0474;Collado Villalba;2627.28;
Municipios;0455;Colmenar Viejo;301.13;
Municipios;0437;Colmenar de Oreja;69.21;
Municipios;0421;Colmenar del Arroyo;39.63;
Municipios;0442;Colmenarejo;306.51;
Municipios;0480;Corpa;30.66;
Municipios;0493;Coslada;6662.18;
Municipios;0506;Cubas de la Sagra;527.67;
Municipios;0534;Daganzo de Arriba;244.04;
Municipios;0549;Escorial (El);246.70;
Municipios;0552;Estremera;18.30;
Municipios;0565;Fresnedillas de la Oliva;63.30;
Municipios;0571;Fresno de Torote;78.92;
Municipios;0587;Fuenlabrada;4827.52;
Municipios;0590;Fuente el Saz de Jarama;218.87;
Municipios;0604;Fuentidueña de Tajo;37.52;
Municipios;0611;Galapagar;541.05;
Municipios;0626;Garganta de los Montes;10.38;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;16.03;
Municipios;0647;Gascones;11.32;
Municipios;0650;Getafe;2383.09;
Municipios;0663;Griñón;619.82;
Municipios;0679;Guadalix de la Sierra;112.97;
Municipios;0685;Guadarrama;298.02;
Municipios;0698;Hiruela (La);4.31;
Municipios;0702;Horcajo de la Sierra-Aoslos;11.03;
Municipios;0719;Horcajuelo de la Sierra;4.53;
Municipios;0724;Hoyo de Manzanares;198.30;
Municipios;0730;Humanes de Madrid;1007.31;
Municipios;0745;Leganés;4415.58;
Municipios;0758;Loeches;206.38;
Municipios;0761;Lozoya;10.73;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;28.62;
Municipios;0783;Madarcos;8.41;
Municipios;0796;Madrid;5521.13;
Municipios;0800;Majadahonda;1892.26;
Municipios;0822;Manzanares el Real;73.52;
Municipios;0838;Meco;442.09;
Municipios;0843;Mejorada del Campo;1344.46;
Municipios;0856;Miraflores de la Sierra;123.83;
Municipios;0869;Molar (El);194.80;
Municipios;0875;Molinos (Los);252.45;
Municipios;0881;Montejo de la Sierra;11.77;
Municipios;0894;Moraleja de Enmedio;176.53;
Municipios;0908;Moralzarzal;323.83;
Municipios;0915;Morata de Tajuña;178.40;
Municipios;0920;Móstoles;4682.94;
Municipios;0936;Navacerrada;100.92;
Municipios;0941;Navalafuente;137.16;
Municipios;0954;Navalagamella;39.73;
Municipios;0967;Navalcarnero;316.73;
Municipios;0973;Navarredonda y San Mamés;5.37;
Municipios;0992;Navas del Rey;64.19;
Municipios;1006;Nuevo Baztán;354.17;
Municipios;1013;Olmeda de las Fuentes;24.49;
Municipios;1028;Orusco de Tajuña;66.51;
Municipios;1049;Paracuellos de Jarama;617.07;
Municipios;1065;Parla;5317.93;
Municipios;1071;Patones;16.14;
Municipios;1087;Pedrezuela;223.85;
Municipios;1090;Pelayos de la Presa;391.28;
Municipios;1104;Perales de Tajuña;64.15;
Municipios;1111;Pezuela de las Torres;23.54;
Municipios;1126;Pinilla del Valle;8.02;
Municipios;1132;Pinto;889.54;
Municipios;1147;Piñuécar-Gandullas;9.75;
Municipios;1150;Pozuelo de Alarcón;2053.93;
Municipios;1163;Pozuelo del Rey;41.24;
Municipios;1179;Prádena del Rincón;6.66;
Municipios;1185;Puebla de la Sierra;1.80;
Municipios;9020;Puentes Viejas;12.94;
Municipios;1198;Quijorna;150.04;
Municipios;1202;Rascafría;11.64;
Municipios;1219;Redueña;23.39;
Municipios;1224;Ribatejada;28.53;
Municipios;1230;Rivas-Vaciamadrid;1485.57;
Municipios;1245;Robledillo de la Jara;6.37;
Municipios;1258;Robledo de Chavela;50.34;
Municipios;1261;Robregordo;4.30;
Municipios;1277;Rozas de Madrid (Las);1690.16;
Municipios;1283;Rozas de Puerto Real;19.53;
Municipios;1296;San Agustín del Guadalix;358.19;
Municipios;1300;San Fernando de Henares;1002.98;
Municipios;1317;San Lorenzo de El Escorial;328.40;
Municipios;1338;San Martín de Valdeiglesias;77.01;
Municipios;1322;San Martín de la Vega;192.73;
Municipios;1343;San Sebastián de los Reyes;1559.52;
Municipios;1356;Santa María de la Alameda;20.01;
Municipios;1369;Santorcaz;33.46;
Municipios;1375;Santos de la Humosa (Los);79.38;
Municipios;1381;Serna del Monte (La);19.20;
Municipios;1408;Serranillos del Valle;353.83;
Municipios;1415;Sevilla la Nueva;386.54;
Municipios;1436;Somosierra;4.16;
Municipios;1441;Soto del Real;219.39;
Municipios;1454;Talamanca de Jarama;113.55;
Municipios;1467;Tielmes;102.71;
Municipios;1473;Titulcia;134.71;
Municipios;1489;Torrejón de Ardoz;4266.66;
Municipios;1505;Torrejón de Velasco;90.86;
Municipios;1492;Torrejón de la Calzada;1137.12;
Municipios;1512;Torrelaguna;114.74;
Municipios;1527;Torrelodones;1157.43;
Municipios;1533;Torremocha de Jarama;60.47;
Municipios;1548;Torres de la Alameda;177.86;
Municipios;9036;Tres Cantos;1352.85;
Municipios;1551;Valdaracete;10.07;
Municipios;1564;Valdeavero;94.71;
Municipios;1570;Valdelaguna;24.69;
Municipios;1586;Valdemanco;60.28;
Municipios;1599;Valdemaqueda;15.83;
Municipios;1603;Valdemorillo;145.24;
Municipios;1610;Valdemoro;1270.53;
Municipios;1625;Valdeolmos-Alalpardo;175.30;
Municipios;1631;Valdepiélagos;35.54;
Municipios;1646;Valdetorres de Jarama;142.44;
Municipios;1659;Valdilecha;75.06;
Municipios;1662;Valverde de Alcalá;38.98;
Municipios;1678;Velilla de San Antonio;930.46;
Municipios;1684;Vellón (El);65.68;
Municipios;1697;Venturada;250.73;
Municipios;1718;Villa del Prado;93.82;
Municipios;1701;Villaconejos;104.90;
Municipios;1723;Villalbilla;483.87;
Municipios;1739;Villamanrique de Tajo;27.19;
Municipios;1744;Villamanta;43.98;
Municipios;1757;Villamantilla;66.17;
Municipios;1782;Villanueva de Perales;54.50;
Municipios;1760;Villanueva de la Cañada;674.76;
Municipios;1776;Villanueva del Pardillo;694.38;
Municipios;1795;Villar del Olmo;81.15;
Municipios;1809;Villarejo de Salvanés;64.79;
