Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;113560;
Zonas Estadísticas;01;Municipio de Madrid ;54392;
Zonas Estadísticas;02;Norte Metropolitano ;4440;
Zonas Estadísticas;03;Este Metropolitano  ;12675;
Zonas Estadísticas;04;Sur Metropolitano   ;26582;
Zonas Estadísticas;05;Oeste Metropolitano ;5111;
Zonas Estadísticas;06;Sierra Norte        ;770;
Zonas Estadísticas;07;Nordeste Comunidad  ;1120;
Zonas Estadísticas;08;Sudeste Comunidad   ;2405;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2645;
Zonas Estadísticas;10;Sierra Sur          ;918;
Zonas Estadísticas;11;Sierra Central      ;2502;
Municipios;0014;Acebeda (La);2;
Municipios;0029;Ajalvir;89;
Municipios;0035;Alameda del Valle;9;
Municipios;0040;Alamo (El);216;
Municipios;0053;Alcalá de Henares;3901;
Municipios;0066;Alcobendas;1440;
Municipios;0072;Alcorcón;2680;
Municipios;0088;Aldea del Fresno;75;
Municipios;0091;Algete;250;
Municipios;0105;Alpedrete;195;
Municipios;0112;Ambite;17;
Municipios;0127;Anchuelo;24;
Municipios;0133;Aranjuez;1420;
Municipios;0148;Arganda del Rey;1368;
Municipios;0151;Arroyomolinos;504;
Municipios;0164;Atazar (El);1;
Municipios;0170;Batres;23;
Municipios;0186;Becerril de la Sierra;105;
Municipios;0199;Belmonte de Tajo;42;
Municipios;0210;Berrueco (El);12;
Municipios;0203;Berzosa del Lozoya;3;
Municipios;0225;Boadilla del Monte;392;
Municipios;0231;Boalo (El);106;
Municipios;0246;Braojos;0;
Municipios;0259;Brea de Tajo;7;
Municipios;0262;Brunete;149;
Municipios;0278;Buitrago del Lozoya;33;
Municipios;0284;Bustarviejo;60;
Municipios;0297;Cabanillas de la Sierra;9;
Municipios;0301;Cabrera (La);51;
Municipios;0318;Cadalso de los Vidrios;89;
Municipios;0323;Camarma de Esteruelas;136;
Municipios;0339;Campo Real;145;
Municipios;0344;Canencia;4;
Municipios;0357;Carabaña;45;
Municipios;0360;Casarrubuelos;60;
Municipios;0376;Cenicientos;68;
Municipios;0382;Cercedilla;131;
Municipios;0395;Cervera de Buitrago;1;
Municipios;0513;Chapinería;55;
Municipios;0528;Chinchón;122;
Municipios;0409;Ciempozuelos;591;
Municipios;0416;Cobeña;77;
Municipios;0468;Collado Mediano;109;
Municipios;0474;Collado Villalba;1308;
Municipios;0455;Colmenar Viejo;829;
Municipios;0437;Colmenar de Oreja;195;
Municipios;0421;Colmenar del Arroyo;34;
Municipios;0442;Colmenarejo;152;
Municipios;0480;Corpa;18;
Municipios;0493;Coslada;1395;
Municipios;0506;Cubas de la Sagra;96;
Municipios;0534;Daganzo de Arriba;105;
Municipios;0549;Escorial (El);243;
Municipios;0552;Estremera;41;
Municipios;0565;Fresnedillas de la Oliva;45;
Municipios;0571;Fresno de Torote;48;
Municipios;0587;Fuenlabrada;3997;
Municipios;0590;Fuente el Saz de Jarama;123;
Municipios;0604;Fuentidueña de Tajo;63;
Municipios;0611;Galapagar;545;
Municipios;0626;Garganta de los Montes;4;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;7;
Municipios;0647;Gascones;5;
Municipios;0650;Getafe;3352;
Municipios;0663;Griñón;140;
Municipios;0679;Guadalix de la Sierra;130;
Municipios;0685;Guadarrama;260;
Municipios;0698;Hiruela (La);1;
Municipios;0702;Horcajo de la Sierra-Aoslos;4;
Municipios;0719;Horcajuelo de la Sierra;2;
Municipios;0724;Hoyo de Manzanares;88;
Municipios;0730;Humanes de Madrid;499;
Municipios;0745;Leganés;3395;
Municipios;0758;Loeches;149;
Municipios;0761;Lozoya;11;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;27;
Municipios;0783;Madarcos;0;
Municipios;0796;Madrid;54392;
Municipios;0800;Majadahonda;612;
Municipios;0822;Manzanares el Real;141;
Municipios;0838;Meco;271;
Municipios;0843;Mejorada del Campo;505;
