Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;291820;
Zonas Estadísticas;01;Municipio de Madrid ;138992;
Zonas Estadísticas;02;Norte Metropolitano ;11985;
Zonas Estadísticas;03;Este Metropolitano  ;32385;
Zonas Estadísticas;04;Sur Metropolitano   ;65587;
Zonas Estadísticas;05;Oeste Metropolitano ;15364;
Zonas Estadísticas;06;Sierra Norte        ;2125;
Zonas Estadísticas;07;Nordeste Comunidad  ;3090;
Zonas Estadísticas;08;Sudeste Comunidad   ;6083;
Zonas Estadísticas;09;Sudoeste Comunidad  ;6378;
Zonas Estadísticas;10;Sierra Sur          ;2366;
Zonas Estadísticas;11;Sierra Central      ;7465;
Municipios;0014;Acebeda (La);6;
Municipios;0029;Ajalvir;196;
Municipios;0035;Alameda del Valle;19;
Municipios;0040;Alamo (El);477;
Municipios;0053;Alcalá de Henares;10075;
Municipios;0066;Alcobendas;3897;
Municipios;0072;Alcorcón;7386;
Municipios;0088;Aldea del Fresno;209;
Municipios;0091;Algete;751;
Municipios;0105;Alpedrete;628;
Municipios;0112;Ambite;55;
Municipios;0127;Anchuelo;50;
Municipios;0133;Aranjuez;3367;
Municipios;0148;Arganda del Rey;3380;
Municipios;0151;Arroyomolinos;1202;
Municipios;0164;Atazar (El);13;
Municipios;0170;Batres;73;
Municipios;0186;Becerril de la Sierra;307;
Municipios;0199;Belmonte de Tajo;96;
Municipios;0210;Berrueco (El);36;
Municipios;0203;Berzosa del Lozoya;7;
Municipios;0225;Boadilla del Monte;1373;
Municipios;0231;Boalo (El);337;
Municipios;0246;Braojos;5;
Municipios;0259;Brea de Tajo;36;
Municipios;0262;Brunete;421;
Municipios;0278;Buitrago del Lozoya;87;
Municipios;0284;Bustarviejo;147;
Municipios;0297;Cabanillas de la Sierra;35;
Municipios;0301;Cabrera (La);163;
Municipios;0318;Cadalso de los Vidrios;221;
Municipios;0323;Camarma de Esteruelas;395;
Municipios;0339;Campo Real;365;
Municipios;0344;Canencia;21;
Municipios;0357;Carabaña;127;
Municipios;0360;Casarrubuelos;178;
Municipios;0376;Cenicientos;142;
Municipios;0382;Cercedilla;322;
Municipios;0395;Cervera de Buitrago;11;
Municipios;0513;Chapinería;137;
Municipios;0528;Chinchón;318;
Municipios;0409;Ciempozuelos;1315;
Municipios;0416;Cobeña;234;
Municipios;0468;Collado Mediano;354;
Municipios;0474;Collado Villalba;3299;
Municipios;0455;Colmenar Viejo;2045;
Municipios;0437;Colmenar de Oreja;495;
Municipios;0421;Colmenar del Arroyo;100;
Municipios;0442;Colmenarejo;420;
Municipios;0480;Corpa;42;
Municipios;0493;Coslada;3680;
Municipios;0506;Cubas de la Sagra;240;
Municipios;0534;Daganzo de Arriba;414;
Municipios;0549;Escorial (El);717;
Municipios;0552;Estremera;91;
Municipios;0565;Fresnedillas de la Oliva;114;
Municipios;0571;Fresno de Torote;113;
Municipios;0587;Fuenlabrada;10083;
Municipios;0590;Fuente el Saz de Jarama;323;
Municipios;0604;Fuentidueña de Tajo;147;
Municipios;0611;Galapagar;1510;
Municipios;0626;Garganta de los Montes;21;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;21;
Municipios;0647;Gascones;9;
Municipios;0650;Getafe;8413;
Municipios;0663;Griñón;369;
Municipios;0679;Guadalix de la Sierra;332;
Municipios;0685;Guadarrama;670;
Municipios;0698;Hiruela (La);2;
Municipios;0702;Horcajo de la Sierra-Aoslos;8;
Municipios;0719;Horcajuelo de la Sierra;3;
Municipios;0724;Hoyo de Manzanares;290;
Municipios;0730;Humanes de Madrid;1053;
Municipios;0745;Leganés;8805;
Municipios;0758;Loeches;429;
Municipios;0761;Lozoya;30;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;73;
Municipios;0783;Madarcos;1;
Municipios;0796;Madrid;138992;
Municipios;0800;Majadahonda;1912;
Municipios;0822;Manzanares el Real;409;
Municipios;0838;Meco;678;
Municipios;0843;Mejorada del Campo;1198;
Municipios;0856;Miraflores de la Sierra;332;
Municipios;0869;Molar (El);448;
Municipios;0875;Molinos (Los);193;
Municipios;0881;Montejo de la Sierra;11;
Municipios;0894;Moraleja de Enmedio;225;
Municipios;0908;Moralzarzal;488;
Municipios;0915;Morata de Tajuña;441;
Municipios;0920;Móstoles;10022;
Municipios;0936;Navacerrada;128;
Municipios;0941;Navalafuente;97;
Municipios;0954;Navalagamella;170;
Municipios;0967;Navalcarnero;1413;
Municipios;0973;Navarredonda y San Mamés;6;
Municipios;0992;Navas del Rey;167;
Municipios;1006;Nuevo Baztán;368;
Municipios;1013;Olmeda de las Fuentes;19;
Municipios;1028;Orusco de Tajuña;83;
Municipios;1049;Paracuellos de Jarama;760;
Municipios;1065;Parla;7718;
Municipios;1071;Patones;20;
Municipios;1087;Pedrezuela;264;
Municipios;1090;Pelayos de la Presa;202;
Municipios;1104;Perales de Tajuña;237;
Municipios;1111;Pezuela de las Torres;51;
Municipios;1126;Pinilla del Valle;9;
Municipios;1132;Pinto;2558;
Municipios;1147;Piñuécar-Gandullas;4;
Municipios;1150;Pozuelo de Alarcón;2000;
Municipios;1163;Pozuelo del Rey;68;
Municipios;1179;Prádena del Rincón;5;
Municipios;1185;Puebla de la Sierra;5;
Municipios;9020;Puentes Viejas;28;
Municipios;1198;Quijorna;163;
Municipios;1202;Rascafría;69;
Municipios;1219;Redueña;10;
Municipios;1224;Ribatejada;50;
Municipios;1230;Rivas-Vaciamadrid;3765;
Municipios;1245;Robledillo de la Jara;9;
Municipios;1258;Robledo de Chavela;241;
Municipios;1261;Robregordo;4;
Municipios;1277;Rozas de Madrid (Las);2524;
Municipios;1283;Rozas de Puerto Real;29;
Municipios;1296;San Agustín del Guadalix;468;
Municipios;1300;San Fernando de Henares;1909;
Municipios;1317;San Lorenzo de El Escorial;701;
Municipios;1338;San Martín de Valdeiglesias;575;
Municipios;1322;San Martín de la Vega;1172;
Municipios;1343;San Sebastián de los Reyes;3275;
Municipios;1356;Santa María de la Alameda;101;
Municipios;1369;Santorcaz;44;
Municipios;1375;Santos de la Humosa (Los);121;
Municipios;1381;Serna del Monte (La);7;
Municipios;1408;Serranillos del Valle;200;
Municipios;1415;Sevilla la Nueva;368;
Municipios;1436;Somosierra;5;
Municipios;1441;Soto del Real;292;
Municipios;1454;Talamanca de Jarama;179;
Municipios;1467;Tielmes;183;
Municipios;1473;Titulcia;86;
Municipios;1489;Torrejón de Ardoz;6810;
Municipios;1505;Torrejón de Velasco;167;
Municipios;1492;Torrejón de la Calzada;394;
Municipios;1512;Torrelaguna;220;
Municipios;1527;Torrelodones;631;
Municipios;1533;Torremocha de Jarama;42;
Municipios;1548;Torres de la Alameda;404;
Municipios;9036;Tres Cantos;1315;
Municipios;1551;Valdaracete;51;
Municipios;1564;Valdeavero;88;
Municipios;1570;Valdelaguna;58;
Municipios;1586;Valdemanco;42;
Municipios;1599;Valdemaqueda;50;
Municipios;1603;Valdemorillo;596;
Municipios;1610;Valdemoro;3695;
Municipios;1625;Valdeolmos-Alalpardo;117;
Municipios;1631;Valdepiélagos;25;
Municipios;1646;Valdetorres de Jarama;260;
Municipios;1659;Valdilecha;192;
Municipios;1662;Valverde de Alcalá;22;
Municipios;1678;Velilla de San Antonio;612;
Municipios;1684;Vellón (El);107;
Municipios;1697;Venturada;95;
Municipios;1718;Villa del Prado;385;
Municipios;1701;Villaconejos;206;
Municipios;1723;Villalbilla;533;
Municipios;1739;Villamanrique de Tajo;67;
Municipios;1744;Villamanta;152;
Municipios;1757;Villamantilla;79;
Municipios;1782;Villanueva de Perales;84;
Municipios;1760;Villanueva de la Cañada;653;
Municipios;1776;Villanueva del Pardillo;571;
Municipios;1795;Villar del Olmo;102;
Municipios;1809;Villarejo de Salvanés;496;
Municipios;1816;Villaviciosa de Odón;751;
Municipios;1821;Villavieja del Lozoya;16;
Municipios;1837;Zarzalejo;117;
