Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;23162;
Zonas Estadísticas;01;Municipio de Madrid ;10271;
Zonas Estadísticas;02;Norte Metropolitano ;772;
Zonas Estadísticas;03;Este Metropolitano  ;2911;
Zonas Estadísticas;04;Sur Metropolitano   ;6114;
Zonas Estadísticas;05;Oeste Metropolitano ;815;
Zonas Estadísticas;06;Sierra Norte        ;121;
Zonas Estadísticas;07;Nordeste Comunidad  ;271;
Zonas Estadísticas;08;Sudeste Comunidad   ;535;
Zonas Estadísticas;09;Sudoeste Comunidad  ;640;
Zonas Estadísticas;10;Sierra Sur          ;215;
Zonas Estadísticas;11;Sierra Central      ;497;
Municipios;0014;Acebeda (La);0;
Municipios;0029;Ajalvir;11;
Municipios;0035;Alameda del Valle;0;
Municipios;0040;Alamo (El);53;
Municipios;0053;Alcalá de Henares;869;
Municipios;0066;Alcobendas;247;
Municipios;0072;Alcorcón;655;
Municipios;0088;Aldea del Fresno;13;
Municipios;0091;Algete;59;
Municipios;0105;Alpedrete;50;
Municipios;0112;Ambite;2;
Municipios;0127;Anchuelo;9;
Municipios;0133;Aranjuez;309;
Municipios;0148;Arganda del Rey;282;
Municipios;0151;Arroyomolinos;119;
Municipios;0164;Atazar (El);0;
Municipios;0170;Batres;4;
Municipios;0186;Becerril de la Sierra;15;
Municipios;0199;Belmonte de Tajo;12;
Municipios;0210;Berrueco (El);0;
Municipios;0203;Berzosa del Lozoya;0;
Municipios;0225;Boadilla del Monte;57;
Municipios;0231;Boalo (El);16;
Municipios;0246;Braojos;1;
Municipios;0259;Brea de Tajo;6;
Municipios;0262;Brunete;23;
Municipios;0278;Buitrago del Lozoya;5;
Municipios;0284;Bustarviejo;7;
Municipios;0297;Cabanillas de la Sierra;1;
Municipios;0301;Cabrera (La);5;
Municipios;0318;Cadalso de los Vidrios;24;
Municipios;0323;Camarma de Esteruelas;33;
Municipios;0339;Campo Real;20;
Municipios;0344;Canencia;2;
Municipios;0357;Carabaña;14;
Municipios;0360;Casarrubuelos;19;
Municipios;0376;Cenicientos;18;
Municipios;0382;Cercedilla;33;
Municipios;0395;Cervera de Buitrago;2;
Municipios;0513;Chapinería;10;
Municipios;0528;Chinchón;23;
Municipios;0409;Ciempozuelos;167;
Municipios;0416;Cobeña;12;
Municipios;0468;Collado Mediano;26;
