Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;4.59;
Zonas Estadísticas;01;Municipio de Madrid ;4.48;
Zonas Estadísticas;02;Norte Metropolitano ;3.53;
Zonas Estadísticas;03;Este Metropolitano  ;5.15;
Zonas Estadísticas;04;Sur Metropolitano   ;5.33;
Zonas Estadísticas;05;Oeste Metropolitano ;3.10;
Zonas Estadísticas;06;Sierra Norte        ;4.83;
Zonas Estadísticas;07;Nordeste Comunidad  ;4.77;
Zonas Estadísticas;08;Sudeste Comunidad   ;5.71;
Zonas Estadísticas;09;Sudoeste Comunidad  ;4.49;
Zonas Estadísticas;10;Sierra Sur          ;6.58;
Zonas Estadísticas;11;Sierra Central      ;4.27;
Municipios;0014;Acebeda (La);8.96;
Municipios;0029;Ajalvir;4.33;
Municipios;0035;Alameda del Valle;6.93;
Municipios;0040;Alamo (El);5.13;
Municipios;0053;Alcalá de Henares;5.49;
Municipios;0066;Alcobendas;3.47;
Municipios;0072;Alcorcón;4.68;
Municipios;0088;Aldea del Fresno;6.51;
Municipios;0091;Algete;3.86;
Municipios;0105;Alpedrete;4.43;
Municipios;0112;Ambite;8.33;
Municipios;0127;Anchuelo;4.28;
Municipios;0133;Aranjuez;6.06;
Municipios;0148;Arganda del Rey;6.21;
Municipios;0151;Arroyomolinos;3.67;
Municipios;0164;Atazar (El);12.50;
Municipios;0170;Batres;4.11;
Municipios;0186;Becerril de la Sierra;5.13;
Municipios;0199;Belmonte de Tajo;5.87;
Municipios;0210;Berrueco (El);4.49;
Municipios;0203;Berzosa del Lozoya;3.23;
Municipios;0225;Boadilla del Monte;2.21;
Municipios;0231;Boalo (El);4.19;
Municipios;0246;Braojos;2.83;
Municipios;0259;Brea de Tajo;7.73;
Municipios;0262;Brunete;4.03;
Municipios;0278;Buitrago del Lozoya;4.68;
Municipios;0284;Bustarviejo;5.61;
Municipios;0297;Cabanillas de la Sierra;3.83;
Municipios;0301;Cabrera (La);5.83;
Municipios;0318;Cadalso de los Vidrios;7.72;
Municipios;0323;Camarma de Esteruelas;5.49;
Municipios;0339;Campo Real;5.68;
Municipios;0344;Canencia;5.00;
Municipios;0357;Carabaña;6.20;
Municipios;0360;Casarrubuelos;4.85;
Municipios;0376;Cenicientos;7.63;
Municipios;0382;Cercedilla;4.64;
Municipios;0395;Cervera de Buitrago;7.93;
Municipios;0513;Chapinería;5.65;
Municipios;0528;Chinchón;6.02;
Municipios;0409;Ciempozuelos;5.73;
Municipios;0416;Cobeña;3.20;
Municipios;0468;Collado Mediano;5.07;
Municipios;0474;Collado Villalba;5.44;
Municipios;0455;Colmenar Viejo;3.95;
Municipios;0437;Colmenar de Oreja;6.21;
Municipios;0421;Colmenar del Arroyo;5.50;
Municipios;0442;Colmenarejo;4.66;
Municipios;0480;Corpa;5.26;
Municipios;0493;Coslada;4.91;
Municipios;0506;Cubas de la Sagra;4.02;
Municipios;0534;Daganzo de Arriba;4.30;
Municipios;0549;Escorial (El);4.50;
Municipios;0552;Estremera;6.47;
Municipios;0565;Fresnedillas de la Oliva;6.76;
Municipios;0571;Fresno de Torote;4.96;
Municipios;0587;Fuenlabrada;5.93;
Municipios;0590;Fuente el Saz de Jarama;4.90;
Municipios;0604;Fuentidueña de Tajo;6.87;
Municipios;0611;Galapagar;4.58;
Municipios;0626;Garganta de los Montes;5.24;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;5.67;
Municipios;0647;Gascones;4.37;
Municipios;0650;Getafe;4.93;
Municipios;0663;Griñón;4.02;
Municipios;0679;Guadalix de la Sierra;5.14;
Municipios;0685;Guadarrama;4.26;
Municipios;0698;Hiruela (La);2.70;
Municipios;0702;Horcajo de la Sierra-Aoslos;3.42;
Municipios;0719;Horcajuelo de la Sierra;2.78;
Municipios;0724;Hoyo de Manzanares;3.38;
Municipios;0730;Humanes de Madrid;5.87;
Municipios;0745;Leganés;5.03;
Municipios;0758;Loeches;5.25;
Municipios;0761;Lozoya;5.15;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5.19;
Municipios;0783;Madarcos;1.39;
Municipios;0796;Madrid;4.48;
Municipios;0800;Majadahonda;2.73;
Municipios;0822;Manzanares el Real;4.61;
Municipios;0838;Meco;4.82;
Municipios;0843;Mejorada del Campo;5.46;
Municipios;0856;Miraflores de la Sierra;5.13;
Municipios;0869;Molar (El);4.97;
Municipios;0875;Molinos (Los);4.24;
Municipios;0881;Montejo de la Sierra;2.89;
Municipios;0894;Moraleja de Enmedio;4.47;
Municipios;0908;Moralzarzal;3.79;
Municipios;0915;Morata de Tajuña;5.91;
Municipios;0920;Móstoles;5.14;
Municipios;0936;Navacerrada;4.05;
Municipios;0941;Navalafuente;6.48;
Municipios;0954;Navalagamella;6.00;
Municipios;0967;Navalcarnero;4.85;
Municipios;0973;Navarredonda y San Mamés;4.00;
Municipios;0992;Navas del Rey;5.70;
Municipios;1006;Nuevo Baztán;5.65;
Municipios;1013;Olmeda de las Fuentes;4.98;
Municipios;1028;Orusco de Tajuña;6.71;
Municipios;1049;Paracuellos de Jarama;3.01;
Municipios;1065;Parla;6.30;
Municipios;1071;Patones;3.71;
Municipios;1087;Pedrezuela;4.31;
Municipios;1090;Pelayos de la Presa;7.14;
Municipios;1104;Perales de Tajuña;7.97;
Municipios;1111;Pezuela de las Torres;5.53;
Municipios;1126;Pinilla del Valle;4.90;
Municipios;1132;Pinto;5.04;
Municipios;1147;Piñuécar-Gandullas;2.25;
Municipios;1150;Pozuelo de Alarcón;2.35;
Municipios;1163;Pozuelo del Rey;6.14;
Municipios;1179;Prádena del Rincón;4.00;
Municipios;1185;Puebla de la Sierra;5.05;
Municipios;9020;Puentes Viejas;3.68;
Municipios;1198;Quijorna;4.45;
Municipios;1202;Rascafría;4.26;
Municipios;1219;Redueña;4.61;
Municipios;1224;Ribatejada;5.70;
Municipios;1230;Rivas-Vaciamadrid;4.13;
Municipios;1245;Robledillo de la Jara;7.41;
Municipios;1258;Robledo de Chavela;5.84;
Municipios;1261;Robregordo;5.06;
Municipios;1277;Rozas de Madrid (Las);2.66;
Municipios;1283;Rozas de Puerto Real;6.06;
Municipios;1296;San Agustín del Guadalix;3.60;
Municipios;1300;San Fernando de Henares;5.30;
Municipios;1317;San Lorenzo de El Escorial;4.00;
Municipios;1338;San Martín de Valdeiglesias;6.98;
Municipios;1322;San Martín de la Vega;6.29;
Municipios;1343;San Sebastián de los Reyes;3.78;
Municipios;1356;Santa María de la Alameda;7.05;
Municipios;1369;Santorcaz;5.63;
Municipios;1375;Santos de la Humosa (Los);4.69;
Municipios;1381;Serna del Monte (La);6.60;
Municipios;1408;Serranillos del Valle;4.76;
Municipios;1415;Sevilla la Nueva;4.23;
Municipios;1436;Somosierra;5.88;
Municipios;1441;Soto del Real;3.35;
Municipios;1454;Talamanca de Jarama;4.39;
Municipios;1467;Tielmes;7.15;
Municipios;1473;Titulcia;7.20;
Municipios;1489;Torrejón de Ardoz;5.46;
Municipios;1505;Torrejón de Velasco;3.97;
Municipios;1492;Torrejón de la Calzada;4.20;
Municipios;1512;Torrelaguna;4.85;
Municipios;1527;Torrelodones;2.61;
Municipios;1533;Torremocha de Jarama;4.02;
Municipios;1548;Torres de la Alameda;5.92;
Municipios;9036;Tres Cantos;2.68;
Municipios;1551;Valdaracete;8.53;
Municipios;1564;Valdeavero;5.16;
Municipios;1570;Valdelaguna;5.84;
Municipios;1586;Valdemanco;4.13;
Municipios;1599;Valdemaqueda;6.83;
Municipios;1603;Valdemorillo;4.59;
Municipios;1610;Valdemoro;5.02;
Municipios;1625;Valdeolmos-Alalpardo;2.81;
Municipios;1631;Valdepiélagos;4.17;
Municipios;1646;Valdetorres de Jarama;5.69;
Municipios;1659;Valdilecha;6.46;
Municipios;1662;Valverde de Alcalá;4.49;
Municipios;1678;Velilla de San Antonio;5.09;
Municipios;1684;Vellón (El);5.09;
Municipios;1697;Venturada;3.95;
Municipios;1718;Villa del Prado;6.04;
Municipios;1701;Villaconejos;6.17;
Municipios;1723;Villalbilla;3.47;
Municipios;1739;Villamanrique de Tajo;9.13;
Municipios;1744;Villamanta;6.13;
Municipios;1757;Villamantilla;5.27;
Municipios;1782;Villanueva de Perales;5.45;
Municipios;1760;Villanueva de la Cañada;2.92;
Municipios;1776;Villanueva del Pardillo;3.39;
Municipios;1795;Villar del Olmo;5.00;
Municipios;1809;Villarejo de Salvanés;6.91;
Municipios;1816;Villaviciosa de Odón;2.78;
Municipios;1821;Villavieja del Lozoya;5.10;
Municipios;1837;Zarzalejo;6.80;
