Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;314982;
Zonas Estadísticas;01;Municipio de Madrid ;149263;
Zonas Estadísticas;02;Norte Metropolitano ;12757;
Zonas Estadísticas;03;Este Metropolitano  ;35296;
Zonas Estadísticas;04;Sur Metropolitano   ;71701;
Zonas Estadísticas;05;Oeste Metropolitano ;16179;
Zonas Estadísticas;06;Sierra Norte        ;2246;
Zonas Estadísticas;07;Nordeste Comunidad  ;3361;
Zonas Estadísticas;08;Sudeste Comunidad   ;6618;
Zonas Estadísticas;09;Sudoeste Comunidad  ;7018;
Zonas Estadísticas;10;Sierra Sur          ;2581;
Zonas Estadísticas;11;Sierra Central      ;7962;
Municipios;0014;Acebeda (La);6;
Municipios;0029;Ajalvir;207;
Municipios;0035;Alameda del Valle;19;
Municipios;0040;Alamo (El);530;
Municipios;0053;Alcalá de Henares;10944;
Municipios;0066;Alcobendas;4144;
Municipios;0072;Alcorcón;8041;
Municipios;0088;Aldea del Fresno;222;
Municipios;0091;Algete;810;
Municipios;0105;Alpedrete;678;
Municipios;0112;Ambite;57;
Municipios;0127;Anchuelo;59;
Municipios;0133;Aranjuez;3676;
Municipios;0148;Arganda del Rey;3662;
Municipios;0151;Arroyomolinos;1321;
Municipios;0164;Atazar (El);13;
Municipios;0170;Batres;77;
Municipios;0186;Becerril de la Sierra;322;
Municipios;0199;Belmonte de Tajo;108;
Municipios;0210;Berrueco (El);36;
Municipios;0203;Berzosa del Lozoya;7;
Municipios;0225;Boadilla del Monte;1430;
Municipios;0231;Boalo (El);353;
Municipios;0246;Braojos;6;
Municipios;0259;Brea de Tajo;42;
Municipios;0262;Brunete;444;
Municipios;0278;Buitrago del Lozoya;92;
Municipios;0284;Bustarviejo;154;
Municipios;0297;Cabanillas de la Sierra;36;
Municipios;0301;Cabrera (La);168;
Municipios;0318;Cadalso de los Vidrios;245;
Municipios;0323;Camarma de Esteruelas;428;
Municipios;0339;Campo Real;385;
Municipios;0344;Canencia;23;
Municipios;0357;Carabaña;141;
Municipios;0360;Casarrubuelos;197;
Municipios;0376;Cenicientos;160;
Municipios;0382;Cercedilla;355;
Municipios;0395;Cervera de Buitrago;13;
Municipios;0513;Chapinería;147;
Municipios;0528;Chinchón;341;
Municipios;0409;Ciempozuelos;1482;
Municipios;0416;Cobeña;246;
Municipios;0468;Collado Mediano;380;
Municipios;0474;Collado Villalba;3570;
Municipios;0455;Colmenar Viejo;2182;
Municipios;0437;Colmenar de Oreja;537;
Municipios;0421;Colmenar del Arroyo;107;
Municipios;0442;Colmenarejo;444;
Municipios;0480;Corpa;42;
Municipios;0493;Coslada;3934;
Municipios;0506;Cubas de la Sagra;274;
Municipios;0534;Daganzo de Arriba;456;
Municipios;0549;Escorial (El);760;
Municipios;0552;Estremera;94;
Municipios;0565;Fresnedillas de la Oliva;121;
Municipios;0571;Fresno de Torote;125;
Municipios;0587;Fuenlabrada;11191;
Municipios;0590;Fuente el Saz de Jarama;352;
Municipios;0604;Fuentidueña de Tajo;156;
Municipios;0611;Galapagar;1617;
Municipios;0626;Garganta de los Montes;22;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;22;
Municipios;0647;Gascones;10;
Municipios;0650;Getafe;9166;
Municipios;0663;Griñón;405;
Municipios;0679;Guadalix de la Sierra;350;
Municipios;0685;Guadarrama;727;
Municipios;0698;Hiruela (La);2;
Municipios;0702;Horcajo de la Sierra-Aoslos;8;
Municipios;0719;Horcajuelo de la Sierra;3;
Municipios;0724;Hoyo de Manzanares;303;
Municipios;0730;Humanes de Madrid;1169;
Municipios;0745;Leganés;9591;
Municipios;0758;Loeches;478;
Municipios;0761;Lozoya;32;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;77;
Municipios;0783;Madarcos;1;
Municipios;0796;Madrid;149263;
Municipios;0800;Majadahonda;1977;
Municipios;0822;Manzanares el Real;433;
Municipios;0838;Meco;743;
Municipios;0843;Mejorada del Campo;1326;
Municipios;0856;Miraflores de la Sierra;356;
Municipios;0869;Molar (El);485;
Municipios;0875;Molinos (Los);203;
Municipios;0881;Montejo de la Sierra;11;
Municipios;0894;Moraleja de Enmedio;244;
Municipios;0908;Moralzarzal;536;
Municipios;0915;Morata de Tajuña;480;
Municipios;0920;Móstoles;10860;
Municipios;0936;Navacerrada;133;
Municipios;0941;Navalafuente;106;
Municipios;0954;Navalagamella;179;
Municipios;0967;Navalcarnero;1551;
Municipios;0973;Navarredonda y San Mamés;6;
Municipios;0992;Navas del Rey;185;
Municipios;1006;Nuevo Baztán;398;
Municipios;1013;Olmeda de las Fuentes;20;
Municipios;1028;Orusco de Tajuña;95;
Municipios;1049;Paracuellos de Jarama;813;
Municipios;1065;Parla;8380;
Municipios;1071;Patones;21;
Municipios;1087;Pedrezuela;276;
Municipios;1090;Pelayos de la Presa;213;
Municipios;1104;Perales de Tajuña;253;
Municipios;1111;Pezuela de las Torres;54;
Municipios;1126;Pinilla del Valle;10;
Municipios;1132;Pinto;2782;
Municipios;1147;Piñuécar-Gandullas;4;
Municipios;1150;Pozuelo de Alarcón;2083;
Municipios;1163;Pozuelo del Rey;77;
Municipios;1179;Prádena del Rincón;6;
Municipios;1185;Puebla de la Sierra;5;
Municipios;9020;Puentes Viejas;28;
Municipios;1198;Quijorna;172;
Municipios;1202;Rascafría;74;
Municipios;1219;Redueña;14;
Municipios;1224;Ribatejada;52;
Municipios;1230;Rivas-Vaciamadrid;4139;
Municipios;1245;Robledillo de la Jara;10;
Municipios;1258;Robledo de Chavela;275;
Municipios;1261;Robregordo;4;
Municipios;1277;Rozas de Madrid (Las);2612;
Municipios;1283;Rozas de Puerto Real;35;
Municipios;1296;San Agustín del Guadalix;491;
Municipios;1300;San Fernando de Henares;2067;
Municipios;1317;San Lorenzo de El Escorial;739;
Municipios;1338;San Martín de Valdeiglesias;628;
Municipios;1322;San Martín de la Vega;1278;
Municipios;1343;San Sebastián de los Reyes;3504;
Municipios;1356;Santa María de la Alameda;107;
Municipios;1369;Santorcaz;53;
Municipios;1375;Santos de la Humosa (Los);130;
Municipios;1381;Serna del Monte (La);7;
Municipios;1408;Serranillos del Valle;220;
Municipios;1415;Sevilla la Nueva;404;
Municipios;1436;Somosierra;5;
Municipios;1441;Soto del Real;315;
Municipios;1454;Talamanca de Jarama;191;
Municipios;1467;Tielmes;196;
Municipios;1473;Titulcia;98;
Municipios;1489;Torrejón de Ardoz;7523;
Municipios;1505;Torrejón de Velasco;189;
Municipios;1492;Torrejón de la Calzada;429;
Municipios;1512;Torrelaguna;240;
Municipios;1527;Torrelodones;656;
Municipios;1533;Torremocha de Jarama;46;
Municipios;1548;Torres de la Alameda;458;
Municipios;9036;Tres Cantos;1380;
Municipios;1551;Valdaracete;54;
Municipios;1564;Valdeavero;92;
Municipios;1570;Valdelaguna;61;
Municipios;1586;Valdemanco;44;
Municipios;1599;Valdemaqueda;56;
Municipios;1603;Valdemorillo;627;
Municipios;1610;Valdemoro;4085;
Municipios;1625;Valdeolmos-Alalpardo;127;
Municipios;1631;Valdepiélagos;26;
Municipios;1646;Valdetorres de Jarama;284;
Municipios;1659;Valdilecha;206;
Municipios;1662;Valverde de Alcalá;24;
Municipios;1678;Velilla de San Antonio;681;
Municipios;1684;Vellón (El);112;
Municipios;1697;Venturada;101;
Municipios;1718;Villa del Prado;439;
Municipios;1701;Villaconejos;216;
Municipios;1723;Villalbilla;584;
Municipios;1739;Villamanrique de Tajo;73;
Municipios;1744;Villamanta;170;
Municipios;1757;Villamantilla;83;
Municipios;1782;Villanueva de Perales;91;
Municipios;1760;Villanueva de la Cañada;688;
Municipios;1776;Villanueva del Pardillo;601;
Municipios;1795;Villar del Olmo;113;
Municipios;1809;Villarejo de Salvanés;535;
Municipios;1816;Villaviciosa de Odón;799;
Municipios;1821;Villavieja del Lozoya;16;
Municipios;1837;Zarzalejo;123;
