Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;07.15;
Zonas Estadísticas;01;Municipio de Madrid ;06.37;
Zonas Estadísticas;02;Norte Metropolitano ;08.82;
Zonas Estadísticas;03;Este Metropolitano  ;08.08;
Zonas Estadísticas;04;Sur Metropolitano   ;08.15;
Zonas Estadísticas;05;Oeste Metropolitano ;06.93;
Zonas Estadísticas;06;Sierra Norte        ;01.88;
Zonas Estadísticas;07;Nordeste Comunidad  ;06.92;
Zonas Estadísticas;08;Sudeste Comunidad   ;07.31;
Zonas Estadísticas;09;Sudoeste Comunidad  ;09.02;
Zonas Estadísticas;10;Sierra Sur          ;07.99;
Zonas Estadísticas;11;Sierra Central      ;05.38;
Municipios;0014;Acebeda (La);50.00;
Municipios;0029;Ajalvir;02.82;
Municipios;0035;Alameda del Valle;72.73;
Municipios;0040;Alamo (El);010.32;
Municipios;0053;Alcalá de Henares;08.82;
Municipios;0066;Alcobendas;09.12;
Municipios;0072;Alcorcón;08.09;
Municipios;0088;Aldea del Fresno;0.00;
Municipios;0091;Algete;011.18;
Municipios;0105;Alpedrete;00.73;
Municipios;0112;Ambite;18.75;
Municipios;0127;Anchuelo;015.71;
Municipios;0133;Aranjuez;08.28;
Municipios;0148;Arganda del Rey;09.06;
Municipios;0151;Arroyomolinos;07.10;
Municipios;0164;Atazar (El);0.00;
Municipios;0170;Batres;015.38;
Municipios;0186;Becerril de la Sierra;11.42;
Municipios;0199;Belmonte de Tajo;06.90;
Municipios;0210;Berrueco (El);9.09;
Municipios;0203;Berzosa del Lozoya;16.67;
Municipios;0225;Boadilla del Monte;04.60;
Municipios;0231;Boalo (El);010.86;
Municipios;0246;Braojos;025.00;
Municipios;0259;Brea de Tajo;016.00;
Municipios;0262;Brunete;05.93;
Municipios;0278;Buitrago del Lozoya;9.52;
Municipios;0284;Bustarviejo;02.53;
Municipios;0297;Cabanillas de la Sierra;07.69;
Municipios;0301;Cabrera (La);1.20;
Municipios;0318;Cadalso de los Vidrios;018.06;
Municipios;0323;Camarma de Esteruelas;06.75;
Municipios;0339;Campo Real;016.49;
Municipios;0344;Canencia;04.17;
Municipios;0357;Carabaña;07.84;
Municipios;0360;Casarrubuelos;014.72;
Municipios;0376;Cenicientos;013.04;
Municipios;0382;Cercedilla;05.33;
Municipios;0395;Cervera de Buitrago;18.18;
Municipios;0513;Chapinería;1.38;
Municipios;0528;Chinchón;03.13;
Municipios;0409;Ciempozuelos;08.12;
Municipios;0416;Cobeña;00.40;
Municipios;0468;Collado Mediano;09.74;
Municipios;0474;Collado Villalba;06.40;
Municipios;0455;Colmenar Viejo;07.31;
Municipios;0437;Colmenar de Oreja;06.93;
Municipios;0421;Colmenar del Arroyo;07.76;
Municipios;0442;Colmenarejo;07.69;
Municipios;0480;Corpa;023.64;
Municipios;0493;Coslada;09.00;
Municipios;0506;Cubas de la Sagra;3.79;
Municipios;0534;Daganzo de Arriba;06.37;
Municipios;0549;Escorial (El);1.74;
Municipios;0552;Estremera;4.44;
Municipios;0565;Fresnedillas de la Oliva;06.20;
Municipios;0571;Fresno de Torote;019.35;
Municipios;0587;Fuenlabrada;07.80;
Municipios;0590;Fuente el Saz de Jarama;09.04;
Municipios;0604;Fuentidueña de Tajo;018.75;
Municipios;0611;Galapagar;03.92;
Municipios;0626;Garganta de los Montes;10.00;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;018.52;
Municipios;0647;Gascones;023.08;
Municipios;0650;Getafe;06.48;
Municipios;0663;Griñón;010.99;
Municipios;0679;Guadalix de la Sierra;06.42;
Municipios;0685;Guadarrama;06.68;
Municipios;0698;Hiruela (La);0.00;
Municipios;0702;Horcajo de la Sierra0Aoslos;011.11;
Municipios;0719;Horcajuelo de la Sierra;0.00;
Municipios;0724;Hoyo de Manzanares;05.02;
Municipios;0730;Humanes de Madrid;07.88;
Municipios;0745;Leganés;08.90;
Municipios;0758;Loeches;07.72;
Municipios;0761;Lozoya;14.29;
