Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;212709.0
Zonas Estadísticas;01;Municipio de Madrid ;86555.0
Zonas Estadísticas;02;Norte Metropolitano ;8012.0
Zonas Estadísticas;03;Este Metropolitano  ;31198.0
Zonas Estadísticas;04;Sur Metropolitano   ;56028.0
Zonas Estadísticas;05;Oeste Metropolitano ;8355.0
Zonas Estadísticas;06;Sierra Norte        ;1442.0
Zonas Estadísticas;07;Nordeste Comunidad  ;2844.0
Zonas Estadísticas;08;Sudeste Comunidad   ;6434.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;5377.0
Zonas Estadísticas;10;Sierra Sur          ;1823.0
Zonas Estadísticas;11;Sierra Central      ;4641.0
Municipios;0014;Acebeda (La);1.0
Municipios;0029;Ajalvir;130.0
Municipios;0035;Alameda del Valle;5.0
Municipios;0040;Alamo (El);454.0
Municipios;0053;Alcalá de Henares;10248.0
Municipios;0066;Alcobendas;2477.0
Municipios;0072;Alcorcón;5594.0
Municipios;0088;Aldea del Fresno;173.0
Municipios;0091;Algete;606.0
Municipios;0105;Alpedrete;394.0
Municipios;0112;Ambite;43.0
Municipios;0127;Anchuelo;27.0
Municipios;0133;Aranjuez;2571.0
Municipios;0148;Arganda del Rey;5058.0
Municipios;0151;Arroyomolinos;920.0
Municipios;0164;Atazar (El);9.0
Municipios;0170;Batres;75.0
Municipios;0186;Becerril de la Sierra;252.0
Municipios;0199;Belmonte de Tajo;92.0
Municipios;0210;Berrueco (El);22.0
Municipios;0203;Berzosa del Lozoya;0.0
Municipios;0225;Boadilla del Monte;666.0
Municipios;0231;Boalo (El);176.0
Municipios;0246;Braojos;0.0
Municipios;0259;Brea de Tajo;19.0
Municipios;0262;Brunete;257.0
Municipios;0278;Buitrago del Lozoya;52.0
Municipios;0284;Bustarviejo;57.0
Municipios;0297;Cabanillas de la Sierra;22.0
Municipios;0301;Cabrera (La);150.0
Municipios;0318;Cadalso de los Vidrios;161.0
Municipios;0323;Camarma de Esteruelas;372.0
Municipios;0339;Campo Real;411.0
Municipios;0344;Canencia;9.0
Municipios;0357;Carabaña;128.0
Municipios;0360;Casarrubuelos;236.0
Municipios;0376;Cenicientos;95.0
Municipios;0382;Cercedilla;213.0
Municipios;0395;Cervera de Buitrago;5.0
Municipios;0513;Chapinería;110.0
Municipios;0528;Chinchón;222.0
Municipios;0409;Ciempozuelos;1105.0
Municipios;0416;Cobeña;194.0
Municipios;0468;Collado Mediano;304.0
Municipios;0474;Collado Villalba;2179.0
Municipios;0455;Colmenar Viejo;1723.0
Municipios;0437;Colmenar de Oreja;705.0
Municipios;0421;Colmenar del Arroyo;65.0
Municipios;0442;Colmenarejo;265.0
Municipios;0480;Corpa;31.0
Municipios;0493;Coslada;3241.0
Municipios;0506;Cubas de la Sagra;222.0
Municipios;0534;Daganzo de Arriba;397.0
Municipios;0549;Escorial (El);424.0
Municipios;0552;Estremera;81.0
Municipios;0565;Fresnedillas de la Oliva;112.0
Municipios;0571;Fresno de Torote;94.0
Municipios;0587;Fuenlabrada;9529.0
Municipios;0590;Fuente el Saz de Jarama;268.0
Municipios;0604;Fuentidueña de Tajo;145.0
Municipios;0611;Galapagar;1057.0
Municipios;0626;Garganta de los Montes;11.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4.0
Municipios;0647;Gascones;1.0
Municipios;0650;Getafe;7032.0
Municipios;0663;Griñón;288.0
Municipios;0679;Guadalix de la Sierra;215.0
Municipios;0685;Guadarrama;396.0
Municipios;0698;Hiruela (La);0.0
Municipios;0702;Horcajo de la Sierra-Aoslos;1.0
Municipios;0719;Horcajuelo de la Sierra;0.0
Municipios;0724;Hoyo de Manzanares;134.0
Municipios;0730;Humanes de Madrid;1023.0
Municipios;0745;Leganés;7092.0
Municipios;0758;Loeches;484.0
Municipios;0761;Lozoya;10.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;38.0
Municipios;0783;Madarcos;0.0
Municipios;0796;Madrid;86555.0
Municipios;0800;Majadahonda;960.0
Municipios;0822;Manzanares el Real;234.0
Municipios;0838;Meco;718.0
Municipios;0843;Mejorada del Campo;1182.0
Municipios;0856;Miraflores de la Sierra;238.0
Municipios;0869;Molar (El);369.0
Municipios;0875;Molinos (Los);161.0
Municipios;0881;Montejo de la Sierra;4.0
Municipios;0894;Moraleja de Enmedio;232.0
Municipios;0908;Moralzarzal;333.0
Municipios;0915;Morata de Tajuña;457.0
Municipios;0920;Móstoles;8565.0
Municipios;0936;Navacerrada;62.0
Municipios;0941;Navalafuente;63.0
Municipios;0954;Navalagamella;146.0
Municipios;0967;Navalcarnero;1144.0
Municipios;0973;Navarredonda y San Mamés;15.0
Municipios;0992;Navas del Rey;153.0
Municipios;1006;Nuevo Baztán;393.0
Municipios;1013;Olmeda de las Fuentes;8.0
Municipios;1028;Orusco de Tajuña;69.0
Municipios;1049;Paracuellos de Jarama;500.0
Municipios;1065;Parla;7415.0
Municipios;1071;Patones;17.0
Municipios;1087;Pedrezuela;215.0
Municipios;1090;Pelayos de la Presa;152.0
Municipios;1104;Perales de Tajuña;284.0
Municipios;1111;Pezuela de las Torres;55.0
Municipios;1126;Pinilla del Valle;6.0
Municipios;1132;Pinto;2350.0
Municipios;1147;Piñuécar-Gandullas;1.0
Municipios;1150;Pozuelo de Alarcón;937.0
Municipios;1163;Pozuelo del Rey;49.0
Municipios;1179;Prádena del Rincón;9.0
Municipios;1185;Puebla de la Sierra;6.0
Municipios;9020;Puentes Viejas;17.0
Municipios;1198;Quijorna;107.0
Municipios;1202;Rascafría;61.0
Municipios;1219;Redueña;24.0
Municipios;1224;Ribatejada;10.0
Municipios;1230;Rivas-Vaciamadrid;2286.0
Municipios;1245;Robledillo de la Jara;5.0
Municipios;1258;Robledo de Chavela;180.0
Municipios;1261;Robregordo;0.0
Municipios;1277;Rozas de Madrid (Las);1019.0
Municipios;1283;Rozas de Puerto Real;26.0
Municipios;1296;San Agustín del Guadalix;334.0
Municipios;1300;San Fernando de Henares;1486.0
Municipios;1317;San Lorenzo de El Escorial;316.0
Municipios;1338;San Martín de Valdeiglesias;459.0
Municipios;1322;San Martín de la Vega;1095.0
Municipios;1343;San Sebastián de los Reyes;2103.0
Municipios;1356;Santa María de la Alameda;64.0
Municipios;1369;Santorcaz;30.0
Municipios;1375;Santos de la Humosa (Los);108.0
Municipios;1381;Serna del Monte (La);2.0
Municipios;1408;Serranillos del Valle;212.0
Municipios;1415;Sevilla la Nueva;239.0
Municipios;1436;Somosierra;0.0
Municipios;1441;Soto del Real;159.0
Municipios;1454;Talamanca de Jarama;134.0
Municipios;1467;Tielmes;194.0
Municipios;1473;Titulcia;47.0
Municipios;1489;Torrejón de Ardoz;6611.0
Municipios;1505;Torrejón de Velasco;140.0
Municipios;1492;Torrejón de la Calzada;320.0
Municipios;1512;Torrelaguna;183.0
Municipios;1527;Torrelodones;306.0
Municipios;1533;Torremocha de Jarama;40.0
Municipios;1548;Torres de la Alameda;468.0
Municipios;9036;Tres Cantos;575.0
Municipios;1551;Valdaracete;76.0
Municipios;1564;Valdeavero;115.0
Municipios;1570;Valdelaguna;61.0
Municipios;1586;Valdemanco;38.0
Municipios;1599;Valdemaqueda;53.0
Municipios;1603;Valdemorillo;395.0
Municipios;1610;Valdemoro;2657.0
Municipios;1625;Valdeolmos-Alalpardo;121.0
Municipios;1631;Valdepiélagos;13.0
Municipios;1646;Valdetorres de Jarama;233.0
Municipios;1659;Valdilecha;214.0
Municipios;1662;Valverde de Alcalá;24.0
Municipios;1678;Velilla de San Antonio;456.0
Municipios;1684;Vellón (El);71.0
Municipios;1697;Venturada;44.0
Municipios;1718;Villa del Prado;344.0
Municipios;1701;Villaconejos;128.0
Municipios;1723;Villalbilla;500.0
Municipios;1739;Villamanrique de Tajo;51.0
Municipios;1744;Villamanta;138.0
Municipios;1757;Villamantilla;50.0
Municipios;1782;Villanueva de Perales;83.0
Municipios;1760;Villanueva de la Cañada;310.0
Municipios;1776;Villanueva del Pardillo;319.0
Municipios;1795;Villar del Olmo;112.0
Municipios;1809;Villarejo de Salvanés;718.0
Municipios;1816;Villaviciosa de Odón;530.0
Municipios;1821;Villavieja del Lozoya;9.0
Municipios;1837;Zarzalejo;47.0
