Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;249858
Zonas Estadísticas;01;Municipio de Madrid ;120703
Zonas Estadísticas;02;Norte Metropolitano ;10595
Zonas Estadísticas;03;Este Metropolitano  ;26729
Zonas Estadísticas;04;Sur Metropolitano   ;55192
Zonas Estadísticas;05;Oeste Metropolitano ;13625
Zonas Estadísticas;06;Sierra Norte        ;1785
Zonas Estadísticas;07;Nordeste Comunidad  ;2607
Zonas Estadísticas;08;Sudeste Comunidad   ;4731
Zonas Estadísticas;09;Sudoeste Comunidad  ;5383
Zonas Estadísticas;10;Sierra Sur          ;1963
Zonas Estadísticas;11;Sierra Central      ;6545
Municipios;0014;Acebeda (La);6
Municipios;0029;Ajalvir;168
Municipios;0035;Alameda del Valle;10
Municipios;0040;Alamo (El);389
Municipios;0053;Alcalá de Henares;8005
Municipios;0066;Alcobendas;3461
Municipios;0072;Alcorcón;6416
Municipios;0088;Aldea del Fresno;165
Municipios;0091;Algete;656
Municipios;0105;Alpedrete;554
Municipios;0112;Ambite;49
Municipios;0127;Anchuelo;51
Municipios;0133;Aranjuez;2762
Municipios;0148;Arganda del Rey;2448
Municipios;0151;Arroyomolinos;1022
Municipios;0164;Atazar (El);10
Municipios;0170;Batres;60
Municipios;0186;Becerril de la Sierra;234
Municipios;0199;Belmonte de Tajo;82
Municipios;0210;Berrueco (El);31
Municipios;0203;Berzosa del Lozoya;7
Municipios;0225;Boadilla del Monte;1243
Municipios;0231;Boalo (El);304
Municipios;0246;Braojos;6
Municipios;0259;Brea de Tajo;34
Municipios;0262;Brunete;370
Municipios;0278;Buitrago del Lozoya;66
Municipios;0284;Bustarviejo;130
Municipios;0297;Cabanillas de la Sierra;29
Municipios;0301;Cabrera (La);132
Municipios;0318;Cadalso de los Vidrios;191
Municipios;0323;Camarma de Esteruelas;337
Municipios;0339;Campo Real;271
Municipios;0344;Canencia;20
Municipios;0357;Carabaña;106
Municipios;0360;Casarrubuelos;143
Municipios;0376;Cenicientos;123
Municipios;0382;Cercedilla;271
Municipios;0395;Cervera de Buitrago;10
Municipios;0513;Chapinería;115
Municipios;0528;Chinchón;253
Municipios;0409;Ciempozuelos;1154
Municipios;0416;Cobeña;189
Municipios;0468;Collado Mediano;295
Municipios;0474;Collado Villalba;2875
Municipios;0455;Colmenar Viejo;1724
Municipios;0437;Colmenar de Oreja;354
Municipios;0421;Colmenar del Arroyo;88
Municipios;0442;Colmenarejo;373
Municipios;0480;Corpa;34
Municipios;0493;Coslada;3144
Municipios;0506;Cubas de la Sagra;217
Municipios;0534;Daganzo de Arriba;350
Municipios;0549;Escorial (El);619
Municipios;0552;Estremera;69
Municipios;0565;Fresnedillas de la Oliva;86
Municipios;0571;Fresno de Torote;97
Municipios;0587;Fuenlabrada;8499
Municipios;0590;Fuente el Saz de Jarama;273
Municipios;0604;Fuentidueña de Tajo;119
Municipios;0611;Galapagar;1272
Municipios;0626;Garganta de los Montes;18
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;20
Municipios;0647;Gascones;10
Municipios;0650;Getafe;7136
Municipios;0663;Griñón;325
Municipios;0679;Guadalix de la Sierra;284
Municipios;0685;Guadarrama;610
Municipios;0698;Hiruela (La);2
Municipios;0702;Horcajo de la Sierra-Aoslos;5
Municipios;0719;Horcajuelo de la Sierra;3
Municipios;0724;Hoyo de Manzanares;261
Municipios;0730;Humanes de Madrid;841
Municipios;0745;Leganés;7544
Municipios;0758;Loeches;353
Municipios;0761;Lozoya;27
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;65
Municipios;0783;Madarcos;1
Municipios;0796;Madrid;120703
Municipios;0800;Majadahonda;1711
Municipios;0822;Manzanares el Real;380
Municipios;0838;Meco;571
Municipios;0843;Mejorada del Campo;1019
Municipios;0856;Miraflores de la Sierra;280
Municipios;0869;Molar (El);380
Municipios;0875;Molinos (Los);154
Municipios;0881;Montejo de la Sierra;11
Municipios;0894;Moraleja de Enmedio;179
Municipios;0908;Moralzarzal;427
Municipios;0915;Morata de Tajuña;337
Municipios;0920;Móstoles;8376
Municipios;0936;Navacerrada;111
