Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;546275;
Zonas Estadísticas;01;Municipio de Madrid ;248990;
Zonas Estadísticas;02;Norte Metropolitano ;30049;
Zonas Estadísticas;03;Este Metropolitano  ;59875;
Zonas Estadísticas;04;Sur Metropolitano   ;116947;
Zonas Estadísticas;05;Oeste Metropolitano ;37023;
Zonas Estadísticas;06;Sierra Norte        ;3926;
Zonas Estadísticas;07;Nordeste Comunidad  ;6346;
Zonas Estadísticas;08;Sudeste Comunidad   ;10516;
Zonas Estadísticas;09;Sudoeste Comunidad  ;15685;
Zonas Estadísticas;10;Sierra Sur          ;2988;
Zonas Estadísticas;11;Sierra Central      ;13930;
Municipios;0014;Acebeda (La);0;
Municipios;0029;Ajalvir;435;
Municipios;0035;Alameda del Valle;13;
Municipios;0040;Alamo (El);811;
Municipios;0053;Alcalá de Henares;15302;
Municipios;0066;Alcobendas;9602;
Municipios;0072;Alcorcón;13700;
Municipios;0088;Aldea del Fresno;269;
Municipios;0091;Algete;1469;
Municipios;0105;Alpedrete;1006;
Municipios;0112;Ambite;56;
Municipios;0127;Anchuelo;137;
Municipios;0133;Aranjuez;4827;
Municipios;0148;Arganda del Rey;5460;
Municipios;0151;Arroyomolinos;4535;
Municipios;0164;Atazar (El);9;
Municipios;0170;Batres;154;
Municipios;0186;Becerril de la Sierra;521;
Municipios;0199;Belmonte de Tajo;170;
Municipios;0210;Berrueco (El);70;
Municipios;0203;Berzosa del Lozoya;9;
Municipios;0225;Boadilla del Monte;4964;
Municipios;0231;Boalo (El);768;
Municipios;0246;Braojos;21;
Municipios;0259;Brea de Tajo;40;
Municipios;0262;Brunete;882;
Municipios;0278;Buitrago del Lozoya;141;
Municipios;0284;Bustarviejo;261;
Municipios;0297;Cabanillas de la Sierra;83;
Municipios;0301;Cabrera (La);269;
Municipios;0318;Cadalso de los Vidrios;229;
Municipios;0323;Camarma de Esteruelas;712;
Municipios;0339;Campo Real;683;
Municipios;0344;Canencia;17;
Municipios;0357;Carabaña;246;
Municipios;0360;Casarrubuelos;389;
Municipios;0376;Cenicientos;136;
Municipios;0382;Cercedilla;575;
Municipios;0395;Cervera de Buitrago;7;
Municipios;0513;Chapinería;212;
Municipios;0528;Chinchón;476;
Municipios;0409;Ciempozuelos;2210;
Municipios;0416;Cobeña;697;
Municipios;0468;Collado Mediano;522;
Municipios;0474;Collado Villalba;5268;
Municipios;0455;Colmenar Viejo;4842;
Municipios;0437;Colmenar de Oreja;699;
Municipios;0421;Colmenar del Arroyo;158;
Municipios;0442;Colmenarejo;736;
Municipios;0480;Corpa;89;
Municipios;0493;Coslada;6356;
Municipios;0506;Cubas de la Sagra;736;
Municipios;0534;Daganzo de Arriba;848;
Municipios;0549;Escorial (El);1251;
Municipios;0552;Estremera;117;
Municipios;0565;Fresnedillas de la Oliva;169;
Municipios;0571;Fresno de Torote;238;
