Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;2211;
Zonas Estadísticas;01;Municipio de Madrid ;1432;
Zonas Estadísticas;02;Norte Metropolitano ;65;
Zonas Estadísticas;03;Este Metropolitano  ;114;
Zonas Estadísticas;04;Sur Metropolitano   ;286;
Zonas Estadísticas;05;Oeste Metropolitano ;144;
Zonas Estadísticas;06;Sierra Norte        ;24;
Zonas Estadísticas;07;Nordeste Comunidad  ;12;
Zonas Estadísticas;08;Sudeste Comunidad   ;22;
Zonas Estadísticas;09;Sudoeste Comunidad  ;37;
Zonas Estadísticas;10;Sierra Sur          ;19;
Zonas Estadísticas;11;Sierra Central      ;56;
Municipios;0014;Acebeda (La);0;
Municipios;0029;Ajalvir;2;
Municipios;0035;Alameda del Valle;0;
Municipios;0040;Alamo (El);5;
Municipios;0053;Alcalá de Henares;42;
Municipios;0066;Alcobendas;24;
Municipios;0072;Alcorcón;44;
Municipios;0088;Aldea del Fresno;2;
Municipios;0091;Algete;3;
Municipios;0105;Alpedrete;1;
Municipios;0112;Ambite;0;
Municipios;0127;Anchuelo;1;
Municipios;0133;Aranjuez;16;
Municipios;0148;Arganda del Rey;11;
Municipios;0151;Arroyomolinos;3;
Municipios;0164;Atazar (El);0;
Municipios;0170;Batres;0;
Municipios;0186;Becerril de la Sierra;1;
Municipios;0199;Belmonte de Tajo;1;
Municipios;0210;Berrueco (El);0;
Municipios;0203;Berzosa del Lozoya;0;
Municipios;0225;Boadilla del Monte;14;
Municipios;0231;Boalo (El);2;
Municipios;0246;Braojos;0;
Municipios;0259;Brea de Tajo;0;
Municipios;0262;Brunete;0;
Municipios;0278;Buitrago del Lozoya;3;
Municipios;0284;Bustarviejo;0;
Municipios;0297;Cabanillas de la Sierra;0;
Municipios;0301;Cabrera (La);2;
Municipios;0318;Cadalso de los Vidrios;2;
Municipios;0323;Camarma de Esteruelas;1;
Municipios;0339;Campo Real;0;
Municipios;0344;Canencia;2;
Municipios;0357;Carabaña;1;
Municipios;0360;Casarrubuelos;0;
Municipios;0376;Cenicientos;0;
Municipios;0382;Cercedilla;3;
Municipios;0395;Cervera de Buitrago;0;
Municipios;0513;Chapinería;2;
Municipios;0528;Chinchón;1;
Municipios;0409;Ciempozuelos;12;
Municipios;0416;Cobeña;0;
Municipios;0468;Collado Mediano;1;
Municipios;0474;Collado Villalba;18;
Municipios;0455;Colmenar Viejo;16;
Municipios;0437;Colmenar de Oreja;2;
Municipios;0421;Colmenar del Arroyo;2;
Municipios;0442;Colmenarejo;5;
Municipios;0480;Corpa;0;
Municipios;0493;Coslada;14;
Municipios;0506;Cubas de la Sagra;3;
Municipios;0534;Daganzo de Arriba;2;
Municipios;0549;Escorial (El);5;
Municipios;0552;Estremera;1;
Municipios;0565;Fresnedillas de la Oliva;0;
