Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;14235.0
Zonas Estadísticas;01;Municipio de Madrid ;4617.0
Zonas Estadísticas;02;Norte Metropolitano ;861.0
Zonas Estadísticas;03;Este Metropolitano  ;672.0
Zonas Estadísticas;04;Sur Metropolitano   ;1668.0
Zonas Estadísticas;05;Oeste Metropolitano ;984.0
Zonas Estadísticas;06;Sierra Norte        ;729.0
Zonas Estadísticas;07;Nordeste Comunidad  ;441.0
Zonas Estadísticas;08;Sudeste Comunidad   ;1905.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;1146.0
Zonas Estadísticas;10;Sierra Sur          ;510.0
Zonas Estadísticas;11;Sierra Central      ;702.0
Municipios;0014;Acebeda (La);0.0
Municipios;0029;Ajalvir;33.0
Municipios;0035;Alameda del Valle;9.0
Municipios;0040;Alamo (El);51.0
Municipios;0053;Alcalá de Henares;168.0
Municipios;0066;Alcobendas;198.0
Municipios;0072;Alcorcón;72.0
Municipios;0088;Aldea del Fresno;75.0
Municipios;0091;Algete;84.0
Municipios;0105;Alpedrete;24.0
Municipios;0112;Ambite;21.0
Municipios;0127;Anchuelo;18.0
Municipios;0133;Aranjuez;294.0
Municipios;0148;Arganda del Rey;111.0
Municipios;0151;Arroyomolinos;24.0
Municipios;0164;Atazar (El);0.0
Municipios;0170;Batres;6.0
Municipios;0186;Becerril de la Sierra;21.0
Municipios;0199;Belmonte de Tajo;27.0
Municipios;0210;Berrueco (El);0.0
Municipios;0203;Berzosa del Lozoya;0.0
Municipios;0225;Boadilla del Monte;93.0
Municipios;0231;Boalo (El);66.0
Municipios;0246;Braojos;12.0
Municipios;0259;Brea de Tajo;45.0
Municipios;0262;Brunete;78.0
Municipios;0278;Buitrago del Lozoya;21.0
Municipios;0284;Bustarviejo;33.0
Municipios;0297;Cabanillas de la Sierra;12.0
Municipios;0301;Cabrera (La);9.0
Municipios;0318;Cadalso de los Vidrios;39.0
Municipios;0323;Camarma de Esteruelas;15.0
Municipios;0339;Campo Real;33.0
Municipios;0344;Canencia;21.0
Municipios;0357;Carabaña;24.0
Municipios;0360;Casarrubuelos;6.0
Municipios;0376;Cenicientos;69.0
Municipios;0382;Cercedilla;21.0
Municipios;0395;Cervera de Buitrago;0.0
Municipios;0513;Chapinería;12.0
Municipios;0528;Chinchón;315.0
Municipios;0409;Ciempozuelos;117.0
Municipios;0416;Cobeña;60.0
Municipios;0468;Collado Mediano;12.0
Municipios;0474;Collado Villalba;102.0
Municipios;0455;Colmenar Viejo;309.0
Municipios;0437;Colmenar de Oreja;159.0
Municipios;0421;Colmenar del Arroyo;48.0
Municipios;0442;Colmenarejo;18.0
Municipios;0480;Corpa;9.0
Municipios;0493;Coslada;48.0
Municipios;0506;Cubas de la Sagra;21.0
Municipios;0534;Daganzo de Arriba;57.0
Municipios;0549;Escorial (El);93.0
Municipios;0552;Estremera;72.0
Municipios;0565;Fresnedillas de la Oliva;12.0
Municipios;0571;Fresno de Torote;15.0
Municipios;0587;Fuenlabrada;279.0
Municipios;0590;Fuente el Saz de Jarama;66.0
Municipios;0604;Fuentidueña de Tajo;81.0
Municipios;0611;Galapagar;84.0
Municipios;0626;Garganta de los Montes;21.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;12.0
Municipios;0647;Gascones;21.0
Municipios;0650;Getafe;168.0
Municipios;0663;Griñón;51.0
Municipios;0679;Guadalix de la Sierra;126.0
Municipios;0685;Guadarrama;66.0
Municipios;0698;Hiruela (La);0.0
Municipios;0702;Horcajo de la Sierra-Aoslos;18.0
Municipios;0719;Horcajuelo de la Sierra;9.0
Municipios;0724;Hoyo de Manzanares;21.0
Municipios;0730;Humanes de Madrid;66.0
Municipios;0745;Leganés;90.0
Municipios;0758;Loeches;27.0
Municipios;0761;Lozoya;12.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;21.0
Municipios;0783;Madarcos;3.0
Municipios;0796;Madrid;4617.0
Municipios;0800;Majadahonda;126.0
Municipios;0822;Manzanares el Real;48.0
Municipios;0838;Meco;39.0
Municipios;0843;Mejorada del Campo;15.0
Municipios;0856;Miraflores de la Sierra;48.0
Municipios;0869;Molar (El);60.0
Municipios;0875;Molinos (Los);27.0
Municipios;0881;Montejo de la Sierra;15.0
Municipios;0894;Moraleja de Enmedio;30.0
Municipios;0908;Moralzarzal;36.0
Municipios;0915;Morata de Tajuña;168.0
Municipios;0920;Móstoles;141.0
Municipios;0936;Navacerrada;0.0
Municipios;0941;Navalafuente;27.0
Municipios;0954;Navalagamella;36.0
Municipios;0967;Navalcarnero;129.0
Municipios;0973;Navarredonda y San Mamés;9.0
Municipios;0992;Navas del Rey;24.0
Municipios;1006;Nuevo Baztán;18.0
Municipios;1013;Olmeda de las Fuentes;18.0
Municipios;1028;Orusco de Tajuña;12.0
