Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;233058.0
Zonas Estadísticas;01;Municipio de Madrid ;86066.0
Zonas Estadísticas;02;Norte Metropolitano ;12172.0
Zonas Estadísticas;03;Este Metropolitano  ;33474.0
Zonas Estadísticas;04;Sur Metropolitano   ;55568.0
Zonas Estadísticas;05;Oeste Metropolitano ;13848.0
Zonas Estadísticas;06;Sierra Norte        ;2144.0
Zonas Estadísticas;07;Nordeste Comunidad  ;4350.0
Zonas Estadísticas;08;Sudeste Comunidad   ;7124.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;9452.0
Zonas Estadísticas;10;Sierra Sur          ;2028.0
Zonas Estadísticas;11;Sierra Central      ;6832.0
Municipios;0014;Acebeda (La);2.0
Municipios;0029;Ajalvir;1070.0
Municipios;0035;Alameda del Valle;2.0
Municipios;0040;Alamo (El);542.0
Municipios;0053;Alcalá de Henares;7128.0
Municipios;0066;Alcobendas;3572.0
Municipios;0072;Alcorcón;5778.0
Municipios;0088;Aldea del Fresno;124.0
Municipios;0091;Algete;1256.0
Municipios;0105;Alpedrete;618.0
Municipios;0112;Ambite;34.0
Municipios;0127;Anchuelo;52.0
Municipios;0133;Aranjuez;1590.0
Municipios;0148;Arganda del Rey;6172.0
Municipios;0151;Arroyomolinos;1634.0
Municipios;0164;Atazar (El);6.0
Municipios;0170;Batres;80.0
Municipios;0186;Becerril de la Sierra;266.0
Municipios;0199;Belmonte de Tajo;174.0
Municipios;0210;Berrueco (El);46.0
Municipios;0203;Berzosa del Lozoya;20.0
Municipios;0225;Boadilla del Monte;1554.0
Municipios;0231;Boalo (El);404.0
Municipios;0246;Braojos;6.0
Municipios;0259;Brea de Tajo;28.0
Municipios;0262;Brunete;446.0
Municipios;0278;Buitrago del Lozoya;84.0
Municipios;0284;Bustarviejo;128.0
Municipios;0297;Cabanillas de la Sierra;30.0
Municipios;0301;Cabrera (La);150.0
Municipios;0318;Cadalso de los Vidrios;220.0
Municipios;0323;Camarma de Esteruelas;648.0
Municipios;0339;Campo Real;636.0
Municipios;0344;Canencia;36.0
Municipios;0357;Carabaña;152.0
Municipios;0360;Casarrubuelos;338.0
Municipios;0376;Cenicientos;62.0
Municipios;0382;Cercedilla;368.0
Municipios;0395;Cervera de Buitrago;6.0
Municipios;0513;Chapinería;176.0
Municipios;0528;Chinchón;272.0
Municipios;0409;Ciempozuelos;1220.0
Municipios;0416;Cobeña;268.0
Municipios;0468;Collado Mediano;292.0
Municipios;0474;Collado Villalba;2330.0
Municipios;0455;Colmenar Viejo;2094.0
Municipios;0437;Colmenar de Oreja;594.0
Municipios;0421;Colmenar del Arroyo;72.0
Municipios;0442;Colmenarejo;312.0
Municipios;0480;Corpa;16.0
Municipios;0493;Coslada;3690.0
Municipios;0506;Cubas de la Sagra;426.0
Municipios;0534;Daganzo de Arriba;686.0
Municipios;0549;Escorial (El);530.0
Municipios;0552;Estremera;58.0
Municipios;0565;Fresnedillas de la Oliva;64.0
Municipios;0571;Fresno de Torote;112.0
Municipios;0587;Fuenlabrada;9692.0
Municipios;0590;Fuente el Saz de Jarama;740.0
Municipios;0604;Fuentidueña de Tajo;108.0
Municipios;0611;Galapagar;1244.0
Municipios;0626;Garganta de los Montes;48.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;16.0
Municipios;0647;Gascones;22.0
Municipios;0650;Getafe;6562.0
Municipios;0663;Griñón;1090.0
Municipios;0679;Guadalix de la Sierra;340.0
Municipios;0685;Guadarrama;628.0
Municipios;0698;Hiruela (La);2.0
Municipios;0702;Horcajo de la Sierra-Aoslos;6.0
Municipios;0719;Horcajuelo de la Sierra;8.0
Municipios;0724;Hoyo de Manzanares;236.0
Municipios;0730;Humanes de Madrid;5266.0
Municipios;0745;Leganés;7404.0
Municipios;0758;Loeches;1030.0
Municipios;0761;Lozoya;34.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;96.0
Municipios;0783;Madarcos;6.0
Municipios;0796;Madrid;86066.0
Municipios;0800;Majadahonda;1506.0
Municipios;0822;Manzanares el Real;316.0
Municipios;0838;Meco;1010.0
Municipios;0843;Mejorada del Campo;2320.0
Municipios;0856;Miraflores de la Sierra;322.0
Municipios;0869;Molar (El);380.0
Municipios;0875;Molinos (Los);226.0
Municipios;0881;Montejo de la Sierra;14.0
Municipios;0894;Moraleja de Enmedio;1004.0
Municipios;0908;Moralzarzal;478.0
Municipios;0915;Morata de Tajuña;364.0
Municipios;0920;Móstoles;6644.0
Municipios;0936;Navacerrada;118.0
Municipios;0941;Navalafuente;50.0
Municipios;0954;Navalagamella;74.0
Municipios;0967;Navalcarnero;1560.0
Municipios;0973;Navarredonda y San Mamés;8.0
Municipios;0992;Navas del Rey;164.0
Municipios;1006;Nuevo Baztán;338.0
Municipios;1013;Olmeda de las Fuentes;14.0
Municipios;1028;Orusco de Tajuña;50.0
Municipios;1049;Paracuellos de Jarama;1440.0
Municipios;1065;Parla;3932.0
Municipios;1071;Patones;12.0
Municipios;1087;Pedrezuela;208.0
Municipios;1090;Pelayos de la Presa;196.0
Municipios;1104;Perales de Tajuña;186.0
Municipios;1111;Pezuela de las Torres;28.0
Municipios;1126;Pinilla del Valle;4.0
Municipios;1132;Pinto;2516.0
Municipios;1147;Piñuécar-Gandullas;12.0
Municipios;1150;Pozuelo de Alarcón;1942.0
Municipios;1163;Pozuelo del Rey;46.0
Municipios;1179;Prádena del Rincón;20.0
Municipios;1185;Puebla de la Sierra;2.0
Municipios;9020;Puentes Viejas;34.0
Municipios;1198;Quijorna;102.0
Municipios;1202;Rascafría;108.0
Municipios;1219;Redueña;10.0
Municipios;1224;Ribatejada;40.0
Municipios;1230;Rivas-Vaciamadrid;3388.0
Municipios;1245;Robledillo de la Jara;4.0
Municipios;1258;Robledo de Chavela;176.0
Municipios;1261;Robregordo;2.0
Municipios;1277;Rozas de Madrid (Las);2372.0
Municipios;1283;Rozas de Puerto Real;16.0
Municipios;1296;San Agustín del Guadalix;468.0
Municipios;1300;San Fernando de Henares;2448.0
Municipios;1317;San Lorenzo de El Escorial;510.0
Municipios;1338;San Martín de Valdeiglesias;488.0
Municipios;1322;San Martín de la Vega;1166.0
Municipios;1343;San Sebastián de los Reyes;3576.0
Municipios;1356;Santa María de la Alameda;126.0
Municipios;1369;Santorcaz;50.0
Municipios;1375;Santos de la Humosa (Los);90.0
Municipios;1381;Serna del Monte (La);4.0
Municipios;1408;Serranillos del Valle;366.0
Municipios;1415;Sevilla la Nueva;468.0
Municipios;1436;Somosierra;2.0
Municipios;1441;Soto del Real;284.0
Municipios;1454;Talamanca de Jarama;168.0
Municipios;1467;Tielmes;138.0
Municipios;1473;Titulcia;68.0
Municipios;1489;Torrejón de Ardoz;4898.0
Municipios;1505;Torrejón de Velasco;312.0
Municipios;1492;Torrejón de la Calzada;772.0
Municipios;1512;Torrelaguna;204.0
Municipios;1527;Torrelodones;548.0
Municipios;1533;Torremocha de Jarama;62.0
Municipios;1548;Torres de la Alameda;752.0
Municipios;9036;Tres Cantos;938.0
Municipios;1551;Valdaracete;28.0
Municipios;1564;Valdeavero;146.0
Municipios;1570;Valdelaguna;56.0
Municipios;1586;Valdemanco;70.0
Municipios;1599;Valdemaqueda;82.0
Municipios;1603;Valdemorillo;590.0
Municipios;1610;Valdemoro;3798.0
Municipios;1625;Valdeolmos-Alalpardo;114.0
Municipios;1631;Valdepiélagos;50.0
Municipios;1646;Valdetorres de Jarama;256.0
Municipios;1659;Valdilecha;166.0
Municipios;1662;Valverde de Alcalá;14.0
Municipios;1678;Velilla de San Antonio;920.0
Municipios;1684;Vellón (El);104.0
Municipios;1697;Venturada;102.0
Municipios;1718;Villa del Prado;270.0
Municipios;1701;Villaconejos;184.0
Municipios;1723;Villalbilla;720.0
Municipios;1739;Villamanrique de Tajo;26.0
Municipios;1744;Villamanta;210.0
Municipios;1757;Villamantilla;94.0
Municipios;1782;Villanueva de Perales;60.0
Municipios;1760;Villanueva de la Cañada;562.0
Municipios;1776;Villanueva del Pardillo;570.0
Municipios;1795;Villar del Olmo;172.0
Municipios;1809;Villarejo de Salvanés;480.0
Municipios;1816;Villaviciosa de Odón;1108.0
Municipios;1821;Villavieja del Lozoya;14.0
Municipios;1837;Zarzalejo;112.0
