Serie;Codigo_municipio;Nombre;2023
Comunidad de Madrid;;Comunidad de Madrid;8599896.0
Zonas Estadísticas;01;Municipio de Madrid ;4940928.0
Zonas Estadísticas;02;Norte Metropolitano ;456834.0
Zonas Estadísticas;03;Este Metropolitano  ;636042.0
Zonas Estadísticas;04;Sur Metropolitano   ;1125906.0
Zonas Estadísticas;05;Oeste Metropolitano ;827880.0
Zonas Estadísticas;06;Sierra Norte        ;49014.0
Zonas Estadísticas;07;Nordeste Comunidad  ;67596.0
Zonas Estadísticas;08;Sudeste Comunidad   ;104010.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;151524.0
Zonas Estadísticas;10;Sierra Sur          ;35928.0
Zonas Estadísticas;11;Sierra Central      ;204234.0
Municipios;0014;Acebeda (La);258.0
Municipios;0029;Ajalvir;9624.0
Municipios;0035;Alameda del Valle;420.0
Municipios;0040;Alamo (El);8766.0
Municipios;0053;Alcalá de Henares;173190.0
Municipios;0066;Alcobendas;177198.0
Municipios;0072;Alcorcón;158370.0
Municipios;0088;Aldea del Fresno;2442.0
Municipios;0091;Algete;27870.0
Municipios;0105;Alpedrete;17742.0
Municipios;0112;Ambite;612.0
Municipios;0127;Anchuelo;1158.0
Municipios;0133;Aranjuez;50220.0
Municipios;0148;Arganda del Rey;62598.0
Municipios;0151;Arroyomolinos;35460.0
Municipios;0164;Atazar (El);66.0
Municipios;0170;Batres;1758.0
Municipios;0186;Becerril de la Sierra;7284.0
Municipios;0199;Belmonte de Tajo;1320.0
Municipios;0210;Berrueco (El);780.0
Municipios;0203;Berzosa del Lozoya;312.0
Municipios;0225;Boadilla del Monte;100950.0
Municipios;0231;Boalo (El);8748.0
Municipios;0246;Braojos;330.0
Municipios;0259;Brea de Tajo;510.0
Municipios;0262;Brunete;12594.0
Municipios;0278;Buitrago del Lozoya;2622.0
Municipios;0284;Bustarviejo;3024.0
Municipios;0297;Cabanillas de la Sierra;894.0
Municipios;0301;Cabrera (La);3264.0
Municipios;0318;Cadalso de los Vidrios;2778.0
Municipios;0323;Camarma de Esteruelas;7788.0
Municipios;0339;Campo Real;7242.0
Municipios;0344;Canencia;474.0
Municipios;0357;Carabaña;1884.0
Municipios;0360;Casarrubuelos;3768.0
Municipios;0376;Cenicientos;1452.0
Municipios;0382;Cercedilla;8664.0
Municipios;0395;Cervera de Buitrago;162.0
Municipios;0513;Chapinería;2364.0
Municipios;0528;Chinchón;6648.0
Municipios;0409;Ciempozuelos;18834.0
Municipios;0416;Cobeña;8556.0
Municipios;0468;Collado Mediano;8496.0
Municipios;0474;Collado Villalba;66024.0
Municipios;0455;Colmenar Viejo;52182.0
Municipios;0437;Colmenar de Oreja;6954.0
Municipios;0421;Colmenar del Arroyo;1854.0
Municipios;0442;Colmenarejo;8430.0
Municipios;0480;Corpa;402.0
Municipios;0493;Coslada;77442.0
Municipios;0506;Cubas de la Sagra;5502.0
Municipios;0534;Daganzo de Arriba;11226.0
Municipios;0549;Escorial (El);18126.0
Municipios;0552;Estremera;1524.0
Municipios;0565;Fresnedillas de la Oliva;1476.0
Municipios;0571;Fresno de Torote;1572.0
Municipios;0587;Fuenlabrada;177528.0
Municipios;0590;Fuente el Saz de Jarama;9396.0
Municipios;0604;Fuentidueña de Tajo;1848.0
Municipios;0611;Galapagar;38406.0
Municipios;0626;Garganta de los Montes;456.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;438.0
Municipios;0647;Gascones;354.0
Municipios;0650;Getafe;158220.0
Municipios;0663;Griñón;15174.0
Municipios;0679;Guadalix de la Sierra;6264.0
Municipios;0685;Guadarrama;17112.0
Municipios;0698;Hiruela (La);210.0
