Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;183409
Zonas Estadísticas;01;Municipio de Madrid ;83817
Zonas Estadísticas;02;Norte Metropolitano ;10614
Zonas Estadísticas;03;Este Metropolitano  ;21400
Zonas Estadísticas;04;Sur Metropolitano   ;37674
Zonas Estadísticas;05;Oeste Metropolitano ;10920
Zonas Estadísticas;06;Sierra Norte        ;0
Zonas Estadísticas;07;Nordeste Comunidad  ;1909
Zonas Estadísticas;08;Sudeste Comunidad   ;3110
Zonas Estadísticas;09;Sudoeste Comunidad  ;6098
Zonas Estadísticas;10;Sierra Sur          ;1226
Zonas Estadísticas;11;Sierra Central      ;4272
Zonas Estadísticas;99;Sin Zona asignada   ;1284
Municipios;0014;Acebeda (La);0
Municipios;0029;Ajalvir;337
Municipios;0035;Alameda del Valle;0
Municipios;0040;Alamo (El);247
Municipios;0053;Alcalá de Henares;5504
Municipios;0066;Alcobendas;4048
Municipios;0072;Alcorcón;4924
Municipios;0088;Aldea del Fresno;93
Municipios;0091;Algete;1061
Municipios;0105;Alpedrete;345
Municipios;0112;Ambite;16
Municipios;0127;Anchuelo;22
Municipios;0133;Aranjuez;793
Municipios;0148;Arganda del Rey;2686
Municipios;0151;Arroyomolinos;1435
Municipios;0164;Atazar (El);0
Municipios;0170;Batres;45
Municipios;0186;Becerril de la Sierra;172
Municipios;0199;Belmonte de Tajo;30
Municipios;0210;Berrueco (El);35
Municipios;0203;Berzosa del Lozoya;7
Municipios;0225;Boadilla del Monte;1192
Municipios;0231;Boalo (El);254
Municipios;0246;Braojos;9
Municipios;0259;Brea de Tajo;5
Municipios;0262;Brunete;214
Municipios;0278;Buitrago del Lozoya;50
Municipios;0284;Bustarviejo;43
Municipios;0297;Cabanillas de la Sierra;30
Municipios;0301;Cabrera (La);87
Municipios;0318;Cadalso de los Vidrios;114
Municipios;0323;Camarma de Esteruelas;289
Municipios;0339;Campo Real;198
Municipios;0344;Canencia;29
Municipios;0357;Carabaña;67
Municipios;0360;Casarrubuelos;161
Municipios;0376;Cenicientos;44
Municipios;0382;Cercedilla;184
Municipios;0395;Cervera de Buitrago;0
Municipios;0513;Chapinería;64
Municipios;0528;Chinchón;89
Municipios;0409;Ciempozuelos;579
Municipios;0416;Cobeña;102
Municipios;0468;Collado Mediano;293
Municipios;0474;Collado Villalba;1101
Municipios;0455;Colmenar Viejo;1302
Municipios;0437;Colmenar de Oreja;350
Municipios;0421;Colmenar del Arroyo;49
Municipios;0442;Colmenarejo;245
Municipios;0480;Corpa;6
Municipios;0493;Coslada;3366
Municipios;0506;Cubas de la Sagra;249
Municipios;0534;Daganzo de Arriba;325
Municipios;0549;Escorial (El);248
Municipios;0552;Estremera;54
Municipios;0565;Fresnedillas de la Oliva;34
Municipios;0571;Fresno de Torote;74
Municipios;0587;Fuenlabrada;5164
Municipios;0590;Fuente el Saz de Jarama;213
Municipios;0604;Fuentidueña de Tajo;30
Municipios;0611;Galapagar;943
Municipios;0626;Garganta de los Montes;16
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0
Municipios;0647;Gascones;6
Municipios;0650;Getafe;6323
Municipios;0663;Griñón;766
Municipios;0679;Guadalix de la Sierra;180
Municipios;0685;Guadarrama;458
Municipios;0698;Hiruela (La);0
Municipios;0702;Horcajo de la Sierra-Aoslos;11
Municipios;0719;Horcajuelo de la Sierra;8
Municipios;0724;Hoyo de Manzanares;113
Municipios;0730;Humanes de Madrid;2140
Municipios;0745;Leganés;6292
Municipios;0758;Loeches;388
Municipios;0761;Lozoya;17
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;41
Municipios;0783;Madarcos;0
Municipios;0796;Madrid;83817
Municipios;0800;Majadahonda;1432
Municipios;0822;Manzanares el Real;172
Municipios;0838;Meco;489
Municipios;0843;Mejorada del Campo;1030
Municipios;0856;Miraflores de la Sierra;137
Municipios;0869;Molar (El);171
Municipios;0875;Molinos (Los);128
Municipios;0881;Montejo de la Sierra;0
Municipios;0894;Moraleja de Enmedio;385
Municipios;0908;Moralzarzal;319
Municipios;0915;Morata de Tajuña;195
Municipios;0920;Móstoles;4398
Municipios;0936;Navacerrada;72
Municipios;0941;Navalafuente;15
Municipios;0954;Navalagamella;29
Municipios;0967;Navalcarnero;942
Municipios;0973;Navarredonda y San Mamés;0
Municipios;0992;Navas del Rey;140
Municipios;1006;Nuevo Baztán;229
Municipios;1013;Olmeda de las Fuentes;18
Municipios;1028;Orusco de Tajuña;12
Municipios;1049;Paracuellos de Jarama;634
Municipios;1065;Parla;2542
Municipios;1071;Patones;8
Municipios;1087;Pedrezuela;149
Municipios;1090;Pelayos de la Presa;90
Municipios;1104;Perales de Tajuña;62
Municipios;1111;Pezuela de las Torres;16
Municipios;1126;Pinilla del Valle;0
Municipios;1132;Pinto;1666
Municipios;1147;Piñuécar-Gandullas;0
Municipios;1150;Pozuelo de Alarcón;2079
Municipios;1163;Pozuelo del Rey;38
Municipios;1179;Prádena del Rincón;14
Municipios;1185;Puebla de la Sierra;0
Municipios;9020;Puentes Viejas;13
Municipios;1198;Quijorna;98
Municipios;1202;Rascafría;55
Municipios;1219;Redueña;0
Municipios;1224;Ribatejada;15
Municipios;1230;Rivas-Vaciamadrid;3170
Municipios;1245;Robledillo de la Jara;0
Municipios;1258;Robledo de Chavela;144
Municipios;1261;Robregordo;0
Municipios;1277;Rozas de Madrid (Las);2386
Municipios;1283;Rozas de Puerto Real;9
Municipios;1296;San Agustín del Guadalix;213
Municipios;1300;San Fernando de Henares;1580
Municipios;1317;San Lorenzo de El Escorial;232
Municipios;1338;San Martín de Valdeiglesias;314
Municipios;1322;San Martín de la Vega;581
Municipios;1343;San Sebastián de los Reyes;2551
Municipios;1356;Santa María de la Alameda;58
Municipios;1369;Santorcaz;24
Municipios;1375;Santos de la Humosa (Los);73
Municipios;1381;Serna del Monte (La);0
Municipios;1408;Serranillos del Valle;236
Municipios;1415;Sevilla la Nueva;255
Municipios;1436;Somosierra;0
Municipios;1441;Soto del Real;206
Municipios;1454;Talamanca de Jarama;49
Municipios;1467;Tielmes;55
Municipios;1473;Titulcia;57
Municipios;1489;Torrejón de Ardoz;2686
Municipios;1505;Torrejón de Velasco;198
Municipios;1492;Torrejón de la Calzada;586
Municipios;1512;Torrelaguna;104
Municipios;1527;Torrelodones;352
Municipios;1533;Torremocha de Jarama;19
Municipios;1548;Torres de la Alameda;224
Municipios;9036;Tres Cantos;1337
Municipios;1551;Valdaracete;8
Municipios;1564;Valdeavero;58
Municipios;1570;Valdelaguna;22
Municipios;1586;Valdemanco;39
Municipios;1599;Valdemaqueda;49
Municipios;1603;Valdemorillo;303
Municipios;1610;Valdemoro;2272
Municipios;1625;Valdeolmos-Alalpardo;84
Municipios;1631;Valdepiélagos;7
Municipios;1646;Valdetorres de Jarama;135
Municipios;1659;Valdilecha;75
Municipios;1662;Valverde de Alcalá;9
Municipios;1678;Velilla de San Antonio;407
Municipios;1684;Vellón (El);29
Municipios;1697;Venturada;38
Municipios;1718;Villa del Prado;221
Municipios;1701;Villaconejos;54
Municipios;1723;Villalbilla;326
Municipios;1739;Villamanrique de Tajo;12
Municipios;1744;Villamanta;104
Municipios;1757;Villamantilla;30
Municipios;1782;Villanueva de Perales;47
Municipios;1760;Villanueva de la Cañada;342
Municipios;1776;Villanueva del Pardillo;504
Municipios;1795;Villar del Olmo;94
Municipios;1809;Villarejo de Salvanés;252
Municipios;1816;Villaviciosa de Odón;766
Municipios;1821;Villavieja del Lozoya;10
Municipios;1837;Zarzalejo;88
