Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;389369.0
Zonas Estadísticas;01;Municipio de Madrid ;156204.0
Zonas Estadísticas;02;Norte Metropolitano ;36230.0
Zonas Estadísticas;03;Este Metropolitano  ;56726.0
Zonas Estadísticas;04;Sur Metropolitano   ;86410.0
Zonas Estadísticas;05;Oeste Metropolitano ;17767.0
Zonas Estadísticas;06;Sierra Norte        ;0.0
Zonas Estadísticas;07;Nordeste Comunidad  ;1909.0
Zonas Estadísticas;08;Sudeste Comunidad   ;3110.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;10812.0
Zonas Estadísticas;10;Sierra Sur          ;1226.0
Zonas Estadísticas;11;Sierra Central      ;5673.0
Municipios;0014;Acebeda (La);0.0
Municipios;0029;Ajalvir;1983.0
Municipios;0035;Alameda del Valle;0.0
Municipios;0040;Alamo (El);345.0
Municipios;0053;Alcalá de Henares;15602.0
Municipios;0066;Alcobendas;16518.0
Municipios;0072;Alcorcón;8754.0
Municipios;0088;Aldea del Fresno;104.0
Municipios;0091;Algete;3065.0
Municipios;0105;Alpedrete;461.0
Municipios;0112;Ambite;16.0
Municipios;0127;Anchuelo;40.0
Municipios;0133;Aranjuez;2342.0
Municipios;0148;Arganda del Rey;9806.0
Municipios;0151;Arroyomolinos;1871.0
Municipios;0164;Atazar (El);0.0
Municipios;0170;Batres;66.0
Municipios;0186;Becerril de la Sierra;206.0
Municipios;0199;Belmonte de Tajo;78.0
Municipios;0210;Berrueco (El);35.0
Municipios;0203;Berzosa del Lozoya;7.0
Municipios;0225;Boadilla del Monte;1678.0
Municipios;0231;Boalo (El);352.0
Municipios;0246;Braojos;9.0
Municipios;0259;Brea de Tajo;5.0
Municipios;0262;Brunete;287.0
Municipios;0278;Buitrago del Lozoya;50.0
Municipios;0284;Bustarviejo;69.0
Municipios;0297;Cabanillas de la Sierra;30.0
Municipios;0301;Cabrera (La);108.0
Municipios;0318;Cadalso de los Vidrios;182.0
Municipios;0323;Camarma de Esteruelas;904.0
Municipios;0339;Campo Real;718.0
Municipios;0344;Canencia;29.0
Municipios;0357;Carabaña;95.0
Municipios;0360;Casarrubuelos;351.0
Municipios;0376;Cenicientos;51.0
Municipios;0382;Cercedilla;210.0
Municipios;0395;Cervera de Buitrago;0.0
Municipios;0513;Chapinería;101.0
Municipios;0528;Chinchón;238.0
Municipios;0409;Ciempozuelos;1107.0
Municipios;0416;Cobeña;305.0
Municipios;0468;Collado Mediano;350.0
Municipios;0474;Collado Villalba;1786.0
Municipios;0455;Colmenar Viejo;2553.0
Municipios;0437;Colmenar de Oreja;523.0
Municipios;0421;Colmenar del Arroyo;141.0
Municipios;0442;Colmenarejo;309.0
Municipios;0480;Corpa;21.0
Municipios;0493;Coslada;6248.0
Municipios;0506;Cubas de la Sagra;651.0
Municipios;0534;Daganzo de Arriba;1315.0
Municipios;0549;Escorial (El);323.0
Municipios;0552;Estremera;78.0
Municipios;0565;Fresnedillas de la Oliva;45.0
Municipios;0571;Fresno de Torote;101.0
Municipios;0587;Fuenlabrada;12778.0
Municipios;0590;Fuente el Saz de Jarama;647.0
Municipios;0604;Fuentidueña de Tajo;106.0
Municipios;0611;Galapagar;1090.0
Municipios;0626;Garganta de los Montes;29.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0.0
Municipios;0647;Gascones;6.0
Municipios;0650;Getafe;21123.0
Municipios;0663;Griñón;2026.0
Municipios;0679;Guadalix de la Sierra;231.0
Municipios;0685;Guadarrama;576.0
Municipios;0698;Hiruela (La);0.0
Municipios;0702;Horcajo de la Sierra-Aoslos;23.0
Municipios;0719;Horcajuelo de la Sierra;8.0
Municipios;0724;Hoyo de Manzanares;146.0
Municipios;0730;Humanes de Madrid;5730.0
Municipios;0745;Leganés;10483.0
Municipios;0758;Loeches;2313.0
Municipios;0761;Lozoya;24.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;57.0
Municipios;0783;Madarcos;0.0
Municipios;0796;Madrid;156204.0
Municipios;0800;Majadahonda;1979.0
