Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;54504000.0
Zonas Estadísticas;01;Municipio de Madrid ;34910460.0
Zonas Estadísticas;02;Norte Metropolitano ;3616011.0
Zonas Estadísticas;03;Este Metropolitano  ;3481434.0
Zonas Estadísticas;04;Sur Metropolitano   ;5760234.0
Zonas Estadísticas;05;Oeste Metropolitano ;4263012.0
Zonas Estadísticas;06;Sierra Norte        ;97641.0
Zonas Estadísticas;07;Nordeste Comunidad  ;270585.0
Zonas Estadísticas;08;Sudeste Comunidad   ;349452.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;718164.0
Zonas Estadísticas;10;Sierra Sur          ;102870.0
Zonas Estadísticas;11;Sierra Central      ;599643.0
Municipios;0014;Acebeda (La);261.0
Municipios;0029;Ajalvir;63270.0
Municipios;0035;Alameda del Valle;846.0
Municipios;0040;Alamo (El);27333.0
Municipios;0053;Alcalá de Henares;903411.0
Municipios;0066;Alcobendas;1901466.0
Municipios;0072;Alcorcón;872955.0
Municipios;0088;Aldea del Fresno;7965.0
Municipios;0091;Algete;117252.0
Municipios;0105;Alpedrete;48438.0
Municipios;0112;Ambite;1413.0
Municipios;0127;Anchuelo;2511.0
Municipios;0133;Aranjuez;234072.0
Municipios;0148;Arganda del Rey;319680.0
Municipios;0151;Arroyomolinos;132300.0
Municipios;0164;Atazar (El);207.0
Municipios;0170;Batres;4140.0
Municipios;0186;Becerril de la Sierra;16965.0
Municipios;0199;Belmonte de Tajo;3465.0
Municipios;0210;Berrueco (El);2385.0
Municipios;0203;Berzosa del Lozoya;783.0
Municipios;0225;Boadilla del Monte;546300.0
Municipios;0231;Boalo (El);23859.0
Municipios;0246;Braojos;630.0
Municipios;0259;Brea de Tajo;6651.0
Municipios;0262;Brunete;39249.0
Municipios;0278;Buitrago del Lozoya;8316.0
Municipios;0284;Bustarviejo;7398.0
Municipios;0297;Cabanillas de la Sierra;2214.0
Municipios;0301;Cabrera (La);9207.0
Municipios;0318;Cadalso de los Vidrios;9045.0
Municipios;0323;Camarma de Esteruelas;30078.0
Municipios;0339;Campo Real;22059.0
Municipios;0344;Canencia;1350.0
Municipios;0357;Carabaña;5886.0
Municipios;0360;Casarrubuelos;12681.0
Municipios;0376;Cenicientos;3816.0
Municipios;0382;Cercedilla;31059.0
Municipios;0395;Cervera de Buitrago;729.0
Municipios;0513;Chapinería;6858.0
Municipios;0528;Chinchón;19575.0
Municipios;0409;Ciempozuelos;113940.0
Municipios;0416;Cobeña;24156.0
Municipios;0468;Collado Mediano;19962.0
Municipios;0474;Collado Villalba;229419.0
Municipios;0455;Colmenar Viejo;189414.0
Municipios;0437;Colmenar de Oreja;18576.0
Municipios;0421;Colmenar del Arroyo;5652.0
Municipios;0442;Colmenarejo;28854.0
Municipios;0480;Corpa;1476.0
Municipios;0493;Coslada;455157.0
Municipios;0506;Cubas de la Sagra;20943.0
Municipios;0534;Daganzo de Arriba;48546.0
Municipios;0549;Escorial (El);46341.0
Municipios;0552;Estremera;15552.0
Municipios;0565;Fresnedillas de la Oliva;3438.0
Municipios;0571;Fresno de Torote;4041.0
Municipios;0587;Fuenlabrada;686331.0
Municipios;0590;Fuente el Saz de Jarama;30105.0
Municipios;0604;Fuentidueña de Tajo;4932.0
Municipios;0611;Galapagar;91908.0
Municipios;0626;Garganta de los Montes;1107.0
