Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;114341
Zonas Estadísticas;01;Municipio de Madrid ;61695
Zonas Estadísticas;02;Norte Metropolitano ;6110
Zonas Estadísticas;03;Este Metropolitano  ;12643
Zonas Estadísticas;04;Sur Metropolitano   ;19292
Zonas Estadísticas;05;Oeste Metropolitano ;6209
Zonas Estadísticas;06;Sierra Norte        ;549
Zonas Estadísticas;07;Nordeste Comunidad  ;818
Zonas Estadísticas;08;Sudeste Comunidad   ;1580
Zonas Estadísticas;09;Sudoeste Comunidad  ;3217
Zonas Estadísticas;10;Sierra Sur          ;518
Zonas Estadísticas;11;Sierra Central      ;1710
Municipios;0014;Acebeda (La);41
Municipios;0029;Ajalvir;133
Municipios;0035;Alameda del Valle;4
Municipios;0040;Alamo (El);142
Municipios;0053;Alcalá de Henares;3187
Municipios;0066;Alcobendas;1840
Municipios;0072;Alcorcón;1904
Municipios;0088;Aldea del Fresno;17
Municipios;0091;Algete;269
Municipios;0105;Alpedrete;100
Municipios;0112;Ambite;1
Municipios;0127;Anchuelo;8
Municipios;0133;Aranjuez;914
Municipios;0148;Arganda del Rey;2405
Municipios;0151;Arroyomolinos;851
Municipios;0164;Atazar (El);9
Municipios;0170;Batres;14
Municipios;0186;Becerril de la Sierra;43
Municipios;0199;Belmonte de Tajo;25
Municipios;0210;Berrueco (El);52
Municipios;0203;Berzosa del Lozoya;6
Municipios;0225;Boadilla del Monte;1146
Municipios;0231;Boalo (El);66
Municipios;0246;Braojos;1
Municipios;0259;Brea de Tajo;7
Municipios;0262;Brunete;116
Municipios;0278;Buitrago del Lozoya;26
Municipios;0284;Bustarviejo;13
Municipios;0297;Cabanillas de la Sierra;14
Municipios;0301;Cabrera (La);15
Municipios;0318;Cadalso de los Vidrios;116
Municipios;0323;Camarma de Esteruelas;112
Municipios;0339;Campo Real;125
Municipios;0344;Canencia;18
Municipios;0357;Carabaña;38
Municipios;0360;Casarrubuelos;211
Municipios;0376;Cenicientos;7
Municipios;0382;Cercedilla;60
Municipios;0395;Cervera de Buitrago;5
Municipios;0513;Chapinería;28
Municipios;0528;Chinchón;62
Municipios;0409;Ciempozuelos;436
Municipios;0416;Cobeña;52
Municipios;0468;Collado Mediano;207
Municipios;0474;Collado Villalba;539
Municipios;0455;Colmenar Viejo;1035
Municipios;0437;Colmenar de Oreja;177
Municipios;0421;Colmenar del Arroyo;10
Municipios;0442;Colmenarejo;194
Municipios;0480;Corpa;1
Municipios;0493;Coslada;1202
Municipios;0506;Cubas de la Sagra;112
Municipios;0534;Daganzo de Arriba;127
Municipios;0549;Escorial (El);81
Municipios;0552;Estremera;19
Municipios;0565;Fresnedillas de la Oliva;35
Municipios;0571;Fresno de Torote;26
Municipios;0587;Fuenlabrada;2418
Municipios;0590;Fuente el Saz de Jarama;114
Municipios;0604;Fuentidueña de Tajo;15
Municipios;0611;Galapagar;386
Municipios;0626;Garganta de los Montes;4
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0
Municipios;0647;Gascones;4
Municipios;0650;Getafe;3218
Municipios;0663;Griñón;405
Municipios;0679;Guadalix de la Sierra;50
Municipios;0685;Guadarrama;117
Municipios;0698;Hiruela (La);3
Municipios;0702;Horcajo de la Sierra-Aoslos;9
Municipios;0719;Horcajuelo de la Sierra;1
