Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;114588
Zonas Estadísticas;01;Municipio de Madrid ;32908
Zonas Estadísticas;02;Norte Metropolitano ;9467
Zonas Estadísticas;03;Este Metropolitano  ;24700
Zonas Estadísticas;04;Sur Metropolitano   ;31636
Zonas Estadísticas;05;Oeste Metropolitano ;2734
Zonas Estadísticas;06;Sierra Norte        ;387
Zonas Estadísticas;07;Nordeste Comunidad  ;4391
Zonas Estadísticas;08;Sudeste Comunidad   ;5602
Zonas Estadísticas;09;Sudoeste Comunidad  ;1836
Zonas Estadísticas;10;Sierra Sur          ;355
Zonas Estadísticas;11;Sierra Central      ;572
Municipios;0014;Acebeda (La);9
Municipios;0029;Ajalvir;333
Municipios;0035;Alameda del Valle;2
Municipios;0040;Alamo (El);67
Municipios;0053;Alcalá de Henares;9448
Municipios;0066;Alcobendas;3719
Municipios;0072;Alcorcón;2420
Municipios;0088;Aldea del Fresno;1
Municipios;0091;Algete;678
Municipios;0105;Alpedrete;50
Municipios;0112;Ambite;1
Municipios;0127;Anchuelo;156
Municipios;0133;Aranjuez;3368
Municipios;0148;Arganda del Rey;2811
Municipios;0151;Arroyomolinos;171
Municipios;0164;Atazar (El);2
Municipios;0170;Batres;7
Municipios;0186;Becerril de la Sierra;12
Municipios;0199;Belmonte de Tajo;28
Municipios;0210;Berrueco (El);1
Municipios;0203;Berzosa del Lozoya;0
Municipios;0225;Boadilla del Monte;244
Municipios;0231;Boalo (El);44
Municipios;0246;Braojos;0
Municipios;0259;Brea de Tajo;1
Municipios;0262;Brunete;39
Municipios;0278;Buitrago del Lozoya;5
Municipios;0284;Bustarviejo;21
Municipios;0297;Cabanillas de la Sierra;0
Municipios;0301;Cabrera (La);1
Municipios;0318;Cadalso de los Vidrios;77
Municipios;0323;Camarma de Esteruelas;1158
Municipios;0339;Campo Real;367
Municipios;0344;Canencia;72
Municipios;0357;Carabaña;11
Municipios;0360;Casarrubuelos;73
Municipios;0376;Cenicientos;10
Municipios;0382;Cercedilla;8
Municipios;0395;Cervera de Buitrago;2
Municipios;0513;Chapinería;11
Municipios;0528;Chinchón;63
Municipios;0409;Ciempozuelos;347
Municipios;0416;Cobeña;203
Municipios;0468;Collado Mediano;7
Municipios;0474;Collado Villalba;403
Municipios;0455;Colmenar Viejo;549
Municipios;0437;Colmenar de Oreja;75
Municipios;0421;Colmenar del Arroyo;48
Municipios;0442;Colmenarejo;25
Municipios;0480;Corpa;0
Municipios;0493;Coslada;839
Municipios;0506;Cubas de la Sagra;167
Municipios;0534;Daganzo de Arriba;1643
Municipios;0549;Escorial (El);10
Municipios;0552;Estremera;13
Municipios;0565;Fresnedillas de la Oliva;5
Municipios;0571;Fresno de Torote;7
Municipios;0587;Fuenlabrada;6320
Municipios;0590;Fuente el Saz de Jarama;142
Municipios;0604;Fuentidueña de Tajo;51
Municipios;0611;Galapagar;61
Municipios;0626;Garganta de los Montes;5
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1
Municipios;0647;Gascones;0
Municipios;0650;Getafe;5875
Municipios;0663;Griñón;518
Municipios;0679;Guadalix de la Sierra;42
Municipios;0685;Guadarrama;72
Municipios;0698;Hiruela (La);3
Municipios;0702;Horcajo de la Sierra-Aoslos;2
Municipios;0719;Horcajuelo de la Sierra;101
Municipios;0724;Hoyo de Manzanares;10
Municipios;0730;Humanes de Madrid;1775
Municipios;0745;Leganés;1862
Municipios;0758;Loeches;1508
Municipios;0761;Lozoya;12
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;4
Municipios;0783;Madarcos;6
Municipios;0796;Madrid;32908
Municipios;0800;Majadahonda;445
Municipios;0822;Manzanares el Real;27
Municipios;0838;Meco;873
Municipios;0843;Mejorada del Campo;681
Municipios;0856;Miraflores de la Sierra;36
Municipios;0869;Molar (El);50
Municipios;0875;Molinos (Los);9
Municipios;0881;Montejo de la Sierra;4
Municipios;0894;Moraleja de Enmedio;321
Municipios;0908;Moralzarzal;38
Municipios;0915;Morata de Tajuña;131
Municipios;0920;Móstoles;2837
Municipios;0936;Navacerrada;7
Municipios;0941;Navalafuente;1
Municipios;0954;Navalagamella;16
Municipios;0967;Navalcarnero;197
Municipios;0973;Navarredonda y San Mamés;1
Municipios;0992;Navas del Rey;5
Municipios;1006;Nuevo Baztán;5
Municipios;1013;Olmeda de las Fuentes;1
Municipios;1028;Orusco de Tajuña;4
Municipios;1049;Paracuellos de Jarama;1360
Municipios;1065;Parla;523
Municipios;1071;Patones;0
Municipios;1087;Pedrezuela;19
Municipios;1090;Pelayos de la Presa;27
Municipios;1104;Perales de Tajuña;14
Municipios;1111;Pezuela de las Torres;0
Municipios;1126;Pinilla del Valle;2
Municipios;1132;Pinto;4705
Municipios;1147;Piñuécar-Gandullas;1
Municipios;1150;Pozuelo de Alarcón;497
Municipios;1163;Pozuelo del Rey;1
Municipios;1179;Prádena del Rincón;0
Municipios;1185;Puebla de la Sierra;0
Municipios;9020;Puentes Viejas;1
Municipios;1198;Quijorna;4
Municipios;1202;Rascafría;19
Municipios;1219;Redueña;1
Municipios;1224;Ribatejada;2
Municipios;1230;Rivas-Vaciamadrid;528
Municipios;1245;Robledillo de la Jara;0
Municipios;1258;Robledo de Chavela;13
Municipios;1261;Robregordo;0
Municipios;1277;Rozas de Madrid (Las);655
Municipios;1283;Rozas de Puerto Real;4
Municipios;1296;San Agustín del Guadalix;869
Municipios;1300;San Fernando de Henares;1504
Municipios;1317;San Lorenzo de El Escorial;40
Municipios;1338;San Martín de Valdeiglesias;45
Municipios;1322;San Martín de la Vega;448
Municipios;1343;San Sebastián de los Reyes;1135
Municipios;1356;Santa María de la Alameda;5
Municipios;1369;Santorcaz;0
Municipios;1375;Santos de la Humosa (Los);1
Municipios;1381;Serna del Monte (La);0
Municipios;1408;Serranillos del Valle;43
Municipios;1415;Sevilla la Nueva;24
Municipios;1436;Somosierra;0
Municipios;1441;Soto del Real;42
Municipios;1454;Talamanca de Jarama;29
Municipios;1467;Tielmes;29
Municipios;1473;Titulcia;2
Municipios;1489;Torrejón de Ardoz;6601
Municipios;1505;Torrejón de Velasco;25
Municipios;1492;Torrejón de la Calzada;164
Municipios;1512;Torrelaguna;26
Municipios;1527;Torrelodones;120
Municipios;1533;Torremocha de Jarama;4
Municipios;1548;Torres de la Alameda;235
Municipios;9036;Tres Cantos;2314
Municipios;1551;Valdaracete;2
Municipios;1564;Valdeavero;19
Municipios;1570;Valdelaguna;1
Municipios;1586;Valdemanco;4
Municipios;1599;Valdemaqueda;0
Municipios;1603;Valdemorillo;45
Municipios;1610;Valdemoro;1156
Municipios;1625;Valdeolmos-Alalpardo;413
Municipios;1631;Valdepiélagos;2
Municipios;1646;Valdetorres de Jarama;53
Municipios;1659;Valdilecha;57
Municipios;1662;Valverde de Alcalá;0
Municipios;1678;Velilla de San Antonio;595
Municipios;1684;Vellón (El);5
Municipios;1697;Venturada;8
Municipios;1718;Villa del Prado;21
Municipios;1701;Villaconejos;18
Municipios;1723;Villalbilla;328
Municipios;1739;Villamanrique de Tajo;1
Municipios;1744;Villamanta;17
Municipios;1757;Villamantilla;13
Municipios;1782;Villanueva de Perales;3
