Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;54.44
Zonas Estadísticas;01;Municipio de Madrid ;53.47
Zonas Estadísticas;02;Norte Metropolitano ;53.91
Zonas Estadísticas;03;Este Metropolitano  ;56.14
Zonas Estadísticas;04;Sur Metropolitano   ;57.68
Zonas Estadísticas;05;Oeste Metropolitano ;50.99
Zonas Estadísticas;06;Sierra Norte        ;52.23
Zonas Estadísticas;07;Nordeste Comunidad  ;55.55
Zonas Estadísticas;08;Sudeste Comunidad   ;55.16
Zonas Estadísticas;09;Sudoeste Comunidad  ;57.41
Zonas Estadísticas;10;Sierra Sur          ;51.98
Zonas Estadísticas;11;Sierra Central      ;51.27
Zonas Estadísticas;99;Sin Zona asignada   ;54.42
Municipios;0014;Acebeda (La);36.59
Municipios;0029;Ajalvir;57.21
Municipios;0035;Alameda del Valle;50.00
Municipios;0040;Alamo (El);54.58
Municipios;0053;Alcalá de Henares;55.65
Municipios;0066;Alcobendas;55.35
Municipios;0072;Alcorcón;58.34
Municipios;0088;Aldea del Fresno;56.18
Municipios;0091;Algete;48.73
Municipios;0105;Alpedrete;50.92
Municipios;0112;Ambite;46.80
Municipios;0127;Anchuelo;57.55
Municipios;0133;Aranjuez;54.83
Municipios;0148;Arganda del Rey;58.74
Municipios;0151;Arroyomolinos;63.36
Municipios;0164;Atazar (El);42.22
Municipios;0170;Batres;47.45
Municipios;0186;Becerril de la Sierra;51.18
Municipios;0199;Belmonte de Tajo;53.16
Municipios;0210;Berrueco (El);49.32
Municipios;0203;Berzosa del Lozoya;46.55
Municipios;0225;Boadilla del Monte;52.12
Municipios;0231;Boalo (El);55.92
Municipios;0246;Braojos;35.92
Municipios;0259;Brea de Tajo;42.19
Municipios;0262;Brunete;54.46
Municipios;0278;Buitrago del Lozoya;50.60
Municipios;0284;Bustarviejo;55.27
Municipios;0297;Cabanillas de la Sierra;49.51
Municipios;0301;Cabrera (La);50.19
Municipios;0318;Cadalso de los Vidrios;52.00
Municipios;0323;Camarma de Esteruelas;57.87
Municipios;0339;Campo Real;58.99
Municipios;0344;Canencia;41.61
Municipios;0357;Carabaña;59.83
Municipios;0360;Casarrubuelos;58.48
Municipios;0376;Cenicientos;50.93
Municipios;0382;Cercedilla;48.57
Municipios;0395;Cervera de Buitrago;35.29
Municipios;0513;Chapinería;51.96
Municipios;0528;Chinchón;49.31
Municipios;0409;Ciempozuelos;55.14
Municipios;0416;Cobeña;52.13
Municipios;0468;Collado Mediano;49.82
Municipios;0474;Collado Villalba;52.34
Municipios;0455;Colmenar Viejo;53.11
Municipios;0437;Colmenar de Oreja;53.18
Municipios;0421;Colmenar del Arroyo;53.54
Municipios;0442;Colmenarejo;50.23
Municipios;0480;Corpa;66.67
Municipios;0493;Coslada;56.49
Municipios;0506;Cubas de la Sagra;57.98
Municipios;0534;Daganzo de Arriba;54.16
Municipios;0549;Escorial (El);49.02
Municipios;0552;Estremera;50.45
Municipios;0565;Fresnedillas de la Oliva;52.32
Municipios;0571;Fresno de Torote;62.19
Municipios;0587;Fuenlabrada;54.06
Municipios;0590;Fuente el Saz de Jarama;53.07
Municipios;0604;Fuentidueña de Tajo;50.52
Municipios;0611;Galapagar;49.29
Municipios;0626;Garganta de los Montes;47.50
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;60.82
Municipios;0647;Gascones;38.10
Municipios;0650;Getafe;58.37
Municipios;0663;Griñón;52.81
Municipios;0679;Guadalix de la Sierra;51.49
Municipios;0685;Guadarrama;51.31
Municipios;0698;Hiruela (La);33.33
Municipios;0702;Horcajo de la Sierra-Aoslos;48.21
Municipios;0719;Horcajuelo de la Sierra;32.00
Municipios;0724;Hoyo de Manzanares;47.05
Municipios;0730;Humanes de Madrid;61.87
Municipios;0745;Leganés;57.81
Municipios;0758;Loeches;58.25
Municipios;0761;Lozoya;53.69
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;55.06
Municipios;0783;Madarcos;46.43
Municipios;0796;Madrid;53.47
Municipios;0800;Majadahonda;53.02
Municipios;0822;Manzanares el Real;55.52
Municipios;0838;Meco;53.04
Municipios;0843;Mejorada del Campo;55.55
Municipios;0856;Miraflores de la Sierra;53.05
Municipios;0869;Molar (El);57.18
Municipios;0875;Molinos (Los);47.92
Municipios;0881;Montejo de la Sierra;31.52
Municipios;0894;Moraleja de Enmedio;51.58
Municipios;0908;Moralzarzal;51.95
Municipios;0915;Morata de Tajuña;56.29
Municipios;0920;Móstoles;58.03
Municipios;0936;Navacerrada;53.17
Municipios;0941;Navalafuente;53.75
Municipios;0954;Navalagamella;53.25
Municipios;0967;Navalcarnero;58.48
Municipios;0973;Navarredonda y San Mamés;23.33
Municipios;0992;Navas del Rey;55.44
Municipios;1006;Nuevo Baztán;46.46
Municipios;1013;Olmeda de las Fuentes;62.14
Municipios;1028;Orusco de Tajuña;55.73
Municipios;1049;Paracuellos de Jarama;63.72
Municipios;1065;Parla;61.30
Municipios;1071;Patones;54.30
Municipios;1087;Pedrezuela;59.89
Municipios;1090;Pelayos de la Presa;52.08
Municipios;1104;Perales de Tajuña;56.01
Municipios;1111;Pezuela de las Torres;57.78
Municipios;1126;Pinilla del Valle;41.18
Municipios;1132;Pinto;58.62
Municipios;1147;Piñuécar-Gandullas;41.89
Municipios;1150;Pozuelo de Alarcón;47.98
Municipios;1163;Pozuelo del Rey;66.37
Municipios;1179;Prádena del Rincón;66.67
Municipios;1185;Puebla de la Sierra;77.27
Municipios;9020;Puentes Viejas;43.35
Municipios;1198;Quijorna;55.82
Municipios;1202;Rascafría;45.33
Municipios;1219;Redueña;61.62
Municipios;1224;Ribatejada;52.92
Municipios;1230;Rivas-Vaciamadrid;51.57
Municipios;1245;Robledillo de la Jara;60.00
Municipios;1258;Robledo de Chavela;50.83
Municipios;1261;Robregordo;69.23
Municipios;1277;Rozas de Madrid (Las);52.96
Municipios;1283;Rozas de Puerto Real;42.34
Municipios;1296;San Agustín del Guadalix;53.16
Municipios;1300;San Fernando de Henares;51.78
Municipios;1317;San Lorenzo de El Escorial;48.64
Municipios;1338;San Martín de Valdeiglesias;51.64
Municipios;1322;San Martín de la Vega;54.39
Municipios;1343;San Sebastián de los Reyes;56.19
Municipios;1356;Santa María de la Alameda;48.02
Municipios;1369;Santorcaz;52.76
Municipios;1375;Santos de la Humosa (Los);63.72
Municipios;1381;Serna del Monte (La);38.24
Municipios;1408;Serranillos del Valle;52.03
Municipios;1415;Sevilla la Nueva;58.00
Municipios;1436;Somosierra;46.43
Municipios;1441;Soto del Real;45.43
Municipios;1454;Talamanca de Jarama;60.40
Municipios;1467;Tielmes;56.39
Municipios;1473;Titulcia;50.00
Municipios;1489;Torrejón de Ardoz;59.07
Municipios;1505;Torrejón de Velasco;54.65
Municipios;1492;Torrejón de la Calzada;55.72
Municipios;1512;Torrelaguna;54.02
Municipios;1527;Torrelodones;46.27
Municipios;1533;Torremocha de Jarama;49.27
Municipios;1548;Torres de la Alameda;55.78
Municipios;9036;Tres Cantos;49.25
Municipios;1551;Valdaracete;56.34
Municipios;1564;Valdeavero;62.65
Municipios;1570;Valdelaguna;57.27
Municipios;1586;Valdemanco;55.93
Municipios;1599;Valdemaqueda;51.56
Municipios;1603;Valdemorillo;51.84
Municipios;1610;Valdemoro;59.29
Municipios;1625;Valdeolmos-Alalpardo;54.51
Municipios;1631;Valdepiélagos;51.18
