Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;16.42
Zonas Estadísticas;01;Municipio de Madrid ;13.97
Zonas Estadísticas;02;Norte Metropolitano ;14.75
Zonas Estadísticas;03;Este Metropolitano  ;14.15
Zonas Estadísticas;04;Sur Metropolitano   ;14.12
Zonas Estadísticas;05;Oeste Metropolitano ;14.18
Zonas Estadísticas;06;Sierra Norte        ;13.49
Zonas Estadísticas;07;Nordeste Comunidad  ;14.07
Zonas Estadísticas;08;Sudeste Comunidad   ;14.92
Zonas Estadísticas;09;Sudoeste Comunidad  ;14.34
Zonas Estadísticas;10;Sierra Sur          ;15.01
Zonas Estadísticas;11;Sierra Central      ;13.55
Zonas Estadísticas;99;Sin Zona asignada   ;31.03
Municipios;0014;Acebeda (La);2.44
Municipios;0029;Ajalvir;11.99
Municipios;0035;Alameda del Valle;8.97
Municipios;0040;Alamo (El);15.52
Municipios;0053;Alcalá de Henares;14.28
Municipios;0066;Alcobendas;14.67
Municipios;0072;Alcorcón;12.46
Municipios;0088;Aldea del Fresno;13.19
Municipios;0091;Algete;16.12
Municipios;0105;Alpedrete;13.69
Municipios;0112;Ambite;8.37
Municipios;0127;Anchuelo;11.38
Municipios;0133;Aranjuez;14.53
Municipios;0148;Arganda del Rey;14.45
Municipios;0151;Arroyomolinos;12.52
Municipios;0164;Atazar (El);2.22
Municipios;0170;Batres;12.36
Municipios;0186;Becerril de la Sierra;13.93
Municipios;0199;Belmonte de Tajo;13.87
Municipios;0210;Berrueco (El);12.79
Municipios;0203;Berzosa del Lozoya;8.62
Municipios;0225;Boadilla del Monte;12.60
Municipios;0231;Boalo (El);10.52
Municipios;0246;Braojos;12.62
Municipios;0259;Brea de Tajo;16.15
Municipios;0262;Brunete;14.02
Municipios;0278;Buitrago del Lozoya;15.75
Municipios;0284;Bustarviejo;10.21
Municipios;0297;Cabanillas de la Sierra;11.00
Municipios;0301;Cabrera (La);14.46
Municipios;0318;Cadalso de los Vidrios;16.58
Municipios;0323;Camarma de Esteruelas;12.61
Municipios;0339;Campo Real;14.14
Municipios;0344;Canencia;8.76
Municipios;0357;Carabaña;14.02
Municipios;0360;Casarrubuelos;14.29
Municipios;0376;Cenicientos;18.01
Municipios;0382;Cercedilla;12.70
Municipios;0395;Cervera de Buitrago;3.92
Municipios;0513;Chapinería;15.93
Municipios;0528;Chinchón;16.67
Municipios;0409;Ciempozuelos;15.42
Municipios;0416;Cobeña;14.24
Municipios;0468;Collado Mediano;12.08
Municipios;0474;Collado Villalba;15.31
Municipios;0455;Colmenar Viejo;15.13
Municipios;0437;Colmenar de Oreja;16.68
Municipios;0421;Colmenar del Arroyo;13.25
Municipios;0442;Colmenarejo;14.81
Municipios;0480;Corpa;8.73
Municipios;0493;Coslada;13.30
Municipios;0506;Cubas de la Sagra;14.34
Municipios;0534;Daganzo de Arriba;13.03
Municipios;0549;Escorial (El);14.02
Municipios;0552;Estremera;17.42
Municipios;0565;Fresnedillas de la Oliva;16.35
Municipios;0571;Fresno de Torote;10.96
Municipios;0587;Fuenlabrada;15.40
Municipios;0590;Fuente el Saz de Jarama;15.86
Municipios;0604;Fuentidueña de Tajo;18.22
Municipios;0611;Galapagar;14.93
Municipios;0626;Garganta de los Montes;18.33
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;3.09
Municipios;0647;Gascones;22.62
Municipios;0650;Getafe;13.86
Municipios;0663;Griñón;15.40
Municipios;0679;Guadalix de la Sierra;15.63
Municipios;0685;Guadarrama;14.09
Municipios;0698;Hiruela (La);16.67
Municipios;0702;Horcajo de la Sierra-Aoslos;16.07
Municipios;0719;Horcajuelo de la Sierra;24.00
Municipios;0724;Hoyo de Manzanares;14.55
Municipios;0730;Humanes de Madrid;13.58
Municipios;0745;Leganés;13.83
Municipios;0758;Loeches;13.60
Municipios;0761;Lozoya;12.32
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;13.58
Municipios;0783;Madarcos;7.14
Municipios;0796;Madrid;13.97
Municipios;0800;Majadahonda;13.47
Municipios;0822;Manzanares el Real;11.25
Municipios;0838;Meco;16.12
Municipios;0843;Mejorada del Campo;15.45
Municipios;0856;Miraflores de la Sierra;13.00
Municipios;0869;Molar (El);13.70
Municipios;0875;Molinos (Los);15.45
Municipios;0881;Montejo de la Sierra;19.57
Municipios;0894;Moraleja de Enmedio;18.07
Municipios;0908;Moralzarzal;12.97
Municipios;0915;Morata de Tajuña;15.93
Municipios;0920;Móstoles;14.00
Municipios;0936;Navacerrada;11.11
Municipios;0941;Navalafuente;13.86
Municipios;0954;Navalagamella;15.84
Municipios;0967;Navalcarnero;14.68
Municipios;0973;Navarredonda y San Mamés;13.33
Municipios;0992;Navas del Rey;15.84
Municipios;1006;Nuevo Baztán;14.59
Municipios;1013;Olmeda de las Fuentes;6.43
Municipios;1028;Orusco de Tajuña;16.03
Municipios;1049;Paracuellos de Jarama;10.18
Municipios;1065;Parla;14.95
Municipios;1071;Patones;6.62
