Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;168264.0
Zonas Estadísticas;01;Municipio de Madrid ;85392.0
Zonas Estadísticas;02;Norte Metropolitano ;5706.0
Zonas Estadísticas;03;Este Metropolitano  ;5220.0
Zonas Estadísticas;04;Sur Metropolitano   ;14976.0
Zonas Estadísticas;05;Oeste Metropolitano ;11052.0
Zonas Estadísticas;06;Sierra Norte        ;4626.0
Zonas Estadísticas;07;Nordeste Comunidad  ;1386.0
Zonas Estadísticas;08;Sudeste Comunidad   ;27756.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;6984.0
Zonas Estadísticas;10;Sierra Sur          ;3294.0
Zonas Estadísticas;11;Sierra Central      ;1872.0
Municipios;0014;Acebeda (La);54.0
Municipios;0029;Ajalvir;18.0
Municipios;0035;Alameda del Valle;0.0
Municipios;0040;Alamo (El);0.0
Municipios;0053;Alcalá de Henares;2088.0
Municipios;0066;Alcobendas;1656.0
Municipios;0072;Alcorcón;2178.0
Municipios;0088;Aldea del Fresno;324.0
Municipios;0091;Algete;378.0
Municipios;0105;Alpedrete;18.0
Municipios;0112;Ambite;0.0
Municipios;0127;Anchuelo;18.0
Municipios;0133;Aranjuez;3906.0
Municipios;0148;Arganda del Rey;1044.0
Municipios;0151;Arroyomolinos;54.0
Municipios;0164;Atazar (El);72.0
Municipios;0170;Batres;0.0
Municipios;0186;Becerril de la Sierra;54.0
Municipios;0199;Belmonte de Tajo;360.0
Municipios;0210;Berrueco (El);0.0
Municipios;0203;Berzosa del Lozoya;0.0
Municipios;0225;Boadilla del Monte;4140.0
Municipios;0231;Boalo (El);36.0
Municipios;0246;Braojos;0.0
Municipios;0259;Brea de Tajo;252.0
Municipios;0262;Brunete;36.0
Municipios;0278;Buitrago del Lozoya;3258.0
Municipios;0284;Bustarviejo;54.0
Municipios;0297;Cabanillas de la Sierra;36.0
Municipios;0301;Cabrera (La);36.0
Municipios;0318;Cadalso de los Vidrios;1404.0
Municipios;0323;Camarma de Esteruelas;18.0
Municipios;0339;Campo Real;432.0
Municipios;0344;Canencia;0.0
Municipios;0357;Carabaña;306.0
Municipios;0360;Casarrubuelos;54.0
Municipios;0376;Cenicientos;288.0
Municipios;0382;Cercedilla;108.0
Municipios;0395;Cervera de Buitrago;0.0
Municipios;0513;Chapinería;0.0
Municipios;0528;Chinchón;2916.0
Municipios;0409;Ciempozuelos;234.0
Municipios;0416;Cobeña;36.0
Municipios;0468;Collado Mediano;72.0
Municipios;0474;Collado Villalba;1962.0
Municipios;0455;Colmenar Viejo;936.0
Municipios;0437;Colmenar de Oreja;2160.0
Municipios;0421;Colmenar del Arroyo;54.0
Municipios;0442;Colmenarejo;72.0
Municipios;0480;Corpa;0.0
Municipios;0493;Coslada;630.0
Municipios;0506;Cubas de la Sagra;144.0
Municipios;0534;Daganzo de Arriba;36.0
Municipios;0549;Escorial (El);162.0
Municipios;0552;Estremera;7398.0
Municipios;0565;Fresnedillas de la Oliva;0.0
Municipios;0571;Fresno de Torote;54.0
Municipios;0587;Fuenlabrada;270.0
Municipios;0590;Fuente el Saz de Jarama;198.0
Municipios;0604;Fuentidueña de Tajo;3258.0
Municipios;0611;Galapagar;252.0
Municipios;0626;Garganta de los Montes;72.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0.0
Municipios;0647;Gascones;0.0
Municipios;0650;Getafe;1206.0
Municipios;0663;Griñón;288.0
Municipios;0679;Guadalix de la Sierra;414.0
Municipios;0685;Guadarrama;18.0
Municipios;0698;Hiruela (La);0.0
Municipios;0702;Horcajo de la Sierra-Aoslos;0.0
Municipios;0719;Horcajuelo de la Sierra;0.0
Municipios;0724;Hoyo de Manzanares;324.0
Municipios;0730;Humanes de Madrid;666.0
Municipios;0745;Leganés;3762.0
Municipios;0758;Loeches;72.0
Municipios;0761;Lozoya;0.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;0.0
Municipios;0783;Madarcos;0.0
Municipios;0796;Madrid;85392.0
Municipios;0800;Majadahonda;1458.0
Municipios;0822;Manzanares el Real;90.0
Municipios;0838;Meco;252.0
Municipios;0843;Mejorada del Campo;0.0
Municipios;0856;Miraflores de la Sierra;180.0
Municipios;0869;Molar (El);72.0
Municipios;0875;Molinos (Los);90.0
Municipios;0881;Montejo de la Sierra;0.0
Municipios;0894;Moraleja de Enmedio;36.0
Municipios;0908;Moralzarzal;144.0
Municipios;0915;Morata de Tajuña;882.0
Municipios;0920;Móstoles;360.0
Municipios;0936;Navacerrada;18.0
Municipios;0941;Navalafuente;270.0
Municipios;0954;Navalagamella;162.0
Municipios;0967;Navalcarnero;1314.0
Municipios;0973;Navarredonda y San Mamés;0.0
Municipios;0992;Navas del Rey;18.0
Municipios;1006;Nuevo Baztán;162.0
Municipios;1013;Olmeda de las Fuentes;72.0
Municipios;1028;Orusco de Tajuña;0.0
Municipios;1049;Paracuellos de Jarama;108.0
Municipios;1065;Parla;342.0
Municipios;1071;Patones;0.0
Municipios;1087;Pedrezuela;0.0
Municipios;1090;Pelayos de la Presa;72.0
Municipios;1104;Perales de Tajuña;54.0
Municipios;1111;Pezuela de las Torres;252.0
Municipios;1126;Pinilla del Valle;0.0
Municipios;1132;Pinto;882.0
Municipios;1147;Piñuécar-Gandullas;0.0
Municipios;1150;Pozuelo de Alarcón;504.0
Municipios;1163;Pozuelo del Rey;0.0
Municipios;1179;Prádena del Rincón;18.0
Municipios;1185;Puebla de la Sierra;0.0
Municipios;9020;Puentes Viejas;0.0
Municipios;1198;Quijorna;108.0
Municipios;1202;Rascafría;18.0
Municipios;1219;Redueña;0.0
Municipios;1224;Ribatejada;0.0
Municipios;1230;Rivas-Vaciamadrid;198.0
Municipios;1245;Robledillo de la Jara;0.0
Municipios;1258;Robledo de Chavela;234.0
Municipios;1261;Robregordo;0.0
Municipios;1277;Rozas de Madrid (Las);1404.0
Municipios;1283;Rozas de Puerto Real;0.0
Municipios;1296;San Agustín del Guadalix;144.0
Municipios;1300;San Fernando de Henares;108.0
Municipios;1317;San Lorenzo de El Escorial;180.0
Municipios;1338;San Martín de Valdeiglesias;828.0
Municipios;1322;San Martín de la Vega;648.0
Municipios;1343;San Sebastián de los Reyes;540.0
Municipios;1356;Santa María de la Alameda;36.0
Municipios;1369;Santorcaz;0.0
Municipios;1375;Santos de la Humosa (Los);36.0
Municipios;1381;Serna del Monte (La);0.0
Municipios;1408;Serranillos del Valle;0.0
Municipios;1415;Sevilla la Nueva;54.0
Municipios;1436;Somosierra;0.0
Municipios;1441;Soto del Real;0.0
Municipios;1454;Talamanca de Jarama;234.0
Municipios;1467;Tielmes;666.0
Municipios;1473;Titulcia;18.0
Municipios;1489;Torrejón de Ardoz;1008.0
Municipios;1505;Torrejón de Velasco;108.0
Municipios;1492;Torrejón de la Calzada;72.0
Municipios;1512;Torrelaguna;72.0
Municipios;1527;Torrelodones;36.0
Municipios;1533;Torremocha de Jarama;72.0
Municipios;1548;Torres de la Alameda;180.0
Municipios;9036;Tres Cantos;2016.0
Municipios;1551;Valdaracete;468.0
Municipios;1564;Valdeavero;126.0
Municipios;1570;Valdelaguna;54.0
Municipios;1586;Valdemanco;0.0
Municipios;1599;Valdemaqueda;198.0
Municipios;1603;Valdemorillo;270.0
Municipios;1610;Valdemoro;522.0
Municipios;1625;Valdeolmos-Alalpardo;306.0
Municipios;1631;Valdepiélagos;0.0
Municipios;1646;Valdetorres de Jarama;90.0
Municipios;1659;Valdilecha;954.0
Municipios;1662;Valverde de Alcalá;0.0
Municipios;1678;Velilla de San Antonio;18.0
Municipios;1684;Vellón (El);162.0
Municipios;1697;Venturada;0.0
Municipios;1718;Villa del Prado;3888.0
Municipios;1701;Villaconejos;3672.0
Municipios;1723;Villalbilla;18.0
Municipios;1739;Villamanrique de Tajo;1332.0
Municipios;1744;Villamanta;396.0
Municipios;1757;Villamantilla;72.0
Municipios;1782;Villanueva de Perales;72.0
Municipios;1760;Villanueva de la Cañada;414.0
Municipios;1776;Villanueva del Pardillo;360.0
Municipios;1795;Villar del Olmo;216.0
Municipios;1809;Villarejo de Salvanés;1548.0
Municipios;1816;Villaviciosa de Odón;522.0
Municipios;1821;Villavieja del Lozoya;18.0
Municipios;1837;Zarzalejo;0.0
