Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;1000584.0
Zonas Estadísticas;01;Municipio de Madrid ;426164.0
Zonas Estadísticas;02;Norte Metropolitano ;66200.0
Zonas Estadísticas;03;Este Metropolitano  ;158404.0
Zonas Estadísticas;04;Sur Metropolitano   ;217920.0
Zonas Estadísticas;05;Oeste Metropolitano ;40060.0
Zonas Estadísticas;06;Sierra Norte        ;4180.0
Zonas Estadísticas;07;Nordeste Comunidad  ;21604.0
Zonas Estadísticas;08;Sudeste Comunidad   ;29584.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;22016.0
Zonas Estadísticas;10;Sierra Sur          ;3964.0
Zonas Estadísticas;11;Sierra Central      ;10488.0
Municipios;0014;Acebeda (La);212.0
Municipios;0029;Ajalvir;1972.0
Municipios;0035;Alameda del Valle;28.0
Municipios;0040;Alamo (El);864.0
Municipios;0053;Alcalá de Henares;52616.0
Municipios;0066;Alcobendas;23668.0
Municipios;0072;Alcorcón;19128.0
Municipios;0088;Aldea del Fresno;92.0
Municipios;0091;Algete;3988.0
Municipios;0105;Alpedrete;732.0
Municipios;0112;Ambite;8.0
Municipios;0127;Anchuelo;664.0
Municipios;0133;Aranjuez;17344.0
Municipios;0148;Arganda del Rey;22132.0
Municipios;0151;Arroyomolinos;4520.0
Municipios;0164;Atazar (El);60.0
Municipios;0170;Batres;100.0
Municipios;0186;Becerril de la Sierra;244.0
Municipios;0199;Belmonte de Tajo;216.0
Municipios;0210;Berrueco (El);316.0
Municipios;0203;Berzosa del Lozoya;28.0
Municipios;0225;Boadilla del Monte;6244.0
Municipios;0231;Boalo (El);524.0
Municipios;0246;Braojos;4.0
Municipios;0259;Brea de Tajo;40.0
Municipios;0262;Brunete;700.0
Municipios;0278;Buitrago del Lozoya;132.0
Municipios;0284;Bustarviejo;160.0
Municipios;0297;Cabanillas de la Sierra;56.0
Municipios;0301;Cabrera (La);92.0
Municipios;0318;Cadalso de los Vidrios;1032.0
Municipios;0323;Camarma de Esteruelas;5304.0
Municipios;0339;Campo Real;2060.0
Municipios;0344;Canencia;368.0
Municipios;0357;Carabaña;212.0
Municipios;0360;Casarrubuelos;1208.0
Municipios;0376;Cenicientos;84.0
Municipios;0382;Cercedilla;352.0
Municipios;0395;Cervera de Buitrago;56.0
Municipios;0513;Chapinería;168.0
Municipios;0528;Chinchón;520.0
Municipios;0409;Ciempozuelos;3380.0
Municipios;0416;Cobeña;1060.0
Municipios;0468;Collado Mediano;952.0
Municipios;0474;Collado Villalba;4304.0
Municipios;0455;Colmenar Viejo;6860.0
Municipios;0437;Colmenar de Oreja;1072.0
Municipios;0421;Colmenar del Arroyo;244.0
Municipios;0442;Colmenarejo;932.0
Municipios;0480;Corpa;8.0
Municipios;0493;Coslada;9300.0
Municipios;0506;Cubas de la Sagra;1224.0
Municipios;0534;Daganzo de Arriba;7232.0
Municipios;0549;Escorial (El);420.0
Municipios;0552;Estremera;152.0
Municipios;0565;Fresnedillas de la Oliva;160.0
Municipios;0571;Fresno de Torote;148.0
Municipios;0587;Fuenlabrada;36848.0
Municipios;0590;Fuente el Saz de Jarama;1108.0
Municipios;0604;Fuentidueña de Tajo;268.0
Municipios;0611;Galapagar;2008.0
Municipios;0626;Garganta de los Montes;36.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4.0
Municipios;0647;Gascones;16.0
Municipios;0650;Getafe;38740.0
Municipios;0663;Griñón;4060.0
Municipios;0679;Guadalix de la Sierra;428.0
Municipios;0685;Guadarrama;872.0
Municipios;0698;Hiruela (La);24.0
Municipios;0702;Horcajo de la Sierra-Aoslos;44.0
Municipios;0719;Horcajuelo de la Sierra;408.0
Municipios;0724;Hoyo de Manzanares;520.0
Municipios;0730;Humanes de Madrid;10632.0
Municipios;0745;Leganés;19416.0
Municipios;0758;Loeches;7216.0
Municipios;0761;Lozoya;168.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;124.0
Municipios;0783;Madarcos;208.0
Municipios;0796;Madrid;426164.0
Municipios;0800;Majadahonda;4716.0
Municipios;0822;Manzanares el Real;272.0
Municipios;0838;Meco;4764.0
Municipios;0843;Mejorada del Campo;4664.0
Municipios;0856;Miraflores de la Sierra;316.0
Municipios;0869;Molar (El);544.0
Municipios;0875;Molinos (Los);236.0
Municipios;0881;Montejo de la Sierra;24.0
