Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;1892303;
Zonas Estadísticas;01;Municipio de Madrid ;1248173;
Zonas Estadísticas;02;Norte Metropolitano ;101857;
Zonas Estadísticas;03;Este Metropolitano  ;125958;
Zonas Estadísticas;04;Sur Metropolitano   ;224990;
Zonas Estadísticas;05;Oeste Metropolitano ;108613;
Zonas Estadísticas;06;Sierra Norte        ;10167;
Zonas Estadísticas;07;Nordeste Comunidad  ;14668;
Zonas Estadísticas;08;Sudeste Comunidad   ;12616;
Zonas Estadísticas;09;Sudoeste Comunidad  ;22221;
Zonas Estadísticas;10;Sierra Sur          ;4014;
Zonas Estadísticas;11;Sierra Central      ;19026;
Municipios;0014;Acebeda (La);1719;
Municipios;0029;Ajalvir;1436;
Municipios;0035;Alameda del Valle;234;
Municipios;0040;Alamo (El);1084;
Municipios;0053;Alcalá de Henares;39300;
Municipios;0066;Alcobendas;41727;
Municipios;0072;Alcorcón;30396;
Municipios;0088;Aldea del Fresno;513;
Municipios;0091;Algete;2994;
Municipios;0105;Alpedrete;1882;
Municipios;0112;Ambite;121;
Municipios;0127;Anchuelo;455;
Municipios;0133;Aranjuez;16434;
Municipios;0148;Arganda del Rey;9247;
Municipios;0151;Arroyomolinos;6132;
Municipios;0164;Atazar (El);169;
Municipios;0170;Batres;270;
Municipios;0186;Becerril de la Sierra;639;
Municipios;0199;Belmonte de Tajo;486;
Municipios;0210;Berrueco (El);333;
Municipios;0203;Berzosa del Lozoya;653;
Municipios;0225;Boadilla del Monte;13213;
Municipios;0231;Boalo (El);838;
Municipios;0246;Braojos;150;
Municipios;0259;Brea de Tajo;253;
Municipios;0262;Brunete;1134;
Municipios;0278;Buitrago del Lozoya;661;
Municipios;0284;Bustarviejo;355;
Municipios;0297;Cabanillas de la Sierra;214;
Municipios;0301;Cabrera (La);357;
Municipios;0318;Cadalso de los Vidrios;273;
Municipios;0323;Camarma de Esteruelas;735;
Municipios;0339;Campo Real;1529;
Municipios;0344;Canencia;372;
Municipios;0357;Carabaña;264;
Municipios;0360;Casarrubuelos;1573;
Municipios;0376;Cenicientos;258;
Municipios;0382;Cercedilla;1330;
Municipios;0395;Cervera de Buitrago;138;
Municipios;0513;Chapinería;360;
Municipios;0528;Chinchón;1134;
Municipios;0409;Ciempozuelos;5858;
Municipios;0416;Cobeña;822;
Municipios;0468;Collado Mediano;665;
Municipios;0474;Collado Villalba;7022;
Municipios;0455;Colmenar Viejo;6264;
Municipios;0437;Colmenar de Oreja;689;
Municipios;0421;Colmenar del Arroyo;560;
Municipios;0442;Colmenarejo;711;
Municipios;0480;Corpa;99;
Municipios;0493;Coslada;20299;
Municipios;0506;Cubas de la Sagra;2733;
Municipios;0534;Daganzo de Arriba;1554;
Municipios;0549;Escorial (El);1698;
Municipios;0552;Estremera;218;
Municipios;0565;Fresnedillas de la Oliva;103;
Municipios;0571;Fresno de Torote;53;
Municipios;0587;Fuenlabrada;23915;
Municipios;0590;Fuente el Saz de Jarama;628;
Municipios;0604;Fuentidueña de Tajo;114;
Municipios;0611;Galapagar;3525;
Municipios;0626;Garganta de los Montes;33;
