Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;339257600.0
Zonas Estadísticas;01;Municipio de Madrid ;202542900.0
Zonas Estadísticas;02;Norte Metropolitano ;20089900.0
Zonas Estadísticas;03;Este Metropolitano  ;29531100.0
Zonas Estadísticas;04;Sur Metropolitano   ;48674600.0
Zonas Estadísticas;05;Oeste Metropolitano ;21675300.0
Zonas Estadísticas;06;Sierra Norte        ;1907000.0
Zonas Estadísticas;07;Nordeste Comunidad  ;2650200.0
Zonas Estadísticas;08;Sudeste Comunidad   ;3055400.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;4991400.0
Zonas Estadísticas;10;Sierra Sur          ;885800.0
Zonas Estadísticas;11;Sierra Central      ;3304000.0
Municipios;0014;Acebeda (La);283800.0
Municipios;0029;Ajalvir;316000.0
Municipios;0035;Alameda del Valle;37500.0
Municipios;0040;Alamo (El);269000.0
Municipios;0053;Alcalá de Henares;9751200.0
Municipios;0066;Alcobendas;7629700.0
Municipios;0072;Alcorcón;7660500.0
Municipios;0088;Aldea del Fresno;93100.0
Municipios;0091;Algete;772200.0
Municipios;0105;Alpedrete;280600.0
Municipios;0112;Ambite;20600.0
Municipios;0127;Anchuelo;50300.0
Municipios;0133;Aranjuez;2954500.0
Municipios;0148;Arganda del Rey;2036100.0
Municipios;0151;Arroyomolinos;1093500.0
Municipios;0164;Atazar (El);39900.0
Municipios;0170;Batres;318500.0
Municipios;0186;Becerril de la Sierra;83200.0
Municipios;0199;Belmonte de Tajo;328400.0
Municipios;0210;Berrueco (El);81500.0
Municipios;0203;Berzosa del Lozoya;64500.0
Municipios;0225;Boadilla del Monte;2298300.0
Municipios;0231;Boalo (El);130300.0
Municipios;0246;Braojos;39100.0
Municipios;0259;Brea de Tajo;45200.0
Municipios;0262;Brunete;252900.0
Municipios;0278;Buitrago del Lozoya;176200.0
Municipios;0284;Bustarviejo;104100.0
Municipios;0297;Cabanillas de la Sierra;26600.0
Municipios;0301;Cabrera (La);77300.0
Municipios;0318;Cadalso de los Vidrios;116200.0
Municipios;0323;Camarma de Esteruelas;341100.0
Municipios;0339;Campo Real;178500.0
Municipios;0344;Canencia;53200.0
Municipios;0357;Carabaña;36000.0
Municipios;0360;Casarrubuelos;381100.0
Municipios;0376;Cenicientos;97700.0
Municipios;0382;Cercedilla;249600.0
Municipios;0395;Cervera de Buitrago;20400.0
Municipios;0513;Chapinería;59400.0
Municipios;0528;Chinchón;353800.0
Municipios;0409;Ciempozuelos;1497400.0
Municipios;0416;Cobeña;145900.0
Municipios;0468;Collado Mediano;128000.0
Municipios;0474;Collado Villalba;1415700.0
Municipios;0455;Colmenar Viejo;1584700.0
Municipios;0437;Colmenar de Oreja;142000.0
Municipios;0421;Colmenar del Arroyo;84000.0
Municipios;0442;Colmenarejo;145500.0
Municipios;0480;Corpa;13200.0
Municipios;0493;Coslada;5611000.0
Municipios;0506;Cubas de la Sagra;158600.0
Municipios;0534;Daganzo de Arriba;416000.0
Municipios;0549;Escorial (El);288400.0
Municipios;0552;Estremera;97300.0
Municipios;0565;Fresnedillas de la Oliva;23600.0
Municipios;0571;Fresno de Torote;20800.0
Municipios;0587;Fuenlabrada;6370100.0
Municipios;0590;Fuente el Saz de Jarama;122400.0
Municipios;0604;Fuentidueña de Tajo;57400.0
Municipios;0611;Galapagar;474400.0
Municipios;0626;Garganta de los Montes;9300.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;11900.0
Municipios;0647;Gascones;12200.0
Municipios;0650;Getafe;11827800.0
Municipios;0663;Griñón;384700.0
Municipios;0679;Guadalix de la Sierra;176000.0
Municipios;0685;Guadarrama;422700.0
Municipios;0698;Hiruela (La);9800.0
Municipios;0702;Horcajo de la Sierra-Aoslos;14900.0
Municipios;0719;Horcajuelo de la Sierra;19600.0
Municipios;0724;Hoyo de Manzanares;112600.0
Municipios;0730;Humanes de Madrid;848700.0
Municipios;0745;Leganés;5529100.0
Municipios;0758;Loeches;356000.0
Municipios;0761;Lozoya;137800.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;52300.0
Municipios;0783;Madarcos;104400.0
Municipios;0796;Madrid;202542900.0
Municipios;0800;Majadahonda;2442000.0
Municipios;0822;Manzanares el Real;113900.0
Municipios;0838;Meco;1436900.0
Municipios;0843;Mejorada del Campo;550800.0
Municipios;0856;Miraflores de la Sierra;122300.0
Municipios;0869;Molar (El);101000.0
Municipios;0875;Molinos (Los);60000.0
Municipios;0881;Montejo de la Sierra;24600.0
Municipios;0894;Moraleja de Enmedio;728200.0
Municipios;0908;Moralzarzal;225000.0
Municipios;0915;Morata de Tajuña;114300.0
Municipios;0920;Móstoles;3109400.0
Municipios;0936;Navacerrada;64900.0
Municipios;0941;Navalafuente;21500.0
Municipios;0954;Navalagamella;29300.0
Municipios;0967;Navalcarnero;670200.0
Municipios;0973;Navarredonda y San Mamés;16500.0
Municipios;0992;Navas del Rey;59900.0
Municipios;1006;Nuevo Baztán;105000.0
Municipios;1013;Olmeda de las Fuentes;14500.0
Municipios;1028;Orusco de Tajuña;21400.0
Municipios;1049;Paracuellos de Jarama;670200.0
Municipios;1065;Parla;1747700.0
Municipios;1071;Patones;35200.0
Municipios;1087;Pedrezuela;114400.0
Municipios;1090;Pelayos de la Presa;64000.0
Municipios;1104;Perales de Tajuña;41500.0
Municipios;1111;Pezuela de las Torres;18500.0
Municipios;1126;Pinilla del Valle;9000.0
Municipios;1132;Pinto;3010800.0
Municipios;1147;Piñuécar-Gandullas;7200.0
Municipios;1150;Pozuelo de Alarcón;6600200.0
Municipios;1163;Pozuelo del Rey;17700.0
Municipios;1179;Prádena del Rincón;9500.0
Municipios;1185;Puebla de la Sierra;9300.0
Municipios;9020;Puentes Viejas;15800.0
Municipios;1198;Quijorna;73500.0
Municipios;1202;Rascafría;53500.0
Municipios;1219;Redueña;13500.0
Municipios;1224;Ribatejada;23700.0
Municipios;1230;Rivas-Vaciamadrid;2628300.0
Municipios;1245;Robledillo de la Jara;8400.0
Municipios;1258;Robledo de Chavela;64100.0
Municipios;1261;Robregordo;7900.0
Municipios;1277;Rozas de Madrid (Las);5917700.0
Municipios;1283;Rozas de Puerto Real;24200.0
Municipios;1296;San Agustín del Guadalix;391500.0
Municipios;1300;San Fernando de Henares;3570400.0
Municipios;1317;San Lorenzo de El Escorial;467400.0
Municipios;1338;San Martín de Valdeiglesias;249600.0
Municipios;1322;San Martín de la Vega;508000.0
Municipios;1343;San Sebastián de los Reyes;5740900.0
Municipios;1356;Santa María de la Alameda;21300.0
Municipios;1369;Santorcaz;10600.0
Municipios;1375;Santos de la Humosa (Los);28100.0
Municipios;1381;Serna del Monte (La);8100.0
Municipios;1408;Serranillos del Valle;96600.0
Municipios;1415;Sevilla la Nueva;169100.0
Municipios;1436;Somosierra;7800.0
Municipios;1441;Soto del Real;156000.0
Municipios;1454;Talamanca de Jarama;53400.0
Municipios;1467;Tielmes;44900.0
Municipios;1473;Titulcia;31300.0
Municipios;1489;Torrejón de Ardoz;4131100.0
Municipios;1505;Torrejón de Velasco;71700.0
Municipios;1492;Torrejón de la Calzada;269600.0
Municipios;1512;Torrelaguna;76500.0
Municipios;1527;Torrelodones;792000.0
Municipios;1533;Torremocha de Jarama;31900.0
Municipios;1548;Torres de la Alameda;220900.0
Municipios;9036;Tres Cantos;3855000.0
Municipios;1551;Valdaracete;13400.0
