Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;17.72
Zonas Estadísticas;01;Municipio de Madrid ;19.30
Zonas Estadísticas;02;Norte Metropolitano ;18.95
Zonas Estadísticas;03;Este Metropolitano  ;13.44
Zonas Estadísticas;04;Sur Metropolitano   ;13.05
Zonas Estadísticas;05;Oeste Metropolitano ;21.83
Zonas Estadísticas;06;Sierra Norte        ;19.18
Zonas Estadísticas;07;Nordeste Comunidad  ;10.78
Zonas Estadísticas;08;Sudeste Comunidad   ;11.41
Zonas Estadísticas;09;Sudoeste Comunidad  ;14.38
Zonas Estadísticas;10;Sierra Sur          ;13.38
Zonas Estadísticas;11;Sierra Central      ;18.73
Municipios;0014;Acebeda (La);16.95
Municipios;0029;Ajalvir;21.09
Municipios;0035;Alameda del Valle;17.47
Municipios;0040;Alamo (El);16.11
Municipios;0053;Alcalá de Henares;10.02
Municipios;0066;Alcobendas;24.63
Municipios;0072;Alcorcón;11.83
Municipios;0088;Aldea del Fresno;15.40
Municipios;0091;Algete;17.74
Municipios;0105;Alpedrete;19.86
Municipios;0112;Ambite;20.25
Municipios;0127;Anchuelo;15.16
Municipios;0133;Aranjuez;6.64
Municipios;0148;Arganda del Rey;15.44
Municipios;0151;Arroyomolinos;15.99
Municipios;0164;Atazar (El);54.89
Municipios;0170;Batres;2.15
Municipios;0186;Becerril de la Sierra;25.06
Municipios;0199;Belmonte de Tajo;4.05
Municipios;0210;Berrueco (El);13.27
Municipios;0203;Berzosa del Lozoya;30.56
Municipios;0225;Boadilla del Monte;26.54
Municipios;0231;Boalo (El);22.66
Municipios;0246;Braojos;38.01
Municipios;0259;Brea de Tajo;9.39
Municipios;0262;Brunete;19.13
Municipios;0278;Buitrago del Lozoya;7.27
Municipios;0284;Bustarviejo;39.26
Municipios;0297;Cabanillas de la Sierra;10.34
Municipios;0301;Cabrera (La);22.99
Municipios;0318;Cadalso de los Vidrios;15.75
Municipios;0323;Camarma de Esteruelas;8.70
Municipios;0339;Campo Real;16.01
Municipios;0344;Canencia;8.01
Municipios;0357;Carabaña;20.00
Municipios;0360;Casarrubuelos;5.76
Municipios;0376;Cenicientos;7.47
Municipios;0382;Cercedilla;11.57
Municipios;0395;Cervera de Buitrago;11.90
Municipios;0513;Chapinería;16.72
Municipios;0528;Chinchón;7.41
Municipios;0409;Ciempozuelos;10.10
Municipios;0416;Cobeña;21.24
Municipios;0468;Collado Mediano;27.45
Municipios;0474;Collado Villalba;19.26
Municipios;0455;Colmenar Viejo;14.53
Municipios;0437;Colmenar de Oreja;11.72
