Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;389500.0
Zonas Estadísticas;01;Municipio de Madrid ;125250.0
Zonas Estadísticas;02;Norte Metropolitano ;29200.0
Zonas Estadísticas;03;Este Metropolitano  ;15800.0
Zonas Estadísticas;04;Sur Metropolitano   ;39450.0
Zonas Estadísticas;05;Oeste Metropolitano ;46050.0
Zonas Estadísticas;06;Sierra Norte        ;17650.0
Zonas Estadísticas;07;Nordeste Comunidad  ;10950.0
Zonas Estadísticas;08;Sudeste Comunidad   ;47750.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;28100.0
Zonas Estadísticas;10;Sierra Sur          ;13400.0
Zonas Estadísticas;11;Sierra Central      ;15900.0
Municipios;0014;Acebeda (La);0.0
Municipios;0029;Ajalvir;550.0
Municipios;0035;Alameda del Valle;250.0
Municipios;0040;Alamo (El);750.0
Municipios;0053;Alcalá de Henares;3900.0
Municipios;0066;Alcobendas;3900.0
Municipios;0072;Alcorcón;1850.0
Municipios;0088;Aldea del Fresno;1750.0
Municipios;0091;Algete;2650.0
Municipios;0105;Alpedrete;550.0
Municipios;0112;Ambite;450.0
Municipios;0127;Anchuelo;400.0
Municipios;0133;Aranjuez;7800.0
Municipios;0148;Arganda del Rey;3400.0
Municipios;0151;Arroyomolinos;550.0
Municipios;0164;Atazar (El);0.0
Municipios;0170;Batres;100.0
Municipios;0186;Becerril de la Sierra;500.0
Municipios;0199;Belmonte de Tajo;450.0
Municipios;0210;Berrueco (El);0.0
Municipios;0203;Berzosa del Lozoya;1300.0
Municipios;0225;Boadilla del Monte;10850.0
Municipios;0231;Boalo (El);1550.0
Municipios;0246;Braojos;300.0
Municipios;0259;Brea de Tajo;1250.0
Municipios;0262;Brunete;1400.0
Municipios;0278;Buitrago del Lozoya;550.0
Municipios;0284;Bustarviejo;850.0
Municipios;0297;Cabanillas de la Sierra;300.0
Municipios;0301;Cabrera (La);100.0
Municipios;0318;Cadalso de los Vidrios;1300.0
Municipios;0323;Camarma de Esteruelas;500.0
Municipios;0339;Campo Real;900.0
Municipios;0344;Canencia;400.0
Municipios;0357;Carabaña;1050.0
Municipios;0360;Casarrubuelos;100.0
Municipios;0376;Cenicientos;1600.0
Municipios;0382;Cercedilla;500.0
Municipios;0395;Cervera de Buitrago;0.0
Municipios;0513;Chapinería;200.0
Municipios;0528;Chinchón;9150.0
Municipios;0409;Ciempozuelos;2450.0
Municipios;0416;Cobeña;1100.0
Municipios;0468;Collado Mediano;150.0
Municipios;0474;Collado Villalba;4100.0
Municipios;0455;Colmenar Viejo;8200.0
Municipios;0437;Colmenar de Oreja;3900.0
Municipios;0421;Colmenar del Arroyo;900.0
Municipios;0442;Colmenarejo;350.0
Municipios;0480;Corpa;100.0
Municipios;0493;Coslada;1200.0
Municipios;0506;Cubas de la Sagra;500.0
Municipios;0534;Daganzo de Arriba;1100.0
Municipios;0549;Escorial (El);1700.0
Municipios;0552;Estremera;2500.0
Municipios;0565;Fresnedillas de la Oliva;400.0
Municipios;0571;Fresno de Torote;350.0
Municipios;0587;Fuenlabrada;4850.0
