Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;28705350.0
Zonas Estadísticas;01;Municipio de Madrid ;10327850.0
Zonas Estadísticas;02;Norte Metropolitano ;2674500.0
Zonas Estadísticas;03;Este Metropolitano  ;4851650.0
Zonas Estadísticas;04;Sur Metropolitano   ;7141200.0
Zonas Estadísticas;05;Oeste Metropolitano ;1101100.0
Zonas Estadísticas;06;Sierra Norte        ;100600.0
Zonas Estadísticas;07;Nordeste Comunidad  ;550950.0
Zonas Estadísticas;08;Sudeste Comunidad   ;722400.0
Zonas Estadísticas;09;Sudoeste Comunidad  ;764500.0
Zonas Estadísticas;10;Sierra Sur          ;116950.0
Zonas Estadísticas;11;Sierra Central      ;353650.0
Municipios;0014;Acebeda (La);1050.0
Municipios;0029;Ajalvir;219450.0
Municipios;0035;Alameda del Valle;150.0
Municipios;0040;Alamo (El);20500.0
Municipios;0053;Alcalá de Henares;1222550.0
Municipios;0066;Alcobendas;898200.0
Municipios;0072;Alcorcón;607850.0
Municipios;0088;Aldea del Fresno;3600.0
Municipios;0091;Algete;230400.0
Municipios;0105;Alpedrete;27300.0
Municipios;0112;Ambite;550.0
Municipios;0127;Anchuelo;1950.0
Municipios;0133;Aranjuez;310300.0
Municipios;0148;Arganda del Rey;965600.0
Municipios;0151;Arroyomolinos;101200.0
Municipios;0164;Atazar (El);250.0
Municipios;0170;Batres;2600.0
Municipios;0186;Becerril de la Sierra;10400.0
Municipios;0199;Belmonte de Tajo;6100.0
Municipios;0210;Berrueco (El);2050.0
Municipios;0203;Berzosa del Lozoya;450.0
Municipios;0225;Boadilla del Monte;102250.0
Municipios;0231;Boalo (El);19350.0
Municipios;0246;Braojos;500.0
Municipios;0259;Brea de Tajo;800.0
Municipios;0262;Brunete;18750.0
Municipios;0278;Buitrago del Lozoya;3000.0
Municipios;0284;Bustarviejo;3650.0
Municipios;0297;Cabanillas de la Sierra;1400.0
Municipios;0301;Cabrera (La);5600.0
Municipios;0318;Cadalso de los Vidrios;11300.0
Municipios;0323;Camarma de Esteruelas;75400.0
Municipios;0339;Campo Real;65650.0
Municipios;0344;Canencia;1700.0
Municipios;0357;Carabaña;4700.0
Municipios;0360;Casarrubuelos;27900.0
Municipios;0376;Cenicientos;3500.0
Municipios;0382;Cercedilla;10500.0
Municipios;0395;Cervera de Buitrago;100.0
Municipios;0513;Chapinería;8350.0
Municipios;0528;Chinchón;20550.0
Municipios;0409;Ciempozuelos;115150.0
Municipios;0416;Cobeña;24150.0
Municipios;0468;Collado Mediano;17250.0
Municipios;0474;Collado Villalba;126450.0
Municipios;0455;Colmenar Viejo;234200.0
Municipios;0437;Colmenar de Oreja;31000.0
Municipios;0421;Colmenar del Arroyo;12700.0
Municipios;0442;Colmenarejo;25900.0
Municipios;0480;Corpa;550.0
Municipios;0493;Coslada;418600.0
Municipios;0506;Cubas de la Sagra;43350.0
Municipios;0534;Daganzo de Arriba;156150.0
Municipios;0549;Escorial (El);16850.0
Municipios;0552;Estremera;3400.0
Municipios;0565;Fresnedillas de la Oliva;2600.0
Municipios;0571;Fresno de Torote;4550.0
Municipios;0587;Fuenlabrada;1134450.0
Municipios;0590;Fuente el Saz de Jarama;50700.0
Municipios;0604;Fuentidueña de Tajo;4000.0
Municipios;0611;Galapagar;50500.0
Municipios;0626;Garganta de los Montes;2600.0
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;450.0
Municipios;0647;Gascones;400.0
Municipios;0650;Getafe;1818700.0
Municipios;0663;Griñón;178700.0
Municipios;0679;Guadalix de la Sierra;11650.0
Municipios;0685;Guadarrama;34600.0
Municipios;0698;Hiruela (La);100.0
Municipios;0702;Horcajo de la Sierra-Aoslos;500.0
Municipios;0719;Horcajuelo de la Sierra;550.0
Municipios;0724;Hoyo de Manzanares;7350.0
Municipios;0730;Humanes de Madrid;541050.0
Municipios;0745;Leganés;784950.0
Municipios;0758;Loeches;206000.0
Municipios;0761;Lozoya;1400.0
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;4100.0
Municipios;0783;Madarcos;200.0
Municipios;0796;Madrid;10327850.0
Municipios;0800;Majadahonda;118450.0
Municipios;0822;Manzanares el Real;11600.0
Municipios;0838;Meco;185450.0
Municipios;0843;Mejorada del Campo;205650.0
Municipios;0856;Miraflores de la Sierra;12200.0
Municipios;0869;Molar (El);13900.0
Municipios;0875;Molinos (Los);37450.0
Municipios;0881;Montejo de la Sierra;600.0
Municipios;0894;Moraleja de Enmedio;97450.0
Municipios;0908;Moralzarzal;19950.0
Municipios;0915;Morata de Tajuña;39150.0
Municipios;0920;Móstoles;711200.0
Municipios;0936;Navacerrada;4600.0
Municipios;0941;Navalafuente;1850.0
Municipios;0954;Navalagamella;2250.0
Municipios;0967;Navalcarnero;110000.0
Municipios;0973;Navarredonda y San Mamés;300.0
Municipios;0992;Navas del Rey;10400.0
Municipios;1006;Nuevo Baztán;16350.0
Municipios;1013;Olmeda de las Fuentes;1150.0
Municipios;1028;Orusco de Tajuña;2500.0
Municipios;1049;Paracuellos de Jarama;161300.0
Municipios;1065;Parla;244250.0
Municipios;1071;Patones;700.0
Municipios;1087;Pedrezuela;9450.0
Municipios;1090;Pelayos de la Presa;6700.0
Municipios;1104;Perales de Tajuña;9100.0
Municipios;1111;Pezuela de las Torres;1100.0
Municipios;1126;Pinilla del Valle;150.0
Municipios;1132;Pinto;423150.0
Municipios;1147;Piñuécar-Gandullas;350.0
Municipios;1150;Pozuelo de Alarcón;198200.0
Municipios;1163;Pozuelo del Rey;2050.0
Municipios;1179;Prádena del Rincón;1000.0
Municipios;1185;Puebla de la Sierra;100.0
Municipios;9020;Puentes Viejas;1650.0
Municipios;1198;Quijorna;3500.0
Municipios;1202;Rascafría;6300.0
Municipios;1219;Redueña;3000.0
Municipios;1224;Ribatejada;1000.0
Municipios;1230;Rivas-Vaciamadrid;319350.0
Municipios;1245;Robledillo de la Jara;100.0
Municipios;1258;Robledo de Chavela;8700.0
Municipios;1261;Robregordo;100.0
Municipios;1277;Rozas de Madrid (Las);326700.0
Municipios;1283;Rozas de Puerto Real;550.0
Municipios;1296;San Agustín del Guadalix;110750.0
Municipios;1300;San Fernando de Henares;320000.0
Municipios;1317;San Lorenzo de El Escorial;19500.0
Municipios;1338;San Martín de Valdeiglesias;22250.0
Municipios;1322;San Martín de la Vega;126500.0
Municipios;1343;San Sebastián de los Reyes;377950.0
Municipios;1356;Santa María de la Alameda;5100.0
Municipios;1369;Santorcaz;1200.0
Municipios;1375;Santos de la Humosa (Los);3500.0
Municipios;1381;Serna del Monte (La);100.0
Municipios;1408;Serranillos del Valle;23550.0
Municipios;1415;Sevilla la Nueva;20600.0
Municipios;1436;Somosierra;100.0
Municipios;1441;Soto del Real;16000.0
Municipios;1454;Talamanca de Jarama;21300.0
Municipios;1467;Tielmes;10650.0
Municipios;1473;Titulcia;3650.0
Municipios;1489;Torrejón de Ardoz;928850.0
Municipios;1505;Torrejón de Velasco;25350.0
Municipios;1492;Torrejón de la Calzada;76250.0
Municipios;1512;Torrelaguna;6400.0
Municipios;1527;Torrelodones;22800.0
Municipios;1533;Torremocha de Jarama;16800.0
Municipios;1548;Torres de la Alameda;84300.0
Municipios;9036;Tres Cantos;798850.0
Municipios;1551;Valdaracete;1400.0
Municipios;1564;Valdeavero;9050.0
Municipios;1570;Valdelaguna;2650.0
Municipios;1586;Valdemanco;3000.0
Municipios;1599;Valdemaqueda;3000.0
Municipios;1603;Valdemorillo;34750.0
Municipios;1610;Valdemoro;323650.0
Municipios;1625;Valdeolmos-Alalpardo;21500.0
Municipios;1631;Valdepiélagos;2500.0
Municipios;1646;Valdetorres de Jarama;9450.0
Municipios;1659;Valdilecha;11850.0
Municipios;1662;Valverde de Alcalá;350.0
Municipios;1678;Velilla de San Antonio;90300.0
Municipios;1684;Vellón (El);3000.0
Municipios;1697;Venturada;3100.0
Municipios;1718;Villa del Prado;12650.0
Municipios;1701;Villaconejos;9700.0
Municipios;1723;Villalbilla;60800.0
Municipios;1739;Villamanrique de Tajo;1000.0
Municipios;1744;Villamanta;8950.0
Municipios;1757;Villamantilla;4050.0
Municipios;1782;Villanueva de Perales;4300.0
Municipios;1760;Villanueva de la Cañada;36650.0
Municipios;1776;Villanueva del Pardillo;35450.0
Municipios;1795;Villar del Olmo;6300.0
Municipios;1809;Villarejo de Salvanés;108400.0
Municipios;1816;Villaviciosa de Odón;93000.0
Municipios;1821;Villavieja del Lozoya;600.0
Municipios;1837;Zarzalejo;19550.0
