Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;40914912
Zonas Estadísticas;01;Municipio de Madrid ;24852346
Zonas Estadísticas;02;Norte Metropolitano ;2688318
Zonas Estadísticas;03;Este Metropolitano  ;3231154
Zonas Estadísticas;04;Sur Metropolitano   ;5352744
Zonas Estadísticas;05;Oeste Metropolitano ;2889176
Zonas Estadísticas;06;Sierra Norte        ;137984
Zonas Estadísticas;07;Nordeste Comunidad  ;265290
Zonas Estadísticas;08;Sudeste Comunidad   ;338070
Zonas Estadísticas;09;Sudoeste Comunidad  ;532184
Zonas Estadísticas;10;Sierra Sur          ;106772
Zonas Estadísticas;11;Sierra Central      ;520874
Municipios;0014;Acebeda (La);798
Municipios;0029;Ajalvir;66714
Municipios;0035;Alameda del Valle;1056
Municipios;0040;Alamo (El);22748
Municipios;0053;Alcalá de Henares;968530
Municipios;0066;Alcobendas;1248504
Municipios;0072;Alcorcón;731296
Municipios;0088;Aldea del Fresno;7308
Municipios;0091;Algete;110394
Municipios;0105;Alpedrete;37020
Municipios;0112;Ambite;1238
Municipios;0127;Anchuelo;2628
Municipios;0133;Aranjuez;251084
Municipios;0148;Arganda del Rey;386122
Municipios;0151;Arroyomolinos;125714
Municipios;0164;Atazar (El);302
Municipios;0170;Batres;3100
Municipios;0186;Becerril de la Sierra;13864
Municipios;0199;Belmonte de Tajo;3602
Municipios;0210;Berrueco (El);3260
Municipios;0203;Berzosa del Lozoya;1146
Municipios;0225;Boadilla del Monte;270128
Municipios;0231;Boalo (El);18900
Municipios;0246;Braojos;3676
Municipios;0259;Brea de Tajo;2284
Municipios;0262;Brunete;30528
Municipios;0278;Buitrago del Lozoya;10506
Municipios;0284;Bustarviejo;5716
Municipios;0297;Cabanillas de la Sierra;1918
Municipios;0301;Cabrera (La);9244
Municipios;0318;Cadalso de los Vidrios;8374
Municipios;0323;Camarma de Esteruelas;29324
Municipios;0339;Campo Real;23216
Municipios;0344;Canencia;1360
Municipios;0357;Carabaña;4168
Municipios;0360;Casarrubuelos;11292
Municipios;0376;Cenicientos;4474
Municipios;0382;Cercedilla;25698
Municipios;0395;Cervera de Buitrago;416
Municipios;0513;Chapinería;5690
Municipios;0528;Chinchón;18450
Municipios;0409;Ciempozuelos;138338
Municipios;0416;Cobeña;21714
Municipios;0468;Collado Mediano;18012
Municipios;0474;Collado Villalba;211548
Municipios;0455;Colmenar Viejo;218548
Municipios;0437;Colmenar de Oreja;17474
Municipios;0421;Colmenar del Arroyo;12356
Municipios;0442;Colmenarejo;40580
Municipios;0480;Corpa;1076
Municipios;0493;Coslada;424940
Municipios;0506;Cubas de la Sagra;17964
Municipios;0534;Daganzo de Arriba;57222
Municipios;0549;Escorial (El);46534
Municipios;0552;Estremera;13406
Municipios;0565;Fresnedillas de la Oliva;3178
Municipios;0571;Fresno de Torote;3418
Municipios;0587;Fuenlabrada;718440
Municipios;0590;Fuente el Saz de Jarama;26070
Municipios;0604;Fuentidueña de Tajo;4604
Municipios;0611;Galapagar;75560
Municipios;0626;Garganta de los Montes;1204
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1458
Municipios;0647;Gascones;860
Municipios;0650;Getafe;1035968
Municipios;0663;Griñón;76336
Municipios;0679;Guadalix de la Sierra;14354
Municipios;0685;Guadarrama;48368
Municipios;0698;Hiruela (La);572
Municipios;0702;Horcajo de la Sierra-Aoslos;766
Municipios;0719;Horcajuelo de la Sierra;680
Municipios;0724;Hoyo de Manzanares;21312
Municipios;0730;Humanes de Madrid;158778
Municipios;0745;Leganés;778602
Municipios;0758;Loeches;55558
Municipios;0761;Lozoya;2182
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5920
Municipios;0783;Madarcos;352
Municipios;0796;Madrid;24852346
Municipios;0800;Majadahonda;384872
Municipios;0822;Manzanares el Real;16960
Municipios;0838;Meco;91588
Municipios;0843;Mejorada del Campo;84672
Municipios;0856;Miraflores de la Sierra;13354
Municipios;0869;Molar (El);17186
Municipios;0875;Molinos (Los);13640
Municipios;0881;Montejo de la Sierra;2184
Municipios;0894;Moraleja de Enmedio;31586
Municipios;0908;Moralzarzal;34248
Municipios;0915;Morata de Tajuña;18420
Municipios;0920;Móstoles;604570
Municipios;0936;Navacerrada;8936
Municipios;0941;Navalafuente;2314
Municipios;0954;Navalagamella;4374
Municipios;0967;Navalcarnero;107272
Municipios;0973;Navarredonda y San Mamés;450
Municipios;0992;Navas del Rey;7846
Municipios;1006;Nuevo Baztán;13440
Municipios;1013;Olmeda de las Fuentes;1484
Municipios;1028;Orusco de Tajuña;3302
Municipios;1049;Paracuellos de Jarama;88900
Municipios;1065;Parla;254248
Municipios;1071;Patones;1868
Municipios;1087;Pedrezuela;12186
Municipios;1090;Pelayos de la Presa;6890
Municipios;1104;Perales de Tajuña;6596
Municipios;1111;Pezuela de las Torres;1966
Municipios;1126;Pinilla del Valle;432
Municipios;1132;Pinto;270198
Municipios;1147;Piñuécar-Gandullas;526
Municipios;1150;Pozuelo de Alarcón;921484
Municipios;1163;Pozuelo del Rey;2162
Municipios;1179;Prádena del Rincón;632
Municipios;1185;Puebla de la Sierra;200
Municipios;9020;Puentes Viejas;2094
Municipios;1198;Quijorna;6142
Municipios;1202;Rascafría;6912
Municipios;1219;Redueña;2796
Municipios;1224;Ribatejada;2096
Municipios;1230;Rivas-Vaciamadrid;336936
Municipios;1245;Robledillo de la Jara;308
Municipios;1258;Robledo de Chavela;10908
Municipios;1261;Robregordo;308
