Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;123025;
Zonas Estadísticas;01;Municipio de Madrid ;86085;
Zonas Estadísticas;02;Norte Metropolitano ;9407;
Zonas Estadísticas;03;Este Metropolitano  ;4702;
Zonas Estadísticas;04;Sur Metropolitano   ;8070;
Zonas Estadísticas;05;Oeste Metropolitano ;10923;
Zonas Estadísticas;06;Sierra Norte        ;263;
Zonas Estadísticas;07;Nordeste Comunidad  ;358;
Zonas Estadísticas;08;Sudeste Comunidad   ;516;
Zonas Estadísticas;09;Sudoeste Comunidad  ;1484;
Zonas Estadísticas;10;Sierra Sur          ;369;
Zonas Estadísticas;11;Sierra Central      ;848;
Municipios;0014;Acebeda (La);0;
Municipios;0029;Ajalvir;36;
Municipios;0035;Alameda del Valle;1;
Municipios;0040;Alamo (El);60;
Municipios;0053;Alcalá de Henares;1894;
Municipios;0066;Alcobendas;5164;
Municipios;0072;Alcorcón;1087;
Municipios;0088;Aldea del Fresno;31;
Municipios;0091;Algete;136;
Municipios;0105;Alpedrete;61;
Municipios;0112;Ambite;1;
Municipios;0127;Anchuelo;22;
Municipios;0133;Aranjuez;274;
Municipios;0148;Arganda del Rey;256;
Municipios;0151;Arroyomolinos;946;
Municipios;0164;Atazar (El);0;
Municipios;0170;Batres;4;
Municipios;0186;Becerril de la Sierra;36;
Municipios;0199;Belmonte de Tajo;18;
Municipios;0210;Berrueco (El);0;
Municipios;0203;Berzosa del Lozoya;0;
Municipios;0225;Boadilla del Monte;984;
Municipios;0231;Boalo (El);15;
Municipios;0246;Braojos;0;
Municipios;0259;Brea de Tajo;1;
Municipios;0262;Brunete;77;
Municipios;0278;Buitrago del Lozoya;55;
Municipios;0284;Bustarviejo;14;
Municipios;0297;Cabanillas de la Sierra;1;
Municipios;0301;Cabrera (La);21;
Municipios;0318;Cadalso de los Vidrios;41;
Municipios;0323;Camarma de Esteruelas;36;
Municipios;0339;Campo Real;45;
Municipios;0344;Canencia;0;
Municipios;0357;Carabaña;0;
Municipios;0360;Casarrubuelos;8;
Municipios;0376;Cenicientos;36;
Municipios;0382;Cercedilla;52;
Municipios;0395;Cervera de Buitrago;0;
Municipios;0513;Chapinería;15;
Municipios;0528;Chinchón;46;
Municipios;0409;Ciempozuelos;81;
Municipios;0416;Cobeña;52;
Municipios;0468;Collado Mediano;55;
Municipios;0474;Collado Villalba;344;
Municipios;0455;Colmenar Viejo;262;
Municipios;0437;Colmenar de Oreja;31;
Municipios;0421;Colmenar del Arroyo;1;
Municipios;0442;Colmenarejo;36;
Municipios;0480;Corpa;1;
Municipios;0493;Coslada;870;
Municipios;0506;Cubas de la Sagra;27;
Municipios;0534;Daganzo de Arriba;77;
Municipios;0549;Escorial (El);79;
Municipios;0552;Estremera;16;
Municipios;0565;Fresnedillas de la Oliva;2;
Municipios;0571;Fresno de Torote;1;
Municipios;0587;Fuenlabrada;1128;
Municipios;0590;Fuente el Saz de Jarama;73;
Municipios;0604;Fuentidueña de Tajo;36;
Municipios;0611;Galapagar;98;
Municipios;0626;Garganta de los Montes;0;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0;
Municipios;0647;Gascones;0;
Municipios;0650;Getafe;1763;
Municipios;0663;Griñón;95;
Municipios;0679;Guadalix de la Sierra;25;
Municipios;0685;Guadarrama;68;
Municipios;0698;Hiruela (La);0;
Municipios;0702;Horcajo de la Sierra-Aoslos;0;
Municipios;0719;Horcajuelo de la Sierra;0;
Municipios;0724;Hoyo de Manzanares;52;
Municipios;0730;Humanes de Madrid;73;
Municipios;0745;Leganés;1171;
Municipios;0758;Loeches;40;
Municipios;0761;Lozoya;31;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;15;
Municipios;0783;Madarcos;0;
Municipios;0796;Madrid;86085;
Municipios;0800;Majadahonda;4431;
Municipios;0822;Manzanares el Real;46;
Municipios;0838;Meco;62;
Municipios;0843;Mejorada del Campo;91;
Municipios;0856;Miraflores de la Sierra;27;
Municipios;0869;Molar (El);37;
Municipios;0875;Molinos (Los);17;
Municipios;0881;Montejo de la Sierra;0;
Municipios;0894;Moraleja de Enmedio;15;
Municipios;0908;Moralzarzal;57;
Municipios;0915;Morata de Tajuña;35;
Municipios;0920;Móstoles;1344;
Municipios;0936;Navacerrada;14;
Municipios;0941;Navalafuente;2;
Municipios;0954;Navalagamella;14;
Municipios;0967;Navalcarnero;109;
Municipios;0973;Navarredonda y San Mamés;0;
Municipios;0992;Navas del Rey;11;
Municipios;1006;Nuevo Baztán;14;
Municipios;1013;Olmeda de las Fuentes;2;
Municipios;1028;Orusco de Tajuña;1;
Municipios;1049;Paracuellos de Jarama;125;
Municipios;1065;Parla;439;
Municipios;1071;Patones;0;
Municipios;1087;Pedrezuela;14;
Municipios;1090;Pelayos de la Presa;14;
Municipios;1104;Perales de Tajuña;29;
Municipios;1111;Pezuela de las Torres;2;
Municipios;1126;Pinilla del Valle;0;
Municipios;1132;Pinto;285;
Municipios;1147;Piñuécar-Gandullas;0;
Municipios;1150;Pozuelo de Alarcón;2512;
Municipios;1163;Pozuelo del Rey;0;
Municipios;1179;Prádena del Rincón;0;
Municipios;1185;Puebla de la Sierra;0;
Municipios;9020;Puentes Viejas;1;
