Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;183817;
Zonas Estadísticas;01;Municipio de Madrid ;49484;
Zonas Estadísticas;02;Norte Metropolitano ;21046;
Zonas Estadísticas;03;Este Metropolitano  ;38857;
Zonas Estadísticas;04;Sur Metropolitano   ;52426;
Zonas Estadísticas;05;Oeste Metropolitano ;5498;
Zonas Estadísticas;06;Sierra Norte        ;263;
Zonas Estadísticas;07;Nordeste Comunidad  ;4119;
Zonas Estadísticas;08;Sudeste Comunidad   ;5771;
Zonas Estadísticas;09;Sudoeste Comunidad  ;4585;
Zonas Estadísticas;10;Sierra Sur          ;504;
Zonas Estadísticas;11;Sierra Central      ;1264;
Municipios;0014;Acebeda (La);0;
Municipios;0029;Ajalvir;1941;
Municipios;0035;Alameda del Valle;0;
Municipios;0040;Alamo (El);90;
Municipios;0053;Alcalá de Henares;9856;
Municipios;0066;Alcobendas;5791;
Municipios;0072;Alcorcón;3440;
Municipios;0088;Aldea del Fresno;2;
Municipios;0091;Algete;2025;
Municipios;0105;Alpedrete;117;
Municipios;0112;Ambite;2;
Municipios;0127;Anchuelo;21;
Municipios;0133;Aranjuez;2687;
Municipios;0148;Arganda del Rey;7423;
Municipios;0151;Arroyomolinos;303;
Municipios;0164;Atazar (El);0;
Municipios;0170;Batres;11;
Municipios;0186;Becerril de la Sierra;18;
Municipios;0199;Belmonte de Tajo;41;
Municipios;0210;Berrueco (El);3;
Municipios;0203;Berzosa del Lozoya;0;
Municipios;0225;Boadilla del Monte;382;
Municipios;0231;Boalo (El);99;
Municipios;0246;Braojos;0;
Municipios;0259;Brea de Tajo;5;
Municipios;0262;Brunete;85;
Municipios;0278;Buitrago del Lozoya;2;
Municipios;0284;Bustarviejo;17;
Municipios;0297;Cabanillas de la Sierra;2;
Municipios;0301;Cabrera (La);11;
Municipios;0318;Cadalso de los Vidrios;25;
Municipios;0323;Camarma de Esteruelas;734;
Municipios;0339;Campo Real;588;
Municipios;0344;Canencia;3;
Municipios;0357;Carabaña;36;
Municipios;0360;Casarrubuelos;198;
Municipios;0376;Cenicientos;10;
Municipios;0382;Cercedilla;128;
Municipios;0395;Cervera de Buitrago;0;
Municipios;0513;Chapinería;48;
Municipios;0528;Chinchón;223;
Municipios;0409;Ciempozuelos;899;
Municipios;0416;Cobeña;158;
Municipios;0468;Collado Mediano;46;
Municipios;0474;Collado Villalba;625;
Municipios;0455;Colmenar Viejo;1694;
Municipios;0437;Colmenar de Oreja;107;
Municipios;0421;Colmenar del Arroyo;121;
Municipios;0442;Colmenarejo;12;
Municipios;0480;Corpa;2;
Municipios;0493;Coslada;2270;
Municipios;0506;Cubas de la Sagra;245;
Municipios;0534;Daganzo de Arriba;1315;
Municipios;0549;Escorial (El);53;
Municipios;0552;Estremera;12;
Municipios;0565;Fresnedillas de la Oliva;10;
Municipios;0571;Fresno de Torote;21;
Municipios;0587;Fuenlabrada;8549;
Municipios;0590;Fuente el Saz de Jarama;393;
Municipios;0604;Fuentidueña de Tajo;33;
Municipios;0611;Galapagar;106;
Municipios;0626;Garganta de los Montes;16;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;1;
