Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;323387;
Zonas Estadísticas;01;Municipio de Madrid ;204976;
Zonas Estadísticas;02;Norte Metropolitano ;19392;
Zonas Estadísticas;03;Este Metropolitano  ;20385;
Zonas Estadísticas;04;Sur Metropolitano   ;29916;
Zonas Estadísticas;05;Oeste Metropolitano ;33861;
Zonas Estadísticas;06;Sierra Norte        ;996;
Zonas Estadísticas;07;Nordeste Comunidad  ;1638;
Zonas Estadísticas;08;Sudeste Comunidad   ;1779;
Zonas Estadísticas;09;Sudoeste Comunidad  ;3502;
Zonas Estadísticas;10;Sierra Sur          ;791;
Zonas Estadísticas;11;Sierra Central      ;6151;
Municipios;0014;Acebeda (La);1;
Municipios;0029;Ajalvir;1094;
Municipios;0035;Alameda del Valle;5;
Municipios;0040;Alamo (El);204;
Municipios;0053;Alcalá de Henares;6072;
Municipios;0066;Alcobendas;8687;
Municipios;0072;Alcorcón;4829;
Municipios;0088;Aldea del Fresno;68;
Municipios;0091;Algete;821;
Municipios;0105;Alpedrete;560;
Municipios;0112;Ambite;4;
Municipios;0127;Anchuelo;11;
Municipios;0133;Aranjuez;1170;
Municipios;0148;Arganda del Rey;1550;
Municipios;0151;Arroyomolinos;917;
Municipios;0164;Atazar (El);0;
Municipios;0170;Batres;29;
Municipios;0186;Becerril de la Sierra;202;
Municipios;0199;Belmonte de Tajo;35;
Municipios;0210;Berrueco (El);17;
Municipios;0203;Berzosa del Lozoya;47;
Municipios;0225;Boadilla del Monte;4226;
Municipios;0231;Boalo (El);232;
Municipios;0246;Braojos;3;
Municipios;0259;Brea de Tajo;2;
Municipios;0262;Brunete;384;
Municipios;0278;Buitrago del Lozoya;68;
Municipios;0284;Bustarviejo;91;
Municipios;0297;Cabanillas de la Sierra;27;
Municipios;0301;Cabrera (La);54;
Municipios;0318;Cadalso de los Vidrios;84;
Municipios;0323;Camarma de Esteruelas;192;
Municipios;0339;Campo Real;97;
Municipios;0344;Canencia;22;
