Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;951900
Zonas Estadísticas;01;Municipio de Madrid ;666353
Zonas Estadísticas;02;Norte Metropolitano ;70747
Zonas Estadísticas;03;Este Metropolitano  ;44570
Zonas Estadísticas;04;Sur Metropolitano   ;63938
Zonas Estadísticas;05;Oeste Metropolitano ;86443
Zonas Estadísticas;06;Sierra Norte        ;1361
Zonas Estadísticas;07;Nordeste Comunidad  ;2460
Zonas Estadísticas;08;Sudeste Comunidad   ;2154
Zonas Estadísticas;09;Sudoeste Comunidad  ;6149
Zonas Estadísticas;10;Sierra Sur          ;1399
Zonas Estadísticas;11;Sierra Central      ;6326
Municipios;0014;Acebeda (La);11
Municipios;0029;Ajalvir;996
Municipios;0035;Alameda del Valle;17
Municipios;0040;Alamo (El);236
Municipios;0053;Alcalá de Henares;12557
Municipios;0066;Alcobendas;36730
Municipios;0072;Alcorcón;12755
Municipios;0088;Aldea del Fresno;43
Municipios;0091;Algete;1444
Municipios;0105;Alpedrete;500
Municipios;0112;Ambite;8
Municipios;0127;Anchuelo;15
Municipios;0133;Aranjuez;2355
Municipios;0148;Arganda del Rey;4526
Municipios;0151;Arroyomolinos;1383
Municipios;0164;Atazar (El);1
Municipios;0170;Batres;27
Municipios;0186;Becerril de la Sierra;170
Municipios;0199;Belmonte de Tajo;12
Municipios;0210;Berrueco (El);9
Municipios;0203;Berzosa del Lozoya;9
Municipios;0225;Boadilla del Monte;6276
Municipios;0231;Boalo (El);187
Municipios;0246;Braojos;240
Municipios;0259;Brea de Tajo;2
Municipios;0262;Brunete;507
Municipios;0278;Buitrago del Lozoya;41
Municipios;0284;Bustarviejo;65
Municipios;0297;Cabanillas de la Sierra;14
Municipios;0301;Cabrera (La);55
Municipios;0318;Cadalso de los Vidrios;20
Municipios;0323;Camarma de Esteruelas;268
Municipios;0339;Campo Real;169
Municipios;0344;Canencia;3
Municipios;0357;Carabaña;8
Municipios;0360;Casarrubuelos;63
Municipios;0376;Cenicientos;25
Municipios;0382;Cercedilla;181
