Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;3646529;
Zonas Estadísticas;01;Municipio de Madrid ;2220038;
Zonas Estadísticas;02;Norte Metropolitano ;237210;
Zonas Estadísticas;03;Este Metropolitano  ;285030;
Zonas Estadísticas;04;Sur Metropolitano   ;471069;
Zonas Estadísticas;05;Oeste Metropolitano ;256846;
Zonas Estadísticas;06;Sierra Norte        ;15026;
Zonas Estadísticas;07;Nordeste Comunidad  ;23456;
Zonas Estadísticas;08;Sudeste Comunidad   ;31471;
Zonas Estadísticas;09;Sudoeste Comunidad  ;50164;
Zonas Estadísticas;10;Sierra Sur          ;10453;
Zonas Estadísticas;11;Sierra Central      ;45766;
Municipios;0014;Acebeda (La);75;
Municipios;0029;Ajalvir;5938;
Municipios;0035;Alameda del Valle;141;
Municipios;0040;Alamo (El);2360;
Municipios;0053;Alcalá de Henares;84334;
Municipios;0066;Alcobendas;111011;
Municipios;0072;Alcorcón;67446;
Municipios;0088;Aldea del Fresno;700;
Municipios;0091;Algete;9584;
Municipios;0105;Alpedrete;3394;
Municipios;0112;Ambite;175;
Municipios;0127;Anchuelo;332;
Municipios;0133;Aranjuez;20453;
Municipios;0148;Arganda del Rey;30375;
Municipios;0151;Arroyomolinos;12222;
Municipios;0164;Atazar (El);99;
Municipios;0170;Batres;378;
Municipios;0186;Becerril de la Sierra;1229;
Municipios;0199;Belmonte de Tajo;372;
Municipios;0210;Berrueco (El);217;
Municipios;0203;Berzosa del Lozoya;148;
Municipios;0225;Boadilla del Monte;25961;
Municipios;0231;Boalo (El);1909;
Municipios;0246;Braojos;291;
Municipios;0259;Brea de Tajo;240;
Municipios;0262;Brunete;2816;
Municipios;0278;Buitrago del Lozoya;1311;
Municipios;0284;Bustarviejo;605;
Municipios;0297;Cabanillas de la Sierra;252;
Municipios;0301;Cabrera (La);833;
Municipios;0318;Cadalso de los Vidrios;796;
Municipios;0323;Camarma de Esteruelas;2607;
Municipios;0339;Campo Real;2143;
Municipios;0344;Canencia;156;
Municipios;0357;Carabaña;433;
Municipios;0360;Casarrubuelos;1127;
Municipios;0376;Cenicientos;386;
Municipios;0382;Cercedilla;2381;
Municipios;0395;Cervera de Buitrago;86;
Municipios;0513;Chapinería;612;
Municipios;0528;Chinchón;1747;
Municipios;0409;Ciempozuelos;8878;
Municipios;0416;Cobeña;1864;
Municipios;0468;Collado Mediano;1789;
Municipios;0474;Collado Villalba;18403;
Municipios;0455;Colmenar Viejo;18846;
Municipios;0437;Colmenar de Oreja;1635;
Municipios;0421;Colmenar del Arroyo;1017;
Municipios;0442;Colmenarejo;2866;
Municipios;0480;Corpa;101;
Municipios;0493;Coslada;39876;
Municipios;0506;Cubas de la Sagra;1537;
Municipios;0534;Daganzo de Arriba;4645;
Municipios;0549;Escorial (El);3915;
Municipios;0552;Estremera;1326;
Municipios;0565;Fresnedillas de la Oliva;335;
Municipios;0571;Fresno de Torote;355;
Municipios;0587;Fuenlabrada;60258;
Municipios;0590;Fuente el Saz de Jarama;2322;
Municipios;0604;Fuentidueña de Tajo;496;
Municipios;0611;Galapagar;6819;
Municipios;0626;Garganta de los Montes;178;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;194;
Municipios;0647;Gascones;116;
Municipios;0650;Getafe;90643;
Municipios;0663;Griñón;6679;
Municipios;0679;Guadalix de la Sierra;1419;
Municipios;0685;Guadarrama;4564;
Municipios;0698;Hiruela (La);85;
Municipios;0702;Horcajo de la Sierra-Aoslos;147;
Municipios;0719;Horcajuelo de la Sierra;89;
Municipios;0724;Hoyo de Manzanares;2102;
Municipios;0730;Humanes de Madrid;13525;
Municipios;0745;Leganés;69270;
Municipios;0758;Loeches;4776;
Municipios;0761;Lozoya;265;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;652;
Municipios;0783;Madarcos;70;
Municipios;0796;Madrid;2220038;
Municipios;0800;Majadahonda;34209;
Municipios;0822;Manzanares el Real;1486;
Municipios;0838;Meco;8030;
Municipios;0843;Mejorada del Campo;7192;
Municipios;0856;Miraflores de la Sierra;1255;
Municipios;0869;Molar (El);1620;
Municipios;0875;Molinos (Los);985;
Municipios;0881;Montejo de la Sierra;176;
Municipios;0894;Moraleja de Enmedio;2451;
Municipios;0908;Moralzarzal;3253;
Municipios;0915;Morata de Tajuña;1636;
Municipios;0920;Móstoles;51669;
Municipios;0936;Navacerrada;812;
Municipios;0941;Navalafuente;227;
Municipios;0954;Navalagamella;394;
Municipios;0967;Navalcarnero;11157;
Municipios;0973;Navarredonda y San Mamés;124;
Municipios;0992;Navas del Rey;762;
Municipios;1006;Nuevo Baztán;1244;
Municipios;1013;Olmeda de las Fuentes;201;
Municipios;1028;Orusco de Tajuña;302;
