Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;46.29
Zonas Estadísticas;01;Municipio de Madrid ;48.22
Zonas Estadísticas;02;Norte Metropolitano ;43.23
Zonas Estadísticas;03;Este Metropolitano  ;43.88
Zonas Estadísticas;04;Sur Metropolitano   ;45.02
Zonas Estadísticas;05;Oeste Metropolitano ;44.97
Zonas Estadísticas;06;Sierra Norte        ;48.36
Zonas Estadísticas;07;Nordeste Comunidad  ;41.07
Zonas Estadísticas;08;Sudeste Comunidad   ;43.80
Zonas Estadísticas;09;Sudoeste Comunidad  ;38.91
Zonas Estadísticas;10;Sierra Sur          ;49.16
Zonas Estadísticas;11;Sierra Central      ;46.97
Municipios;0014;Acebeda (La);82.35
Municipios;0029;Ajalvir;41.18
Municipios;0035;Alameda del Valle;66.18
Municipios;0040;Alamo (El);45.71
Municipios;0053;Alcalá de Henares;47.65
Municipios;0066;Alcobendas;44.26
Municipios;0072;Alcorcón;50.08
Municipios;0088;Aldea del Fresno;46.92
Municipios;0091;Algete;44.37
Municipios;0105;Alpedrete;46.67
Municipios;0112;Ambite;55.67
Municipios;0127;Anchuelo;41.06
Municipios;0133;Aranjuez;44.90
Municipios;0148;Arganda del Rey;40.05
Municipios;0151;Arroyomolinos;29.90
Municipios;0164;Atazar (El);66.67
Municipios;0170;Batres;50.46
Municipios;0186;Becerril de la Sierra;48.15
Municipios;0199;Belmonte de Tajo;45.40
Municipios;0210;Berrueco (El);51.22
Municipios;0203;Berzosa del Lozoya;63.96
Municipios;0225;Boadilla del Monte;42.68
Municipios;0231;Boalo (El);44.71
Municipios;0246;Braojos;51.46
Municipios;0259;Brea de Tajo;55.53
Municipios;0262;Brunete;42.48
Municipios;0278;Buitrago del Lozoya;45.43
Municipios;0284;Bustarviejo;49.01
Municipios;0297;Cabanillas de la Sierra;49.55
Municipios;0301;Cabrera (La);47.15
Municipios;0318;Cadalso de los Vidrios;49.33
Municipios;0323;Camarma de Esteruelas;40.38
Municipios;0339;Campo Real;40.14
Municipios;0344;Canencia;65.77
Municipios;0357;Carabaña;45.12
Municipios;0360;Casarrubuelos;39.17
Municipios;0376;Cenicientos;53.78
Municipios;0382;Cercedilla;49.38
Municipios;0395;Cervera de Buitrago;67.28
Municipios;0513;Chapinería;46.48
Municipios;0528;Chinchón;48.92
Municipios;0409;Ciempozuelos;42.90
Municipios;0416;Cobeña;39.45
Municipios;0468;Collado Mediano;48.05
Municipios;0474;Collado Villalba;44.49
Municipios;0455;Colmenar Viejo;42.13
Municipios;0437;Colmenar de Oreja;48.65
Municipios;0421;Colmenar del Arroyo;49.02
Municipios;0442;Colmenarejo;43.95
Municipios;0480;Corpa;39.97
Municipios;0493;Coslada;49.49
Municipios;0506;Cubas de la Sagra;37.91
Municipios;0534;Daganzo de Arriba;41.12
Municipios;0549;Escorial (El);50.31
Municipios;0552;Estremera;52.47
Municipios;0565;Fresnedillas de la Oliva;41.37
Municipios;0571;Fresno de Torote;44.28
Municipios;0587;Fuenlabrada;44.87
Municipios;0590;Fuente el Saz de Jarama;44.72
Municipios;0604;Fuentidueña de Tajo;49.39
Municipios;0611;Galapagar;44.64
Municipios;0626;Garganta de los Montes;56.50
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;62.78
Municipios;0647;Gascones;51.70
Municipios;0650;Getafe;45.98
Municipios;0663;Griñón;44.49
Municipios;0679;Guadalix de la Sierra;46.27
Municipios;0685;Guadarrama;47.62
Municipios;0698;Hiruela (La);72.31
Municipios;0702;Horcajo de la Sierra-Aoslos;51.32
Municipios;0719;Horcajuelo de la Sierra;61.80
Municipios;0724;Hoyo de Manzanares;46.86
Municipios;0730;Humanes de Madrid;34.31
Municipios;0745;Leganés;49.10
Municipios;0758;Loeches;37.35
Municipios;0761;Lozoya;61.21
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;50.37
Municipios;0783;Madarcos;73.47
Municipios;0796;Madrid;48.22
Municipios;0800;Majadahonda;45.36
Municipios;0822;Manzanares el Real;45.00
Municipios;0838;Meco;38.94
Municipios;0843;Mejorada del Campo;41.83
Municipios;0856;Miraflores de la Sierra;46.93
Municipios;0869;Molar (El);39.60
Municipios;0875;Molinos (Los);52.13
Municipios;0881;Montejo de la Sierra;64.56
Municipios;0894;Moraleja de Enmedio;43.17
Municipios;0908;Moralzarzal;46.50
Municipios;0915;Morata de Tajuña;45.85
Municipios;0920;Móstoles;47.06
Municipios;0936;Navacerrada;52.31
Municipios;0941;Navalafuente;43.02
Municipios;0954;Navalagamella;43.65
Municipios;0967;Navalcarnero;37.55
Municipios;0973;Navarredonda y San Mamés;73.64
Municipios;0992;Navas del Rey;47.24
Municipios;1006;Nuevo Baztán;47.72
Municipios;1013;Olmeda de las Fuentes;47.69
Municipios;1028;Orusco de Tajuña;49.96
Municipios;1049;Paracuellos de Jarama;34.73
Municipios;1065;Parla;36.65
Municipios;1071;Patones;59.00
Municipios;1087;Pedrezuela;38.81
Municipios;1090;Pelayos de la Presa;48.43
Municipios;1104;Perales de Tajuña;46.76
Municipios;1111;Pezuela de las Torres;47.64
Municipios;1126;Pinilla del Valle;61.05
Municipios;1132;Pinto;40.39
Municipios;1147;Piñuécar-Gandullas;54.75
Municipios;1150;Pozuelo de Alarcón;47.55
Municipios;1163;Pozuelo del Rey;34.98
Municipios;1179;Prádena del Rincón;50.40
Municipios;1185;Puebla de la Sierra;68.49
Municipios;9020;Puentes Viejas;53.51
Municipios;1198;Quijorna;41.97
Municipios;1202;Rascafría;57.91
Municipios;1219;Redueña;48.89
Municipios;1224;Ribatejada;48.69
Municipios;1230;Rivas-Vaciamadrid;38.35
Municipios;1245;Robledillo de la Jara;67.37
Municipios;1258;Robledo de Chavela;52.66
Municipios;1261;Robregordo;56.92
Municipios;1277;Rozas de Madrid (Las);43.95
Municipios;1283;Rozas de Puerto Real;59.46
Municipios;1296;San Agustín del Guadalix;41.52
Municipios;1300;San Fernando de Henares;46.95
Municipios;1317;San Lorenzo de El Escorial;49.20
Municipios;1338;San Martín de Valdeiglesias;49.01
Municipios;1322;San Martín de la Vega;38.71
Municipios;1343;San Sebastián de los Reyes;42.40
Municipios;1356;Santa María de la Alameda;55.49
Municipios;1369;Santorcaz;50.17
Municipios;1375;Santos de la Humosa (Los);35.67
Municipios;1381;Serna del Monte (La);55.17
Municipios;1408;Serranillos del Valle;42.95
Municipios;1415;Sevilla la Nueva;41.48
Municipios;1436;Somosierra;63.22
Municipios;1441;Soto del Real;49.54
Municipios;1454;Talamanca de Jarama;39.56
Municipios;1467;Tielmes;44.44
Municipios;1473;Titulcia;47.13
Municipios;1489;Torrejón de Ardoz;41.89
Municipios;1505;Torrejón de Velasco;43.87
Municipios;1492;Torrejón de la Calzada;37.83
Municipios;1512;Torrelaguna;46.35
Municipios;1527;Torrelodones;45.90
Municipios;1533;Torremocha de Jarama;55.35
Municipios;1548;Torres de la Alameda;43.13
Municipios;9036;Tres Cantos;43.99
Municipios;1551;Valdaracete;52.56
Municipios;1564;Valdeavero;40.35
Municipios;1570;Valdelaguna;47.50
Municipios;1586;Valdemanco;49.33
Municipios;1599;Valdemaqueda;52.26
Municipios;1603;Valdemorillo;47.28
