Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;3.04;
Zonas Estadísticas;01;Municipio de Madrid ;4.03;
Zonas Estadísticas;02;Norte Metropolitano ;1.95;
Zonas Estadísticas;03;Este Metropolitano  ;1.85;
Zonas Estadísticas;04;Sur Metropolitano   ;2.09;
Zonas Estadísticas;05;Oeste Metropolitano ;2.16;
Zonas Estadísticas;06;Sierra Norte        ;3.38;
Zonas Estadísticas;07;Nordeste Comunidad  ;1.66;
Zonas Estadísticas;08;Sudeste Comunidad   ;2.63;
Zonas Estadísticas;09;Sudoeste Comunidad  ;2.13;
Zonas Estadísticas;10;Sierra Sur          ;3.56;
Zonas Estadísticas;11;Sierra Central      ;2.45;
Municipios;0014;Acebeda (La);8.96;
Municipios;0029;Ajalvir;1.66;
Municipios;0035;Alameda del Valle;4.00;
Municipios;0040;Alamo (El);4.57;
Municipios;0053;Alcalá de Henares;2.53;
Municipios;0066;Alcobendas;2.03;
Municipios;0072;Alcorcón;2.90;
Municipios;0088;Aldea del Fresno;3.99;
Municipios;0091;Algete;1.91;
Municipios;0105;Alpedrete;2.21;
Municipios;0112;Ambite;5.36;
Municipios;0127;Anchuelo;1.96;
Municipios;0133;Aranjuez;2.70;
Municipios;0148;Arganda del Rey;1.57;
Municipios;0151;Arroyomolinos;0.58;
Municipios;0164;Atazar (El);6.73;
Municipios;0170;Batres;1.75;
Municipios;0186;Becerril de la Sierra;2.55;
Municipios;0199;Belmonte de Tajo;2.93;
Municipios;0210;Berrueco (El);4.38;
Municipios;0203;Berzosa del Lozoya;5.94;
Municipios;0225;Boadilla del Monte;1.62;
Municipios;0231;Boalo (El);1.59;
Municipios;0246;Braojos;3.77;
Municipios;0259;Brea de Tajo;5.28;
Municipios;0262;Brunete;2.07;
Municipios;0278;Buitrago del Lozoya;4.76;
Municipios;0284;Bustarviejo;3.27;
Municipios;0297;Cabanillas de la Sierra;2.13;
Municipios;0301;Cabrera (La);3.11;
Municipios;0318;Cadalso de los Vidrios;3.26;
Municipios;0323;Camarma de Esteruelas;1.34;
Municipios;0339;Campo Real;2.79;
Municipios;0344;Canencia;8.62;
Municipios;0357;Carabaña;3.76;
Municipios;0360;Casarrubuelos;1.12;
Municipios;0376;Cenicientos;6.27;
Municipios;0382;Cercedilla;3.50;
Municipios;0395;Cervera de Buitrago;6.71;
Municipios;0513;Chapinería;3.93;
Municipios;0528;Chinchón;3.28;
Municipios;0409;Ciempozuelos;2.90;
Municipios;0416;Cobeña;1.74;
Municipios;0468;Collado Mediano;2.00;
Municipios;0474;Collado Villalba;2.27;
Municipios;0455;Colmenar Viejo;2.37;
Municipios;0437;Colmenar de Oreja;3.58;
Municipios;0421;Colmenar del Arroyo;3.79;
Municipios;0442;Colmenarejo;1.63;
Municipios;0480;Corpa;3.64;
Municipios;0493;Coslada;1.90;
Municipios;0506;Cubas de la Sagra;2.48;
Municipios;0534;Daganzo de Arriba;1.24;
Municipios;0549;Escorial (El);2.99;
Municipios;0552;Estremera;6.56;
Municipios;0565;Fresnedillas de la Oliva;1.83;
Municipios;0571;Fresno de Torote;1.59;
Municipios;0587;Fuenlabrada;1.37;
Municipios;0590;Fuente el Saz de Jarama;2.18;
Municipios;0604;Fuentidueña de Tajo;3.32;
Municipios;0611;Galapagar;2.04;
Municipios;0626;Garganta de los Montes;1.67;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;4.64;
Municipios;0647;Gascones;0.88;
Municipios;0650;Getafe;2.35;
Municipios;0663;Griñón;2.89;
Municipios;0679;Guadalix de la Sierra;2.25;
Municipios;0685;Guadarrama;3.17;
Municipios;0698;Hiruela (La);2.70;
Municipios;0702;Horcajo de la Sierra-Aoslos;1.28;
Municipios;0719;Horcajuelo de la Sierra;3.70;
Municipios;0724;Hoyo de Manzanares;2.37;
Municipios;0730;Humanes de Madrid;1.11;
Municipios;0745;Leganés;2.77;
Municipios;0758;Loeches;1.23;
Municipios;0761;Lozoya;4.19;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;4.48;
Municipios;0783;Madarcos;5.56;
Municipios;0796;Madrid;4.03;
Municipios;0800;Majadahonda;2.21;
Municipios;0822;Manzanares el Real;1.91;
Municipios;0838;Meco;1.07;
Municipios;0843;Mejorada del Campo;1.45;
Municipios;0856;Miraflores de la Sierra;1.96;
Municipios;0869;Molar (El);1.79;
Municipios;0875;Molinos (Los);3.35;
Municipios;0881;Montejo de la Sierra;8.18;
Municipios;0894;Moraleja de Enmedio;1.98;
Municipios;0908;Moralzarzal;2.17;
Municipios;0915;Morata de Tajuña;3.57;
Municipios;0920;Móstoles;2.05;
Municipios;0936;Navacerrada;2.98;
Municipios;0941;Navalafuente;1.61;
Municipios;0954;Navalagamella;1.66;
Municipios;0967;Navalcarnero;2.31;
Municipios;0973;Navarredonda y San Mamés;6.54;
Municipios;0992;Navas del Rey;3.58;
Municipios;1006;Nuevo Baztán;1.36;
Municipios;1013;Olmeda de las Fuentes;2.72;
Municipios;1028;Orusco de Tajuña;6.33;
Municipios;1049;Paracuellos de Jarama;1.04;
Municipios;1065;Parla;1.07;
Municipios;1071;Patones;11.66;
Municipios;1087;Pedrezuela;1.88;
Municipios;1090;Pelayos de la Presa;3.48;
Municipios;1104;Perales de Tajuña;2.69;
Municipios;1111;Pezuela de las Torres;3.56;
Municipios;1126;Pinilla del Valle;5.39;
Municipios;1132;Pinto;1.76;
Municipios;1147;Piñuécar-Gandullas;7.30;
Municipios;1150;Pozuelo de Alarcón;2.64;
Municipios;1163;Pozuelo del Rey;1.49;
Municipios;1179;Prádena del Rincón;8.67;
Municipios;1185;Puebla de la Sierra;4.90;
Municipios;9020;Puentes Viejas;3.30;
Municipios;1198;Quijorna;2.52;
Municipios;1202;Rascafría;4.14;
Municipios;1219;Redueña;2.95;
Municipios;1224;Ribatejada;3.48;
Municipios;1230;Rivas-Vaciamadrid;1.02;
Municipios;1245;Robledillo de la Jara;8.21;
Municipios;1258;Robledo de Chavela;3.06;
Municipios;1261;Robregordo;11.39;
Municipios;1277;Rozas de Madrid (Las);1.94;
Municipios;1283;Rozas de Puerto Real;6.76;
Municipios;1296;San Agustín del Guadalix;1.70;
Municipios;1300;San Fernando de Henares;2.17;
Municipios;1317;San Lorenzo de El Escorial;3.50;
Municipios;1338;San Martín de Valdeiglesias;4.18;
Municipios;1322;San Martín de la Vega;1.58;
Municipios;1343;San Sebastián de los Reyes;1.73;
Municipios;1356;Santa María de la Alameda;2.44;
Municipios;1369;Santorcaz;3.07;
Municipios;1375;Santos de la Humosa (Los);1.47;
Municipios;1381;Serna del Monte (La);0.94;
Municipios;1408;Serranillos del Valle;2.02;
Municipios;1415;Sevilla la Nueva;2.59;
Municipios;1436;Somosierra;8.24;
Municipios;1441;Soto del Real;2.98;
Municipios;1454;Talamanca de Jarama;2.47;
Municipios;1467;Tielmes;3.51;
Municipios;1473;Titulcia;2.64;
Municipios;1489;Torrejón de Ardoz;1.74;
Municipios;1505;Torrejón de Velasco;2.09;
Municipios;1492;Torrejón de la Calzada;1.22;
Municipios;1512;Torrelaguna;3.48;
Municipios;1527;Torrelodones;2.21;
Municipios;1533;Torremocha de Jarama;9.09;
Municipios;1548;Torres de la Alameda;2.81;
Municipios;9036;Tres Cantos;1.84;
Municipios;1551;Valdaracete;6.07;
Municipios;1564;Valdeavero;1.63;
Municipios;1570;Valdelaguna;2.98;
Municipios;1586;Valdemanco;3.82;
Municipios;1599;Valdemaqueda;2.93;
Municipios;1603;Valdemorillo;2.11;
Municipios;1610;Valdemoro;1.50;
Municipios;1625;Valdeolmos-Alalpardo;1.52;
Municipios;1631;Valdepiélagos;2.38;
Municipios;1646;Valdetorres de Jarama;2.90;
Municipios;1659;Valdilecha;2.44;
Municipios;1662;Valverde de Alcalá;3.17;
Municipios;1678;Velilla de San Antonio;1.33;
Municipios;1684;Vellón (El);2.95;
Municipios;1697;Venturada;1.72;
Municipios;1718;Villa del Prado;3.57;
Municipios;1701;Villaconejos;2.92;
Municipios;1723;Villalbilla;1.13;
Municipios;1739;Villamanrique de Tajo;4.10;
Municipios;1744;Villamanta;5.03;
Municipios;1757;Villamantilla;2.34;
Municipios;1782;Villanueva de Perales;1.46;
Municipios;1760;Villanueva de la Cañada;1.71;
Municipios;1776;Villanueva del Pardillo;1.29;
Municipios;1795;Villar del Olmo;1.55;
Municipios;1809;Villarejo de Salvanés;3.27;
Municipios;1816;Villaviciosa de Odón;2.67;
Municipios;1821;Villavieja del Lozoya;2.84;
Municipios;1837;Zarzalejo;3.61;
