Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;14.08;
Zonas Estadísticas;01;Municipio de Madrid ;12.43;
Zonas Estadísticas;02;Norte Metropolitano ;16.32;
Zonas Estadísticas;03;Este Metropolitano  ;15.33;
Zonas Estadísticas;04;Sur Metropolitano   ;15.03;
Zonas Estadísticas;05;Oeste Metropolitano ;16.20;
Zonas Estadísticas;06;Sierra Norte        ;14.72;
Zonas Estadísticas;07;Nordeste Comunidad  ;16.94;
Zonas Estadísticas;08;Sudeste Comunidad   ;15.92;
Zonas Estadísticas;09;Sudoeste Comunidad  ;19.16;
Zonas Estadísticas;10;Sierra Sur          ;14.69;
Zonas Estadísticas;11;Sierra Central      ;14.99;
Municipios;0014;Acebeda (La);2.99;
Municipios;0029;Ajalvir;13.99;
Municipios;0035;Alameda del Valle;12.00;
Municipios;0040;Alamo (El);15.83;
Municipios;0053;Alcalá de Henares;13.40;
Municipios;0066;Alcobendas;15.65;
Municipios;0072;Alcorcón;13.32;
Municipios;0088;Aldea del Fresno;16.11;
Municipios;0091;Algete;16.01;
Municipios;0105;Alpedrete;14.99;
Municipios;0112;Ambite;13.91;
Municipios;0127;Anchuelo;19.51;
Municipios;0133;Aranjuez;15.79;
Municipios;0148;Arganda del Rey;16.94;
Municipios;0151;Arroyomolinos;24.18;
Municipios;0164;Atazar (El);6.73;
Municipios;0170;Batres;13.02;
Municipios;0186;Becerril de la Sierra;13.98;
Municipios;0199;Belmonte de Tajo;14.93;
Municipios;0210;Berrueco (El);15.23;
Municipios;0203;Berzosa del Lozoya;8.22;
Municipios;0225;Boadilla del Monte;19.85;
Municipios;0231;Boalo (El);18.16;
Municipios;0246;Braojos;8.02;
Municipios;0259;Brea de Tajo;9.11;
Municipios;0262;Brunete;15.63;
Municipios;0278;Buitrago del Lozoya;15.46;
Municipios;0284;Bustarviejo;14.97;
Municipios;0297;Cabanillas de la Sierra;15.90;
Municipios;0301;Cabrera (La);14.11;
Municipios;0318;Cadalso de los Vidrios;14.08;
Municipios;0323;Camarma de Esteruelas;16.87;
Municipios;0339;Campo Real;17.40;
Municipios;0344;Canencia;7.76;
Municipios;0357;Carabaña;15.75;
Municipios;0360;Casarrubuelos;17.88;
Municipios;0376;Cenicientos;11.88;
Municipios;0382;Cercedilla;12.95;
Municipios;0395;Cervera de Buitrago;6.71;
Municipios;0513;Chapinería;18.55;
Municipios;0528;Chinchón;13.53;
Municipios;0409;Ciempozuelos;15.23;
Municipios;0416;Cobeña;19.37;
Municipios;0468;Collado Mediano;14.81;
Municipios;0474;Collado Villalba;14.09;
Municipios;0455;Colmenar Viejo;16.76;
Municipios;0437;Colmenar de Oreja;13.51;
Municipios;0421;Colmenar del Arroyo;14.18;
Municipios;0442;Colmenarejo;15.26;
Municipios;0480;Corpa;17.09;
Municipios;0493;Coslada;12.31;
Municipios;0506;Cubas de la Sagra;20.36;
Municipios;0534;Daganzo de Arriba;18.09;
Municipios;0549;Escorial (El);13.29;
Municipios;0552;Estremera;12.97;
Municipios;0565;Fresnedillas de la Oliva;18.45;
Municipios;0571;Fresno de Torote;17.98;
Municipios;0587;Fuenlabrada;13.84;
Municipios;0590;Fuente el Saz de Jarama;14.99;
Municipios;0604;Fuentidueña de Tajo;13.58;
Municipios;0611;Galapagar;15.22;
Municipios;0626;Garganta de los Montes;9.55;
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;10.82;
Municipios;0647;Gascones;15.86;
Municipios;0650;Getafe;15.34;
Municipios;0663;Griñón;15.72;
Municipios;0679;Guadalix de la Sierra;15.35;
Municipios;0685;Guadarrama;14.76;
Municipios;0698;Hiruela (La);6.76;
Municipios;0702;Horcajo de la Sierra-Aoslos;13.25;
Municipios;0719;Horcajuelo de la Sierra;12.96;
Municipios;0724;Hoyo de Manzanares;14.42;
Municipios;0730;Humanes de Madrid;19.40;
Municipios;0745;Leganés;13.57;
Municipios;0758;Loeches;17.49;
Municipios;0761;Lozoya;8.21;
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;14.53;
Municipios;0783;Madarcos;9.72;
Municipios;0796;Madrid;12.43;
Municipios;0800;Majadahonda;15.84;
Municipios;0822;Manzanares el Real;16.21;
Municipios;0838;Meco;17.18;
Municipios;0843;Mejorada del Campo;15.34;
Municipios;0856;Miraflores de la Sierra;14.48;
Municipios;0869;Molar (El);16.52;
Municipios;0875;Molinos (Los);11.09;
Municipios;0881;Montejo de la Sierra;6.86;
Municipios;0894;Moraleja de Enmedio;16.53;
Municipios;0908;Moralzarzal;15.76;
Municipios;0915;Morata de Tajuña;14.81;
Municipios;0920;Móstoles;13.79;
Municipios;0936;Navacerrada;13.48;
Municipios;0941;Navalafuente;18.18;
Municipios;0954;Navalagamella;17.10;
Municipios;0967;Navalcarnero;19.65;
Municipios;0973;Navarredonda y San Mamés;5.88;
Municipios;0992;Navas del Rey;14.80;
Municipios;1006;Nuevo Baztán;13.88;
Municipios;1013;Olmeda de las Fuentes;15.31;
Municipios;1028;Orusco de Tajuña;13.01;
Municipios;1049;Paracuellos de Jarama;23.29;
Municipios;1065;Parla;18.58;
Municipios;1071;Patones;12.37;
Municipios;1087;Pedrezuela;19.04;
Municipios;1090;Pelayos de la Presa;13.44;
Municipios;1104;Perales de Tajuña;15.14;
Municipios;1111;Pezuela de las Torres;16.50;
Municipios;1126;Pinilla del Valle;9.31;
Municipios;1132;Pinto;17.02;
