Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;187190
Zonas Estadísticas;01;Municipio de Madrid ;89948
Zonas Estadísticas;02;Norte Metropolitano ;7931
Zonas Estadísticas;03;Este Metropolitano  ;20430
Zonas Estadísticas;04;Sur Metropolitano   ;41008
Zonas Estadísticas;05;Oeste Metropolitano ;10618
Zonas Estadísticas;06;Sierra Norte        ;1285
Zonas Estadísticas;07;Nordeste Comunidad  ;1932
Zonas Estadísticas;08;Sudeste Comunidad   ;3729
Zonas Estadísticas;09;Sudoeste Comunidad  ;3812
Zonas Estadísticas;10;Sierra Sur          ;1451
Zonas Estadísticas;11;Sierra Central      ;5046
Municipios;0014;Acebeda (La);5
Municipios;0029;Ajalvir;118
Municipios;0035;Alameda del Valle;3
Municipios;0040;Alamo (El);299
Municipios;0053;Alcalá de Henares;6551
Municipios;0066;Alcobendas;2591
Municipios;0072;Alcorcón;4847
Municipios;0088;Aldea del Fresno;130
Municipios;0091;Algete;552
Municipios;0105;Alpedrete;427
Municipios;0112;Ambite;39
Municipios;0127;Anchuelo;40
Municipios;0133;Aranjuez;2073
Municipios;0148;Arganda del Rey;2149
Municipios;0151;Arroyomolinos;610
Municipios;0164;Atazar (El);6
Municipios;0170;Batres;54
Municipios;0186;Becerril de la Sierra;202
Municipios;0199;Belmonte de Tajo;55
Municipios;0210;Berrueco (El);17
Municipios;0203;Berzosa del Lozoya;4
Municipios;0225;Boadilla del Monte;950
Municipios;0231;Boalo (El);205
Municipios;0246;Braojos;3
Municipios;0259;Brea de Tajo;25
Municipios;0262;Brunete;263
Municipios;0278;Buitrago del Lozoya;44
Municipios;0284;Bustarviejo;89
Municipios;0297;Cabanillas de la Sierra;19
Municipios;0301;Cabrera (La);97
Municipios;0318;Cadalso de los Vidrios;148
Municipios;0323;Camarma de Esteruelas;261
Municipios;0339;Campo Real;209
Municipios;0344;Canencia;21
Municipios;0357;Carabaña;81
Municipios;0360;Casarrubuelos;124
Municipios;0376;Cenicientos;93
Municipios;0382;Cercedilla;182
Municipios;0395;Cervera de Buitrago;5
Municipios;0513;Chapinería;106
Municipios;0528;Chinchón;200
Municipios;0409;Ciempozuelos;784
Municipios;0416;Cobeña;148
Municipios;0468;Collado Mediano;251
Municipios;0474;Collado Villalba;2207
Municipios;0455;Colmenar Viejo;1254
Municipios;0437;Colmenar de Oreja;319
Municipios;0421;Colmenar del Arroyo;62
Municipios;0442;Colmenarejo;256
Municipios;0480;Corpa;17
Municipios;0493;Coslada;2462
Municipios;0506;Cubas de la Sagra;147
Municipios;0534;Daganzo de Arriba;279
Municipios;0549;Escorial (El);500
Municipios;0552;Estremera;53
Municipios;0565;Fresnedillas de la Oliva;59
Municipios;0571;Fresno de Torote;73
Municipios;0587;Fuenlabrada;6738
Municipios;0590;Fuente el Saz de Jarama;214
Municipios;0604;Fuentidueña de Tajo;96
Municipios;0611;Galapagar;991
Municipios;0626;Garganta de los Montes;17
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;15
Municipios;0647;Gascones;3
Municipios;0650;Getafe;5207
