Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;28166
Zonas Estadísticas;01;Municipio de Madrid ;12663
Zonas Estadísticas;02;Norte Metropolitano ;1030
Zonas Estadísticas;03;Este Metropolitano  ;3389
Zonas Estadísticas;04;Sur Metropolitano   ;7351
Zonas Estadísticas;05;Oeste Metropolitano ;1079
Zonas Estadísticas;06;Sierra Norte        ;162
Zonas Estadísticas;07;Nordeste Comunidad  ;292
Zonas Estadísticas;08;Sudeste Comunidad   ;658
Zonas Estadísticas;09;Sudoeste Comunidad  ;675
Zonas Estadísticas;10;Sierra Sur          ;273
Zonas Estadísticas;11;Sierra Central      ;594
Municipios;0014;Acebeda (La);0
Municipios;0029;Ajalvir;11
Municipios;0035;Alameda del Valle;0
Municipios;0040;Alamo (El);61
Municipios;0053;Alcalá de Henares;1094
Municipios;0066;Alcobendas;351
Municipios;0072;Alcorcón;830
Municipios;0088;Aldea del Fresno;11
Municipios;0091;Algete;77
Municipios;0105;Alpedrete;44
Municipios;0112;Ambite;5
Municipios;0127;Anchuelo;8
Municipios;0133;Aranjuez;350
Municipios;0148;Arganda del Rey;387
Municipios;0151;Arroyomolinos;143
Municipios;0164;Atazar (El);0
Municipios;0170;Batres;5
Municipios;0186;Becerril de la Sierra;12
Municipios;0199;Belmonte de Tajo;13
Municipios;0210;Berrueco (El);3
Municipios;0203;Berzosa del Lozoya;1
Municipios;0225;Boadilla del Monte;77
Municipios;0231;Boalo (El);22
Municipios;0246;Braojos;2
Municipios;0259;Brea de Tajo;11
Municipios;0262;Brunete;42
Municipios;0278;Buitrago del Lozoya;11
Municipios;0284;Bustarviejo;7
Municipios;0297;Cabanillas de la Sierra;0
Municipios;0301;Cabrera (La);20
Municipios;0318;Cadalso de los Vidrios;35
Municipios;0323;Camarma de Esteruelas;42
Municipios;0339;Campo Real;32
Municipios;0344;Canencia;1
Municipios;0357;Carabaña;10
Municipios;0360;Casarrubuelos;14
Municipios;0376;Cenicientos;29
Municipios;0382;Cercedilla;20
Municipios;0395;Cervera de Buitrago;0
Municipios;0513;Chapinería;27
Municipios;0528;Chinchón;21
Municipios;0409;Ciempozuelos;159
Municipios;0416;Cobeña;15
Municipios;0468;Collado Mediano;25
Municipios;0474;Collado Villalba;317
Municipios;0455;Colmenar Viejo;211
Municipios;0437;Colmenar de Oreja;66
Municipios;0421;Colmenar del Arroyo;4
Municipios;0442;Colmenarejo;32
Municipios;0480;Corpa;1
Municipios;0493;Coslada;305
Municipios;0506;Cubas de la Sagra;20
Municipios;0534;Daganzo de Arriba;40
Municipios;0549;Escorial (El);49
Municipios;0552;Estremera;3
Municipios;0565;Fresnedillas de la Oliva;7
Municipios;0571;Fresno de Torote;10
Municipios;0587;Fuenlabrada;1248
Municipios;0590;Fuente el Saz de Jarama;30
Municipios;0604;Fuentidueña de Tajo;12
Municipios;0611;Galapagar;122
Municipios;0626;Garganta de los Montes;1
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;0
Municipios;0647;Gascones;1
Municipios;0650;Getafe;853
Municipios;0663;Griñón;42
Municipios;0679;Guadalix de la Sierra;35
Municipios;0685;Guadarrama;69
Municipios;0698;Hiruela (La);0
Municipios;0702;Horcajo de la Sierra-Aoslos;0
Municipios;0719;Horcajuelo de la Sierra;0
Municipios;0724;Hoyo de Manzanares;21
Municipios;0730;Humanes de Madrid;145
Municipios;0745;Leganés;1065
Municipios;0758;Loeches;44
Municipios;0761;Lozoya;2
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;5
Municipios;0783;Madarcos;0
Municipios;0796;Madrid;12663
Municipios;0800;Majadahonda;107
Municipios;0822;Manzanares el Real;34
Municipios;0838;Meco;83
Municipios;0843;Mejorada del Campo;145
Municipios;0856;Miraflores de la Sierra;26
Municipios;0869;Molar (El);29
Municipios;0875;Molinos (Los);17
Municipios;0881;Montejo de la Sierra;4
Municipios;0894;Moraleja de Enmedio;25
Municipios;0908;Moralzarzal;61
Municipios;0915;Morata de Tajuña;55
Municipios;0920;Móstoles;1008
Municipios;0936;Navacerrada;8
Municipios;0941;Navalafuente;5
Municipios;0954;Navalagamella;13
Municipios;0967;Navalcarnero;143
Municipios;0973;Navarredonda y San Mamés;0
Municipios;0992;Navas del Rey;27
Municipios;1006;Nuevo Baztán;45
Municipios;1013;Olmeda de las Fuentes;2
Municipios;1028;Orusco de Tajuña;7
Municipios;1049;Paracuellos de Jarama;43
Municipios;1065;Parla;860
Municipios;1071;Patones;2
Municipios;1087;Pedrezuela;19
Municipios;1090;Pelayos de la Presa;28
Municipios;1104;Perales de Tajuña;29
Municipios;1111;Pezuela de las Torres;4
Municipios;1126;Pinilla del Valle;0
Municipios;1132;Pinto;265
Municipios;1147;Piñuécar-Gandullas;1
Municipios;1150;Pozuelo de Alarcón;110
Municipios;1163;Pozuelo del Rey;5
Municipios;1179;Prádena del Rincón;0
Municipios;1185;Puebla de la Sierra;0
Municipios;9020;Puentes Viejas;2
Municipios;1198;Quijorna;8
Municipios;1202;Rascafría;2
Municipios;1219;Redueña;1
Municipios;1224;Ribatejada;7
Municipios;1230;Rivas-Vaciamadrid;344
Municipios;1245;Robledillo de la Jara;0
Municipios;1258;Robledo de Chavela;24
Municipios;1261;Robregordo;0
Municipios;1277;Rozas de Madrid (Las);156
Municipios;1283;Rozas de Puerto Real;1
Municipios;1296;San Agustín del Guadalix;30
Municipios;1300;San Fernando de Henares;210
Municipios;1317;San Lorenzo de El Escorial;67
Municipios;1338;San Martín de Valdeiglesias;57
Municipios;1322;San Martín de la Vega;137
Municipios;1343;San Sebastián de los Reyes;264
Municipios;1356;Santa María de la Alameda;6
Municipios;1369;Santorcaz;1
Municipios;1375;Santos de la Humosa (Los);10
Municipios;1381;Serna del Monte (La);2
Municipios;1408;Serranillos del Valle;21
Municipios;1415;Sevilla la Nueva;41
Municipios;1436;Somosierra;0
Municipios;1441;Soto del Real;31
Municipios;1454;Talamanca de Jarama;12
Municipios;1467;Tielmes;14
Municipios;1473;Titulcia;15
Municipios;1489;Torrejón de Ardoz;786
Municipios;1505;Torrejón de Velasco;20
Municipios;1492;Torrejón de la Calzada;36
Municipios;1512;Torrelaguna;20
Municipios;1527;Torrelodones;29
Municipios;1533;Torremocha de Jarama;3
Municipios;1548;Torres de la Alameda;64
Municipios;9036;Tres Cantos;82
Municipios;1551;Valdaracete;2
Municipios;1564;Valdeavero;12
Municipios;1570;Valdelaguna;7
Municipios;1586;Valdemanco;2
Municipios;1599;Valdemaqueda;5
Municipios;1603;Valdemorillo;34
Municipios;1610;Valdemoro;431
Municipios;1625;Valdeolmos-Alalpardo;8
Municipios;1631;Valdepiélagos;1
Municipios;1646;Valdetorres de Jarama;18
Municipios;1659;Valdilecha;15
Municipios;1662;Valverde de Alcalá;0
Municipios;1678;Velilla de San Antonio;64
Municipios;1684;Vellón (El);8
Municipios;1697;Venturada;2
Municipios;1718;Villa del Prado;44
Municipios;1701;Villaconejos;35
Municipios;1723;Villalbilla;53
Municipios;1739;Villamanrique de Tajo;5
Municipios;1744;Villamanta;16
Municipios;1757;Villamantilla;10
Municipios;1782;Villanueva de Perales;15
Municipios;1760;Villanueva de la Cañada;44
Municipios;1776;Villanueva del Pardillo;43
Municipios;1795;Villar del Olmo;9
Municipios;1809;Villarejo de Salvanés;55
Municipios;1816;Villaviciosa de Odón;54
Municipios;1821;Villavieja del Lozoya;0
Municipios;1837;Zarzalejo;10
