Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;363760
Zonas Estadísticas;01;Municipio de Madrid ;172670
Zonas Estadísticas;02;Norte Metropolitano ;14897
Zonas Estadísticas;03;Este Metropolitano  ;40271
Zonas Estadísticas;04;Sur Metropolitano   ;84316
Zonas Estadísticas;05;Oeste Metropolitano ;18533
Zonas Estadísticas;06;Sierra Norte        ;2333
Zonas Estadísticas;07;Nordeste Comunidad  ;3825
Zonas Estadísticas;08;Sudeste Comunidad   ;7336
Zonas Estadísticas;09;Sudoeste Comunidad  ;7800
Zonas Estadísticas;10;Sierra Sur          ;2810
Zonas Estadísticas;11;Sierra Central      ;8969
Municipios;0014;Acebeda (La);7
Municipios;0029;Ajalvir;239
Municipios;0035;Alameda del Valle;9
Municipios;0040;Alamo (El);598
Municipios;0053;Alcalá de Henares;12856
Municipios;0066;Alcobendas;4977
Municipios;0072;Alcorcón;9566
Municipios;0088;Aldea del Fresno;238
Municipios;0091;Algete;927
Municipios;0105;Alpedrete;719
Municipios;0112;Ambite;59
Municipios;0127;Anchuelo;78
Municipios;0133;Aranjuez;4278
Municipios;0148;Arganda del Rey;4467
Municipios;0151;Arroyomolinos;1429
Municipios;0164;Atazar (El);8
Municipios;0170;Batres;83
Municipios;0186;Becerril de la Sierra;321
Municipios;0199;Belmonte de Tajo;121
Municipios;0210;Berrueco (El);34
Municipios;0203;Berzosa del Lozoya;7
Municipios;0225;Boadilla del Monte;1544
Municipios;0231;Boalo (El);400
Municipios;0246;Braojos;5
Municipios;0259;Brea de Tajo;47
Municipios;0262;Brunete;517
Municipios;0278;Buitrago del Lozoya;92
Municipios;0284;Bustarviejo;157
Municipios;0297;Cabanillas de la Sierra;27
Municipios;0301;Cabrera (La);198
Municipios;0318;Cadalso de los Vidrios;301
Municipios;0323;Camarma de Esteruelas;502
Municipios;0339;Campo Real;423
Municipios;0344;Canencia;28
Municipios;0357;Carabaña;148
Municipios;0360;Casarrubuelos;234
Municipios;0376;Cenicientos;198
Municipios;0382;Cercedilla;362
Municipios;0395;Cervera de Buitrago;9
Municipios;0513;Chapinería;195
Municipios;0528;Chinchón;368
Municipios;0409;Ciempozuelos;1702
Municipios;0416;Cobeña;238
Municipios;0468;Collado Mediano;437
Municipios;0474;Collado Villalba;4199
Municipios;0455;Colmenar Viejo;2572
Municipios;0437;Colmenar de Oreja;643
Municipios;0421;Colmenar del Arroyo;114
Municipios;0442;Colmenarejo;497
Municipios;0480;Corpa;45
Municipios;0493;Coslada;4560
Municipios;0506;Cubas de la Sagra;307
Municipios;0534;Daganzo de Arriba;509
Municipios;0549;Escorial (El);841
Municipios;0552;Estremera;94
Municipios;0565;Fresnedillas de la Oliva;115
Municipios;0571;Fresno de Torote;130
Municipios;0587;Fuenlabrada;13229
Municipios;0590;Fuente el Saz de Jarama;417
Municipios;0604;Fuentidueña de Tajo;163
Municipios;0611;Galapagar;1812
Municipios;0626;Garganta de los Montes;29
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;19
Municipios;0647;Gascones;6
Municipios;0650;Getafe;10435
Municipios;0663;Griñón;472
Municipios;0679;Guadalix de la Sierra;383
Municipios;0685;Guadarrama;817
Municipios;0698;Hiruela (La);2
Municipios;0702;Horcajo de la Sierra-Aoslos;6
Municipios;0719;Horcajuelo de la Sierra;3
Municipios;0724;Hoyo de Manzanares;345
Municipios;0730;Humanes de Madrid;1355
Municipios;0745;Leganés;11330
Municipios;0758;Loeches;504
Municipios;0761;Lozoya;29
Municipios;9015;Lozoyuela-Navas-Sieteiglesias;74
Municipios;0783;Madarcos;2
Municipios;0796;Madrid;172670
Municipios;0800;Majadahonda;2264
Municipios;0822;Manzanares el Real;504
Municipios;0838;Meco;927
Municipios;0843;Mejorada del Campo;1577
Municipios;0856;Miraflores de la Sierra;406
Municipios;0869;Molar (El);506
Municipios;0875;Molinos (Los);236
Municipios;0881;Montejo de la Sierra;19
Municipios;0894;Moraleja de Enmedio;289
Municipios;0908;Moralzarzal;646
Municipios;0915;Morata de Tajuña;587
Municipios;0920;Móstoles;12919
Municipios;0936;Navacerrada;136
Municipios;0941;Navalafuente;111
Municipios;0954;Navalagamella;180
Municipios;0967;Navalcarnero;1788
Municipios;0973;Navarredonda y San Mamés;7
Municipios;0992;Navas del Rey;226
Municipios;1006;Nuevo Baztán;425
