Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;92.26
Zonas Estadísticas;01;Municipio de Madrid ;92.67
Zonas Estadísticas;02;Norte Metropolitano ;93.09
Zonas Estadísticas;03;Este Metropolitano  ;91.58
Zonas Estadísticas;04;Sur Metropolitano   ;91.28
Zonas Estadísticas;05;Oeste Metropolitano ;94.18
Zonas Estadísticas;06;Sierra Norte        ;93.06
Zonas Estadísticas;07;Nordeste Comunidad  ;92.37
Zonas Estadísticas;08;Sudeste Comunidad   ;91.03
Zonas Estadísticas;09;Sudoeste Comunidad  ;91.35
Zonas Estadísticas;10;Sierra Sur          ;90.28
Zonas Estadísticas;11;Sierra Central      ;93.38
Municipios;0014;Acebeda (La);100.00
Municipios;0029;Ajalvir;95.40
Municipios;0035;Alameda del Valle;100.00
Municipios;0040;Alamo (El);89.80
Municipios;0053;Alcalá de Henares;91.49
Municipios;0066;Alcobendas;92.95
Municipios;0072;Alcorcón;91.32
Municipios;0088;Aldea del Fresno;95.38
Municipios;0091;Algete;91.69
Municipios;0105;Alpedrete;93.88
Municipios;0112;Ambite;91.53
Municipios;0127;Anchuelo;89.74
Municipios;0133;Aranjuez;91.82
Municipios;0148;Arganda del Rey;91.34
Municipios;0151;Arroyomolinos;89.99
Municipios;0164;Atazar (El);100.00
Municipios;0170;Batres;93.98
Municipios;0186;Becerril de la Sierra;96.26
Municipios;0199;Belmonte de Tajo;89.26
Municipios;0210;Berrueco (El);91.18
Municipios;0203;Berzosa del Lozoya;85.71
Municipios;0225;Boadilla del Monte;95.01
Municipios;0231;Boalo (El);94.50
Municipios;0246;Braojos;60.00
Municipios;0259;Brea de Tajo;76.60
Municipios;0262;Brunete;91.88
Municipios;0278;Buitrago del Lozoya;88.04
Municipios;0284;Bustarviejo;95.54
Municipios;0297;Cabanillas de la Sierra;100.00
Municipios;0301;Cabrera (La);89.90
Municipios;0318;Cadalso de los Vidrios;88.37
Municipios;0323;Camarma de Esteruelas;91.63
Municipios;0339;Campo Real;92.43
Municipios;0344;Canencia;96.43
Municipios;0357;Carabaña;93.24
Municipios;0360;Casarrubuelos;94.02
Municipios;0376;Cenicientos;85.35
Municipios;0382;Cercedilla;94.48
Municipios;0395;Cervera de Buitrago;100.00
Municipios;0513;Chapinería;86.15
Municipios;0528;Chinchón;94.29
Municipios;0409;Ciempozuelos;90.66
Municipios;0416;Cobeña;93.70
Municipios;0468;Collado Mediano;94.28
Municipios;0474;Collado Villalba;92.45
Municipios;0455;Colmenar Viejo;91.80
Municipios;0437;Colmenar de Oreja;89.74
Municipios;0421;Colmenar del Arroyo;96.49
Municipios;0442;Colmenarejo;93.56
Municipios;0480;Corpa;97.78
Municipios;0493;Coslada;93.31
Municipios;0506;Cubas de la Sagra;93.49
Municipios;0534;Daganzo de Arriba;92.14
Municipios;0549;Escorial (El);94.17
Municipios;0552;Estremera;96.81
Municipios;0565;Fresnedillas de la Oliva;93.91
Municipios;0571;Fresno de Torote;92.31
Municipios;0587;Fuenlabrada;90.57
Municipios;0590;Fuente el Saz de Jarama;92.81
Municipios;0604;Fuentidueña de Tajo;92.64
Municipios;0611;Galapagar;93.27
Municipios;0626;Garganta de los Montes;96.55
Municipios;0632;Gargantilla del Lozoya y Pinilla de Buitrago;100.00
