Serie;Codigo_municipio;Nombre;2020
Comunidad de Madrid;;Comunidad de Madrid;7.74
Zonas Estadísticas;01;Municipio de Madrid ;7.33
Zonas Estadísticas;02;Norte Metropolitano ;6.91
Zonas Estadísticas;03;Este Metropolitano  ;8.42
Zonas Estadísticas;04;Sur Metropolitano   ;8.72
Zonas Estadísticas;05;Oeste Metropolitano ;5.82
Zonas Estadísticas;06;Sierra Norte        ;6.94
Zonas Estadísticas;07;Nordeste Comunidad  ;7.63
Zonas Estadísticas;08;Sudeste Comunidad   ;8.97
Zonas Estadísticas;09;Sudoeste Comunidad  ;8.65
Zonas Estadísticas;10;Sierra Sur          ;9.72
Zonas Estadísticas;11;Sierra Central      ;6.62
Municipios;0014;Acebeda (La);0.00
Municipios;0029;Ajalvir;4.60
Municipios;0035;Alameda del Valle;0.00
Municipios;0040;Alamo (El);10.20
Municipios;0053;Alcalá de Henares;8.51
Municipios;0066;Alcobendas;7.05
Municipios;0072;Alcorcón;8.68
Municipios;0088;Aldea del Fresno;4.62
Municipios;0091;Algete;8.31
Municipios;0105;Alpedrete;6.12
Municipios;0112;Ambite;8.47
Municipios;0127;Anchuelo;10.26
Municipios;0133;Aranjuez;8.18
Municipios;0148;Arganda del Rey;8.66
Municipios;0151;Arroyomolinos;10.01
Municipios;0164;Atazar (El);0.00
Municipios;0170;Batres;6.02
Municipios;0186;Becerril de la Sierra;3.74
Municipios;0199;Belmonte de Tajo;10.74
Municipios;0210;Berrueco (El);8.82
Municipios;0203;Berzosa del Lozoya;14.29
Municipios;0225;Boadilla del Monte;4.99
Municipios;0231;Boalo (El);5.50
Municipios;0246;Braojos;40.00
Municipios;0259;Brea de Tajo;23.40
Municipios;0262;Brunete;8.12
Municipios;0278;Buitrago del Lozoya;11.96
Municipios;0284;Bustarviejo;4.46
Municipios;0297;Cabanillas de la Sierra;0.00
Municipios;0301;Cabrera (La);10.10
Municipios;0318;Cadalso de los Vidrios;11.63
Municipios;0323;Camarma de Esteruelas;8.37
Municipios;0339;Campo Real;7.57
Municipios;0344;Canencia;3.57
Municipios;0357;Carabaña;6.76
Municipios;0360;Casarrubuelos;5.98
Municipios;0376;Cenicientos;14.65
Municipios;0382;Cercedilla;5.52
Municipios;0395;Cervera de Buitrago;0.00
Municipios;0513;Chapinería;13.85
Municipios;0528;Chinchón;5.71
Municipios;0409;Ciempozuelos;9.34
Municipios;0416;Cobeña;6.30
Municipios;0468;Collado Mediano;5.72
Municipios;0474;Collado Villalba;7.55
Municipios;0455;Colmenar Viejo;8.20
Municipios;0437;Colmenar de Oreja;10.26
Municipios;0421;Colmenar del Arroyo;3.51
Municipios;0442;Colmenarejo;6.44
Municipios;0480;Corpa;2.22
Municipios;0493;Coslada;6.69
Municipios;0506;Cubas de la Sagra;6.51
Municipios;0534;Daganzo de Arriba;7.86
Municipios;0549;Escorial (El);5.83
Municipios;0552;Estremera;3.19
