Serie;Codigo_municipio;Nombre;pib_primario;pib_secundario;pib_terciario;sector_principal
Comunidad de Madrid;;Comunidad de Madrid;0.0;0.0;0.0;terciario
Zonas Estadísticas;01;Municipio de Madrid ;0.0;0.0;0.0;terciario
Zonas Estadísticas;02;Norte Metropolitano ;0.0;0.0;0.0;terciario
Zonas Estadísticas;03;Este Metropolitano  ;0.0;0.0;0.0;terciario
Zonas Estadísticas;04;Sur Metropolitano   ;0.0;0.0;0.0;terciario
Zonas Estadísticas;05;Oeste Metropolitano ;0.0;0.0;0.0;terciario
Zonas Estadísticas;06;Sierra Norte        ;0.0;0.0;0.0;terciario
Zonas Estadísticas;07;Nordeste Comunidad  ;0.0;0.0;0.0;terciario
Zonas Estadísticas;08;Sudeste Comunidad   ;0.0;0.0;0.0;terciario
Zonas Estadísticas;09;Sudoeste Comunidad  ;0.0;0.0;0.0;terciario
Zonas Estadísticas;10;Sierra Sur          ;0.0;0.0;0.0;terciario
Zonas Estadísticas;11;Sierra Central      ;0.0;0.0;0.0;terciario
Municipios;0014;Acebeda (La);1.19;12.43;86.4;terciario
Municipios;0029;Ajalvir;0.16;49.13;50.71;terciario
Municipios;0035;Alameda del Valle;3.18;3.98;92.86;terciario
Municipios;0040;Alamo (El);0.36;17.05;82.6;terciario
Municipios;0053;Alcalá de Henares;0.0;0.0;0.0;terciario
Municipios;0066;Alcobendas;0.04;18.69;81.27;terciario
Municipios;0072;Alcorcón;0.0;0.0;0.0;terciario
Municipios;0088;Aldea del Fresno;8.03;11.29;80.68;terciario
Municipios;0091;Algete;0.76;35.1;64.13;terciario
Municipios;0105;Alpedrete;0.25;14.95;84.8;terciario
Municipios;0112;Ambite;4.22;11.32;84.47;terciario
Municipios;0127;Anchuelo;1.81;15.49;82.71;terciario
Municipios;0133;Aranjuez;1.29;27.11;71.6;terciario
Municipios;0148;Arganda del Rey;0.11;42.78;57.1;terciario
Municipios;0151;Arroyomolinos;0.04;16.63;83.33;terciario
Municipios;0164;Atazar (El);2.52;23.79;73.65;terciario
Municipios;0170;Batres;2.5;16.89;80.61;terciario
Municipios;0186;Becerril de la Sierra;0.82;15.62;83.56;terciario
Municipios;0199;Belmonte de Tajo;1.89;28.04;70.07;terciario
Municipios;0210;Berrueco (El);0.26;24.58;75.16;terciario
Municipios;0203;Berzosa del Lozoya;14.91;21.0;64.09;terciario
Municipios;0225;Boadilla del Monte;0.36;8.79;90.85;terciario
